target_name,gene,description,KOG,remarks,Mountain,fL3s446,eL3s82,FC,fL3s364,eL3s125,FC.1,fL4s660,eL4s408,FC.2,fL4s1165,eL4s377,FC.3,fADs1711,eADs213,FC.4,fADs547,eADs598,FC.5,fL3m1612,eL3m951,FC.6,fL3m4134,eL3m1037,FC.7,fL4m1857,eL4m1318,FC.8,fL4m3713,eL4m3494,FC.9,fADm2498,eADm2449,FC.10,fADm2040,eADm2527,FC.11,fADm981,eADm599,FC.12,fADm631,eADm765,FC.13,Input,Suggested Match,History
C10H11.10,kca-1,,,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,63,10,1.29,55,39,0.53,97,5,10.31,133,10,4.1,378,4,94.14,100,0,109.92,0,0,0.6,10,4,0.56,54,13,2.8,78,114,0.65,651,673,0.95,502,602,1.03,146,149,0.61,159,157,1.22,C10H11.10,WBGene00015698,Sequence name for WBGene00015698(kca-1). History: N.A.
C10H11.9,let-502,"let-502 encodes a Rho-binding Ser/Thr kinase orthologous to human myotonic dystrophy kinase (DM-kinase); let-502 is required for early embryonic cleavages, embryonic elongation, migration of hypodermal P cells to a ventral position, normal spermathecal contraction, and fertility; LET-502 is required for hypodermal cells to properly change their shape, and is expressed in those cells, during embryonic elongation; let-502 mutations are suppressed by mel-11 mutations, and the pattern of LET-502 expression in the embryonic epidermis and the spermatheca is opposite to that of MEL-11, indicating that LET-502 and MEL-11 have opposing functions (presumably tissue contraction and relaxation); MEL-11 requires LET-502 (along with the nonmuscle myosin NMY-1) for proper localization. ","Rho-associated, coiled-coil containing protein kinase ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 9,108,24,0.97,141,21,2.45,229,18,7.64,523,14,11.75,444,25,21.26,175,5,31.93,142,52,1.61,437,83,1.33,358,248,1.03,712,862,0.78,1130,1923,0.58,935,2035,0.57,333,605,0.34,191,722,0.32,C10H11.9,WBGene00002694,Sequence name for WBGene00002694(let-502). History: Renamed on 2015-03-05
C14A4.14,C14A4.14,,Mitochondrial 28S ribosomal protein S22 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,37,0,8.46,45,5,2.91,26,2,5.68,55,1,9.41,196,2,81.55,35,0,39.18,451,72,3.69,959,110,2.2,259,123,1.5,300,656,0.43,532,608,0.86,499,504,1.22,253,174,0.9,138,231,0.72,C14A4.14,WBGene00007564,Sequence name for WBGene00007564(mrps-22). History: N.A.
C14A4.3,C14A4.3,,Mannosyltransferase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,27,0,6.23,17,1,3.42,44,6,4.06,76,7,3.24,188,3,58.68,47,0,52.24,4,35,0.08,83,17,1.19,15,24,0.46,114,48,2.21,90,149,0.59,52,145,0.45,26,12,1.28,27,17,1.88,C14A4.3,WBGene00007556,Sequence name for WBGene00007556(algn-9). History: N.A.
C14B9.4b,plk-1,"plk-1 encodes a serine/threonine polo-like kinase homologous to Drosophila polo and Saccharomyces cerevisiae CDC5; during development, plk-1 functions to regulate meiotic cell cycle progression as well as embryonic cytoplasmic polarity in newly fertilized embryos and possibly germline development; specifically, plk-1 is required for meiotic nuclear envelope breakdown, polar body formation and extrusion, and proper chromosome segregation during meiosis possibly via phosphorylation and subsequent degradation of REC-8, a meiotic-specific cohesin; in regulating embryonic polarity, PLK-1 functions to regulate activity of the MEX-5/6 zinc-finger proteins, with which it interacts, via its polo box domain, in yeast two-hybrid assays; PLK-1 is localized diffusely in the cytoplasm of mature oocytes, but during meiosis I becomes associated with pre-metaphase chromatin and then at anaphase with chromatin and the area between dividing chromatin; in embryos, PLK-1 localizes to the cytoplasm of somatic blastomeres and during mitosis, to centrosomes, metaphase chromatin and, at telophase, to the area between dividing chromatin; the asymmetric localization of PLK-1 to somatic cytoplasm of early embryos is dependent upon the PAR proteins and MEX-5/6. ",Polo-like serine/threonine protein kinase ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 11,114,27,0.91,97,7,4.65,270,10,15.55,385,3,32.45,399,4,99.36,108,4,23.73,68,6,5.87,156,48,0.82,179,107,1.19,331,488,0.64,1020,1448,0.69,815,1445,0.7,483,432,0.69,298,551,0.65,,,
C14C10.5,C14C10.5,,Uncharacterized conserved protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,53,15,0.75,49,18,1.0,102,14,4.33,249,12,6.47,212,8,29.39,62,11,5.71,79,29,1.59,422,156,0.69,231,173,0.95,772,469,1.55,443,625,0.7,344,691,0.62,142,118,0.74,147,149,1.19,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
C14C11.6,mut-14,"mut-14 mutants exhibit germline transposon activation, a deficient response to RNAi, resistance to co-suppression, and transgene desilencing. ",ATP-dependent RNA helicase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,66,1,7.46,80,4,6.15,121,6,11.0,232,1,39.17,322,1,200.58,93,0,102.31,16,0,10.12,24,9,0.64,11,32,0.26,78,107,0.69,75,201,0.37,54,173,0.39,56,20,1.68,26,27,1.16,C14C11.6,WBGene00003507,Sequence name for WBGene00003507(mut-14). History: N.A.
C15H11.11,C15H11.11,,,sRNA_inconsistent_AND_mRNA_inconsistent,,3,2,0.3,1,4,0.15,2,17,0.11,2,52,0.02,4,116,0.05,1,80,0.03,0,0,0.6,0,1,0.13,0,2,0.24,2,1,1.41,1,0,1.96,0,1,0.62,0,0,0.62,2,0,3.62,C15H11.11,WBGene00007619,Public name for WBGene00007619. History: N.A.
C15H11.3,nxf-1,"nxf-1 encodes a homolog of human TAP protein, a member of the NXF family of shuttling transport receptors for nuclear export of mRNA; binds RNA directly and its function has been shown to be conserved with the NXF family. ",mRNA export factor TAP/MEX67 ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 0,46,1,5.23,37,15,0.9,56,7,4.5,136,2,15.36,121,6,21.65,46,7,6.39,65,0,39.3,201,69,0.74,49,57,0.61,166,158,0.99,149,183,0.8,130,181,0.89,62,27,1.39,43,41,1.26,C15H11.3,WBGene00003834,Sequence name for WBGene00003834(nxf-1). History: N.A.
C15H11.5,set-31,"set-31 encodes a protein with an N-terminal Chromo domain, and a C-terminal SET domain; SET-31 has no obvious non-nematode orthologs; set-31(ok1482) has no obvious mutant phenotype, and SET-31 has no obvious function in mass RNAi assays. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,149,5,5.56,127,17,2.7,367,19,11.61,451,16,8.94,536,25,25.65,184,4,40.27,63,1,19.06,111,36,0.77,75,58,0.92,101,344,0.28,154,173,0.87,127,179,0.88,32,20,0.97,26,42,0.76,C15H11.5,WBGene00007615,Sequence name for WBGene00007615(set-31). History: Renamed on 2007-05-03
C15H11.6,nxf-2,"nxf-2 encodes a predicted homolog of human TAP protein, a member of the NXF family of shuttling transport receptors for nuclear export of mRNA, and it affects embryonic viability. ",mRNA export factor TAP/MEX67 ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,8,8,0.22,12,2,1.65,25,2,5.47,60,0,20.51,118,2,49.26,11,0,13.06,0,0,0.6,9,2,0.85,1,7,0.18,42,13,2.89,51,97,0.52,25,119,0.27,11,10,0.67,21,6,3.79,C15H11.6,WBGene00003835,Sequence name for WBGene00003835(nxf-2). History: N.A.
C15H11.9,C15H11.9,,Regulator of ribosome synthesis ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain ,18,3,1.06,27,10,0.97,46,1,14.83,93,3,7.9,92,3,28.88,21,0,23.94,784,312,1.49,1079,225,1.22,482,342,1.0,900,2289,0.37,1433,1401,1.0,1161,1488,0.96,759,821,0.57,278,627,0.54,C15H11.9,WBGene00007617,Sequence name for WBGene00007617(rrbs-1). History: N.A.
C16A11.3,C16A11.3,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,50,7,1.42,35,8,1.52,106,9,6.75,139,2,15.69,343,2,142.41,87,3,23.94,4,0,2.98,12,7,0.41,13,7,1.25,63,41,1.43,65,76,0.84,45,69,0.81,14,6,1.33,13,15,1.06,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
C16A11.4b,C16A11.4,,PHD Zn-finger proteins ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 11,101,3,5.68,52,11,1.68,301,18,10.03,948,6,45.58,301,2,125.02,128,3,35.1,9,31,0.19,46,34,0.34,82,78,0.75,149,475,0.3,183,663,0.27,148,660,0.28,87,127,0.43,52,102,0.62,C16A11.4b,WBGene00015817,Molecule name for WBGene00015817(C16A11.4). History: N.A.
C16A3.1a,C16A3.1,"C16A3.1 is orthologous to the human gene SMARCAL1 (SMARCAL1; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=606622"">OMIM:606622</a>), which when mutated leads to disease ","Chromatin remodeling protein HARP/SMARCAL1, DEAD-box superfamily ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,42,1,4.79,29,6,1.63,80,3,12.78,146,1,24.71,144,5,30.01,73,0,80.54,12,0,7.74,27,14,0.48,9,20,0.34,85,50,1.59,88,201,0.43,68,210,0.4,38,24,0.96,36,32,1.35,C16A3.1a,WBGene00015806,Molecule name for WBGene00015806(smrc-1). History: N.A.
C16A3.3,let-716,,rRNA processing protein Rrp5 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,46,1,5.23,77,8,3.29,96,10,5.56,181,13,4.37,232,9,28.94,65,3,17.96,816,442,1.1,712,303,0.6,457,380,0.86,1232,1722,0.67,1061,862,1.21,851,897,1.17,434,382,0.7,207,411,0.61,C16A3.3,WBGene00002850,"Sequence name for WBGene00002850(let-716). History: N.A.. Public name for Dead gene WBGene00015808. History of WBGene00015808: Merged into ""WBGene00002850"" on 2008-01-30"
C16A3.8,thoc-2,,KEKE-like motif-containing transcription regulator (Rlr1)/suppressor of sin4 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,35,4,1.6,34,4,2.66,59,5,6.31,78,4,5.31,124,13,11.09,77,4,16.98,243,110,1.31,673,135,1.26,272,164,1.18,1076,606,1.67,991,653,1.49,823,688,1.48,691,197,2.16,256,375,0.82,C16A3.8,WBGene00015813,Sequence name for WBGene00015813(thoc-2). History: Renamed on 2007-07-20
C16C10.3,C16C10.3,,Translation initiation factor 2C (eIF-2C) and related proteins ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 7,250,11,4.66,236,17,5.0,376,52,4.49,638,56,3.77,825,257,3.98,315,79,4.3,85,129,0.39,124,105,0.3,139,215,0.46,461,602,0.72,2135,2281,0.92,1685,2310,0.9,401,461,0.54,336,508,0.8,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C17E4.5,pabp-2,"pabp-2 encodes the C. elegans PABPN1 (polyadenylate-binding protein, nuclear 1) ortholog; by homology, PABP-2 is predicted to function as a poly(A)-binding protein involved in several aspects of pre-mRNA processing; large-scale RNAi screens indicate that pabp-2 activity is essential for embryonic and larval development, as well as normal rates of growth and locomotion; in humans, expansion of a polyalanine repeat in PABPN1 is associated with oculopharyngeal muscular dystrophy (OPMD, <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=602279"">OMIM:602279</a>). ","Splicing factor RNPS1, SR protein superfamily ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 18,37,5,1.41,53,7,2.56,58,6,5.32,84,3,7.15,269,10,30.48,63,3,17.41,106,87,0.72,388,68,1.44,229,71,2.28,286,275,0.98,468,600,0.77,444,712,0.77,240,183,0.81,159,254,0.76,C17E4.5,WBGene00003904,Sequence name for WBGene00003904(pabp-2). History: Renamed on 2007-02-23
C17E4.6,C17E4.6,,DNA-binding protein YL1 and related proteins ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,45,0,10.24,35,3,3.42,41,6,3.79,123,0,41.69,115,6,20.58,44,0,48.98,29,0,17.86,111,38,0.73,53,33,1.13,173,111,1.46,301,312,0.95,252,258,1.21,174,77,1.39,105,90,1.41,C17E4.6,WBGene00007645,Public name for WBGene00007645. History: N.A.
C17E4.9,C17E4.9,,"Na+/K+ ATPase, beta subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,29,1,3.34,27,7,1.33,52,8,3.72,92,8,3.47,137,5,28.56,54,7,7.48,113,41,1.62,615,228,0.69,85,140,0.44,584,359,1.53,169,240,0.69,162,251,0.8,70,39,1.1,75,62,1.46,C17E4.9,WBGene00007646,Sequence name for WBGene00007646(nkb-1). History: N.A.
C17G10.2,C17G10.2,,Hsp90 co-chaperone CNS1 (contains TPR repeats) ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,25,0,5.79,7,3,0.76,31,2,6.73,69,5,3.92,53,6,9.58,31,3,8.71,64,66,0.58,86,55,0.4,97,36,1.89,328,146,2.11,173,175,0.97,126,197,0.79,164,29,3.4,58,55,1.27,C17G10.2,WBGene00015916,Sequence name for WBGene00015916(ttc-4). History: N.A.
C17G10.4b,cdc-14,"cdc-14 encodes a dual-specificity phosphatase, homologous to Cdc14p in S. cerevisiae; CDC-14 localizes to the central spindle in anaphase and to the midbody in telophase, and is required for cytokinesis and embryonic viability. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,56,5,2.11,47,12,1.4,80,16,3.01,106,6,5.14,162,32,6.13,44,4,9.8,22,17,0.76,246,38,1.61,63,70,0.64,304,199,1.44,369,448,0.81,246,467,0.65,145,97,0.92,124,172,0.87,,,
C17H12.1,dyci-1,"dyci-1 encodes a dynein intermediate chain; loss of dyci-1 activity via RNAi indicates that dyci-1 is essential during early embryogenesis for pronuclear migration and thus is required for embryonic development; RNAi experiments also indicate that dyci-1 is required for larval development, as well. ",Cytoplasmic dynein intermediate chain ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,17,0,4.01,13,0,5.32,43,2,9.26,28,0,9.75,54,2,22.77,23,1,13.06,72,10,3.95,286,93,0.78,111,105,0.75,320,249,1.21,246,460,0.53,192,470,0.51,90,83,0.67,80,106,0.91,C17H12.1,WBGene00015927,Sequence name for WBGene00015927(dyci-1). History: N.A.
C18A3.3,C18A3.3,,Nucleolar protein-like/EBNA1-binding protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,24,1,2.78,15,1,3.04,38,3,6.15,83,7,3.53,92,1,57.75,34,0,38.09,687,506,0.81,571,129,1.12,470,233,1.44,481,1537,0.3,1045,657,1.56,822,692,1.47,344,296,0.72,186,475,0.47,C18A3.3,WBGene00015941,Public name for WBGene00015941. History: N.A.
C18A3.5f,C18A3.5,,Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily) ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,38,3,2.17,57,9,2.2,88,8,6.24,150,9,5.08,151,40,4.6,40,11,3.72,184,82,1.33,509,125,1.03,131,159,0.59,388,522,0.7,515,552,0.91,409,605,0.84,222,126,1.09,140,212,0.8,,,
C18E9.6,C18E9.6,,"Translocase of outer mitochondrial membrane complex, subunit TOM40 ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,36,0,8.24,32,6,1.79,41,3,6.63,98,3,8.32,127,15,9.94,47,12,4.02,30,5,3.08,249,89,0.71,34,60,0.41,241,131,1.73,116,224,0.51,85,224,0.47,38,29,0.8,44,30,1.75,C18E9.6,WBGene00007686,Sequence name for WBGene00007686(tomm-40). History: N.A.
C18G1.4b,pgl-3,"pgl-3 encodes a novel protein that is a member of the PGL (P Granule Abnormality) family of C. elegans proteins that are associated with germline P granules; pgl-3 functions redundantly with pgl-1 in hermaphrodite germline development by controlling the extent of germline proliferation as well as gametogenesis and embryonic development; PGL-3 and PGL-1 interact in vitro and in vivo, suggesting that they function are part of the same complex; PGL-3 also interacts with PGL-2 in vitro; PGL-3 localizes to P granules in both sexes at all stages of development except during spermatogenesis; PGL-3 localization to P granules requires the GLH-1 germline helicase, a constitutive P granule component. ",Uncharacterized protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,57,7,1.61,45,11,1.46,109,7,8.68,136,3,11.52,161,5,33.53,44,3,12.24,82,1,24.71,72,21,0.85,268,123,1.55,262,551,0.45,2086,1180,1.73,1674,1166,1.77,552,435,0.78,291,498,0.71,C18G1.4b,WBGene00003994,Molecule name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06
C18G1.5,hil-4,,Histone H1 ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 11,60,0,13.58,61,4,4.71,114,5,12.1,299,5,16.81,151,6,26.97,49,1,27.21,23,43,0.32,65,65,0.25,98,173,0.41,163,593,0.26,1199,2292,0.51,905,2306,0.49,372,804,0.29,206,495,0.5,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
C23G10.4a,rpn-2,"rpn-2 encodes a non-ATPase subunit of the 26S proteasome's 19S regulatory paritcle (RP) base subcomplex; RPN-2 is required for embryonic, larval, and germline development and by homology, is predicted to function in unfolding and recognition of protein substrates and/or recycling of ubiquitin moieties during protein degradation; RPN-2 is expressed sporadically at all stages of development in the pharynx, intestine, body wall muscle, somatic gonad, neurons, and hypodermis. ","26S proteasome regulatory complex, subunit RPN2/PSMD1 ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,51,10,1.05,37,4,2.89,84,4,10.73,168,3,14.21,241,1,150.28,118,2,43.17,343,279,0.73,1091,176,1.57,765,311,1.75,833,890,0.88,1339,1851,0.71,1100,1979,0.69,557,457,0.75,348,596,0.71,C23G10.4a,WBGene00004459,Molecule name for WBGene00004459(rpn-2). History: N.A.
C23G10.8,C23G10.8,,Unnamed protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,40,16,0.54,35,5,2.28,84,8,5.96,104,5,5.88,180,4,44.96,65,2,23.94,43,0,26.2,157,89,0.45,79,88,0.64,288,196,1.38,298,397,0.74,215,401,0.66,94,249,0.24,59,112,0.64,C23G10.8,WBGene00016015,Sequence name for WBGene00016015(sna-3). History: N.A.
C24A11.8a,frm-4,"frm-4 encodes a predicted transmembrane protein that contains an N-terminal FERM (Band 4.1-ezrin-radixin-moesin) domain; by homology, FRM-4 is predicted to function as a membrane-cytoskeleton linker protein that plays a role in cell adhesion, migration, or organization of cell surface structures; however, as loss of frm-4 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of FRM-4 in C. elegans development and/or behavior is not yet known. ",FERM domain protein EHM2 ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 4,27,3,1.56,20,11,0.66,42,6,3.88,60,1,10.26,132,5,27.53,30,0,33.74,47,41,0.68,208,47,1.11,77,50,1.09,326,124,2.46,101,252,0.4,87,250,0.43,61,41,0.91,47,47,1.21,C24A11.8a,WBGene00001491,Molecule name for WBGene00001491(frm-4). History: N.A.
C24F3.1a,tram-1,,Protein transporter of the TRAM (translocating chain-associating membrane) superfamily ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 20,13,1,1.56,18,2,2.41,34,1,11.04,84,7,3.57,60,0,75.76,20,0,22.86,79,97,0.49,430,93,1.17,124,141,0.63,355,214,1.56,304,439,0.68,264,414,0.79,214,148,0.89,66,113,0.71,C24F3.1a,WBGene00007696,Molecule name for WBGene00007696(tram-1). History: N.A.
C25A1.10b,dao-5,"dao-5 encodes a predicted nucleolar phosphoprotein related to Saccharomyces cerevisiae SRP40 and the vertebrate Nopp140 proteins that may play a role in rRNA gene transcription and nucleolar structural organization; dao-5 expression is negatively regulated by the DAF-2/insulin-like receptor and positively regulated by the DAF-16/fork-head transcription factor, suggesting that dao-5 may be involved in life-span determination; dao-5 is strongly expressed in dauer larvae. ",Nucleolar GTPase/ATPase p130 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,51,7,1.45,34,5,2.22,77,7,6.15,76,2,8.63,83,10,9.48,58,2,21.4,212,124,1.01,420,311,0.34,246,236,0.74,824,846,0.92,313,404,0.76,292,416,0.87,104,84,0.76,111,76,1.76,C25A1.10b,WBGene00000931,Molecule name for WBGene00000931(dao-5). History: N.A.
C25A1.8,clec-87,"clec-87 encodes a putatively secreted C-type lectin, paralogous to CLEC-88, C25B8.4, F26D10.12, and ZK858.3; CLEC-87 has a single chondroitin attachment site verified by mass spectrometry; CLEC-87 has no obvious function in mass RNAi assays. ",C-type lectin ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,12,1,1.45,11,0,4.56,26,2,5.68,73,2,8.29,49,1,31.05,20,0,22.86,0,0,0.6,10,3,0.7,36,21,1.2,99,351,0.27,3218,2763,1.14,2495,2741,1.13,637,734,0.54,594,996,0.72,C25A1.8,WBGene00007709,Sequence name for WBGene00007709(clec-87). History: Renamed on 2006-06-15
C25A11.1,C25A11.1,,,sRNA_inconsistent_AND_mRNA_inconsistent,,47,2,3.56,37,4,2.89,61,9,3.91,51,2,5.83,166,34,5.93,23,3,6.53,3,0,2.38,1,0,0.51,0,1,0.36,3,0,3.77,5,2,1.96,7,0,9.89,6,0,4.33,0,0,1.21,C25A11.1,WBGene00219374,"Public name for Dead gene WBGene00016086. History of WBGene00016086: Merged into ""WBGene00219374"" on 2018-11-14"
C25D7.6,mcm-3,"mcm-3 encodes a member of the MCM2/3/5 family with similarity to human DNA replication licensing factor, MCM3, and affects embryonic viability. ","DNA replication licensing factor, MCM3 component ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,47,3,2.67,25,4,1.97,100,11,5.31,140,2,15.8,194,1,121.09,71,0,78.36,14,0,8.93,141,51,0.7,88,86,0.73,230,247,0.88,900,789,1.12,722,871,1.02,432,135,1.97,265,188,1.7,C25D7.6,WBGene00003155,Sequence name for WBGene00003155(mcm-3). History: N.A.
C25D7.8,C25D7.8,,Uncharacterized conserved protein ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 11,27,8,0.69,28,15,0.69,43,5,4.63,119,6,5.76,66,9,8.32,24,0,27.21,14,0,8.93,57,25,0.57,47,31,1.07,143,65,2.05,102,216,0.47,70,198,0.44,65,39,1.02,54,30,2.14,C25D7.8,WBGene00007718,Sequence name for WBGene00007718(otub-1). History: N.A.
C25G4.5,dpy-26,"dpy-26 encodes a novel, acidic protein that is highly conserved in other Caenorhabditis species; during development, dpy-26 activity is required for both dosage compensation and meiotic chromosome segregation; DPY-26 localizes to all meiotic chromosomes in the germline and to the hermaphrodite X chromosomes in somatic cells; SDC-1, SDC-2, and SDC-3 proteins form a complex and these three proteins, in turn, colocalize with DPY-26, DPY-27, and MIX-1 proteins both on the X chromosome and on a transgenic her-1(+) array. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,52,7,1.47,48,7,2.33,77,7,6.15,105,7,4.46,316,2,131.23,78,0,85.98,131,48,1.6,288,100,0.73,159,107,1.06,531,385,1.3,532,738,0.71,420,763,0.68,256,180,0.88,123,284,0.52,C25G4.5,WBGene00001085,Sequence name for WBGene00001085(dpy-26). History: N.A.
C25H3.4,C25H3.4,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain ,19,2,1.48,26,1,5.13,71,8,5.05,101,6,4.9,105,22,5.72,35,3,9.8,12,0,7.74,97,30,0.81,25,40,0.45,189,130,1.37,112,143,0.77,106,138,0.95,51,32,0.97,23,37,0.76,C25H3.4,WBGene00016113,Sequence name for WBGene00016113(eif-2D). History: N.A.
C26D10.1,ran-3,,RCC1 domain ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,23,0,5.34,30,3,2.94,51,0,32.82,71,0,24.21,108,3,33.84,40,0,44.62,169,141,0.71,529,102,1.31,367,207,1.26,774,988,0.74,1612,1320,1.2,1177,1429,1.02,722,253,1.76,291,566,0.62,C26D10.1,WBGene00004304,Sequence name for WBGene00004304(ran-3). History: N.A.
C26D10.2b,hel-1,"hel-1 encodes an ortholog of human 56-kD U2AF65 associated protein (UAP56) that is required for exporting mRNAs from the nucleus; unlike animals with RNAi against several other splicing factors, hel-1(RNAi) animals fail to export transgenic GFP mRNA from the nucleus; conversely, hel-1 overexpression is lethal, with failed transgene expression as well. ",ATP-dependent RNA helicase ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 20,30,7,0.86,25,12,0.76,48,6,4.42,76,4,5.18,126,6,22.53,31,7,4.35,354,378,0.56,857,168,1.29,387,200,1.38,558,502,1.05,1251,721,1.7,1037,739,1.73,755,240,1.94,310,491,0.76,C26D10.2b,WBGene00001840,Molecule name for WBGene00001840(hel-1). History: N.A.
C26E6.3,C26E6.3,,Protein involved in cell differentiation/sexual development ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 2,39,11,0.74,44,17,0.95,85,7,6.78,200,4,13.52,148,3,46.26,46,0,51.15,5,12,0.27,70,10,1.64,13,20,0.48,88,41,1.99,61,124,0.49,63,123,0.64,24,38,0.4,29,31,1.13,C26E6.3,WBGene00016139,Sequence name for WBGene00016139(ntl-9). History: N.A.
C26E6.4,rpb-2,,"RNA polymerase II, second largest subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,82,17,1.03,71,9,2.73,156,23,4.13,271,16,5.38,397,8,54.92,109,3,29.93,125,239,0.31,391,138,0.72,296,165,1.28,621,523,1.12,498,645,0.76,335,732,0.57,144,111,0.8,105,175,0.73,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
C26E6.9a,set-2,,"Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,129,14,1.93,100,20,1.83,182,22,5.02,339,16,6.72,440,33,16.11,149,13,11.66,78,23,1.96,195,57,0.86,117,102,0.82,360,367,0.92,414,838,0.49,315,863,0.45,112,190,0.37,56,216,0.32,C26E6.9a,WBGene00004782,Molecule name for WBGene00004782(set-2). History: N.A.
C26H9A.1,vha-7,"vha-7 encodes an ortholog of subunit a of the membrane-bound (V0) domain of vacuolar proton-translocating ATPase (V-ATPase); VHA-7 is orthologous to human ATP6N1A (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=192130"">OMIM:192130</a>), ATP6V0A2, ATP6V0A4 (OMIM:605239, mutated in distal renal tubular acidosis), and TCIRG1 (OMIM:604592, mutated in osteopetrosis); vha-7 is expressed in hypodermis and uterus; VHA-7 is dispensable for viability, since vha-7(RNAi) animals develop to normal, healthy adults; in S. cerevisiae, different V0 a-subunits (Stv1p and Vph1p) direct the assembly of V-ATPases to different membranes and organelles, suggesting that the profusion of such subunits in C. elegans (co-orthologous VHA-5, VHA-6, VHA-7, and six UNC-32 isoforms) may have a similar function; VHA-7 is predicted to capture protons from V-ATPase transmembrane rotor components and export the protons across the membrane. ","Vacuolar H+-ATPase V0 sector, subunit a ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 7,20,5,0.78,31,4,2.43,35,4,4.54,58,0,19.84,72,6,12.95,14,0,16.33,15,0,9.53,132,24,1.36,81,30,1.89,138,73,1.77,226,444,0.5,197,478,0.51,86,124,0.43,64,113,0.69,C26H9A.1,WBGene00006916,Sequence name for WBGene00006916(vha-7). History: N.A.
