# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
Y92H12A.5,chrI,-,1491341,1514410,-6.6,0.0,-8.6,1.8,5,11,6,23.0,24.0,Y92H12A.5,WBGene00022361,Public name for WBGene00022361. History: N.A.
Y113G7B.3,chrV,-,20185973,20187507,-6.5,0.0,0.0,2.8,2,5,1,18.0,23.0,Y113G7B.3,WBGene00013755,Sequence name for WBGene00013755(fbxa-115). History: N.A.
Y7A5A.6,chrX,-,15797254,15799617,-6.5,0.0,0.0,2.8,2,5,1,19.0,18.0,Y7A5A.6,WBGene00012412,"Public name for WBGene00012412. History: Split into Y7A5A.25(WBGene00304824). History of WBGene00012412: Split into ""WBGene00304824"" on 2019-07-25"
ZC412.5,chrV,-,14874177,14875407,-6.5,0.0,0.0,2.8,2,5,1,19.0,23.0,ZC412.5,WBGene00013886,Public name for WBGene00013886. History: N.A.
W02B12.10,chrII,-,11472116,11473479,-6.5,0.0,0.0,2.8,2,5,1,21.0,21.0,W02B12.10,WBGene00012205,Sequence name for WBGene00012205(metl-1). History: N.A.
R06F6.12,chrII,-,10822298,10824002,-6.5,0.0,0.0,2.8,2,5,1,21.0,22.0,R06F6.12,WBGene00023418,Public name for WBGene00023418. History: N.A.
ZK632.6,chrIII,-,9814281,9817035,-6.5,0.0,0.0,2.8,2,5,1,18.0,23.0,ZK632.6,WBGene00000567,Sequence name for WBGene00000567(cnx-1). History: N.A.
ZK686.3,chrIII,-,7767499,7768991,-6.5,0.0,0.0,2.8,2,5,1,20.0,23.0,ZK686.3,WBGene00022793,Public name for WBGene00022793. History: N.A.
R07G3.5,chrII,-,7597513,7598683,-6.5,0.0,0.0,2.8,2,5,1,21.0,23.0,R07G3.5,WBGene00019941,Sequence name for WBGene00019941(pgam-5). History: N.A.
F09G2.8b,chrV,-,7188411,7193645,-6.5,0.0,0.0,2.8,2,5,1,21.0,20.0,F09G2.8b,WBGene00017316,Molecule name for WBGene00017316(F09G2.8). History: N.A.
C05D11.8,chrIII,-,6422400,6427246,-6.5,0.0,0.0,2.8,2,5,1,18.0,18.0,C05D11.8,WBGene00015485,Public name for WBGene00015485. History: N.A.
C06A5.4,chrI,-,5980793,5981590,-6.5,0.0,0.0,2.8,2,5,1,19.0,21.0,C06A5.4,,Sequence name for Suppressed gene WBGene00015502. Molecular name for Suppressed gene WBGene00015502. History of WBGene00015502: Suppressed on 2013-10-17. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
R07E5.7,chrIII,-,4418314,4419140,-6.5,0.0,0.0,2.8,2,5,1,19.0,18.0,R07E5.7,WBGene00011115,Public name for WBGene00011115. History: N.A.
W02G9.1,chrV,-,2663080,2665002,-6.5,0.0,0.0,2.8,2,5,1,20.0,21.0,W02G9.1,WBGene00003579,Sequence name for WBGene00003579(ndx-2). History: N.A.
K05F6.6,chrII,-,1547066,1549958,-6.5,0.0,0.0,2.8,2,5,1,20.0,18.0,K05F6.6,WBGene00019417,"Sequence name for WBGene00019417(fbxb-52). History: Split into K05F6.16(WBGene00269420). History of WBGene00019417: Split into ""WBGene00269420"" on 2016-02-18"
W09B6.4a.1,chrII,-,1132314,1140845,-6.5,0.0,0.0,2.8,2,5,1,21.0,21.0,W09B6.4a.1,WBGene00021104,Molecule name for WBGene00021104(W09B6.4). History: N.A.
C30C11.2,chrIII,+,8447270,8449256,-6.5,0.0,-11.3,1.3,8,18,14,21.0,21.0,C30C11.2,WBGene00004460,Sequence name for WBGene00004460(rpn-3). History: N.A.
T07A9.9c,chrIV,+,393880,396554,-6.5,0.0,-11.3,1.3,8,18,14,20.0,22.0,,,
W08D2.1,chrIV,-,9812418,9815500,-6.3,0.0,-8.5,1.6,6,14,8,19.0,20.0,W08D2.1,WBGene00001188,Sequence name for WBGene00001188(egl-20). History: N.A.
C12C8.3b,chrI,-,9335956,9342487,-6.3,0.0,-8.5,1.6,6,14,8,22.0,21.0,C12C8.3b,WBGene00003026,Molecule name for WBGene00003026(lin-41). History: Renamed on 2005-08-24
F32H2.3,chrI,-,8966977,8970120,-6.3,0.0,-8.5,1.6,6,14,8,21.0,20.0,F32H2.3,WBGene00004953,Sequence name for WBGene00004953(spd-2). History: N.A.
C28A5.2,chrIII,-,4434721,4439514,-6.3,0.0,-8.5,1.6,6,14,8,21.0,22.0,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
C14A4.2,chrII,+,10581056,10582442,-6.3,0.0,-11.1,1.3,7,16,12,21.0,21.0,C14A4.2,WBGene00000933,Sequence name for WBGene00000933(dap-3). History: Renamed on 2018-06-07
Y53C12B.3b,chrII,+,9746641,9749895,-6.3,0.0,-11.1,1.3,7,16,12,21.0,21.0,Y53C12B.3b,WBGene00003785,Molecule name for WBGene00003785(nos-3). History: N.A.
F58E10.3b,chrV,-,14008751,14012197,-6.2,0.0,-8.4,1.5,7,16,10,20.0,21.0,F58E10.3b,WBGene00010260,Molecule name for WBGene00010260(ddx-17). History: N.A.
F13H8.8,chrII,-,6265602,6267575,-6.2,0.0,-8.4,1.5,7,16,10,22.0,22.0,F13H8.8,WBGene00017441,Public name for WBGene00017441. History: N.A.
T05G5.10,chrIII,-,9745765,9747093,-6.1,0.0,-8.4,1.5,8,18,12,21.0,22.0,T05G5.10,WBGene00002064,Sequence name for WBGene00002064(iff-1). History: N.A.
C34D4.14,chrIV,-,7134330,7144547,-6.1,0.0,-8.4,1.5,8,18,12,21.0,20.0,C34D4.14,WBGene00016405,Sequence name for WBGene00016405(hecd-1). History: N.A.
T19E7.2c.6,chrIV,-,5651072,5660510,-6.1,0.0,-8.4,1.5,8,18,12,20.0,22.0,,,
C34E10.6,chrIII,+,5228374,5230503,-6.1,0.0,-11.0,1.1,15,34,31,21.0,21.0,C34E10.6,WBGene00000229,Sequence name for WBGene00000229(atp-2). History: N.A.
Y67D8C.5,chrIV,-,3032726,3049968,-6.1,0.0,-8.4,1.2,29,66,55,20.0,21.0,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
C03B8.4,chrIII,-,7700266,7709400,-6.1,0.0,-8.4,1.3,15,34,26,20.0,21.0,C03B8.4,WBGene00003002,Sequence name for WBGene00003002(lin-13). History: N.A.
F54D5.15b,chrII,-,11558630,11564120,-6.1,0.0,-8.4,1.4,9,21,14,19.0,20.0,F54D5.15b,WBGene00010057,Molecule name for WBGene00010057(F54D5.15). History: N.A.
Y54E2A.3,chrII,-,14752790,14753797,-6.1,0.0,-8.4,1.3,13,30,22,21.0,21.0,Y54E2A.3,WBGene00006381,Sequence name for WBGene00006381(tac-1). History: N.A.
Y48A6A.1,chrIII,-,10951107,10953387,-6.1,0.0,-8.4,1.3,13,30,22,18.0,20.0,Y48A6A.1,WBGene00006982,Sequence name for WBGene00006982(zig-5). History: N.A.
C06B8.8,chrV,+,15512142,15512749,-6.1,0.0,-10.9,1.3,6,14,10,21.0,21.0,C06B8.8,WBGene00004452,Sequence name for WBGene00004452(rpl-38). History: N.A.
W10G11.19,chrII,+,3550645,3553431,-6.1,0.0,-10.9,1.3,6,14,10,21.0,21.0,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
T14G10.5a,chrIV,+,10151920,10155608,-6.0,0.0,-10.9,1.2,9,21,17,21.0,22.0,T14G10.5a,WBGene00011775,Molecule name for WBGene00011775(copg-1). History: N.A.
Y53F4B.9,chrII,-,15004772,15010319,-5.9,0.0,-8.2,1.2,33,75,64,20.0,21.0,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
Y71F9AL.9,chrI,+,2876931,2878514,-5.8,0.0,-10.8,1.1,16,36,34,20.0,21.0,Y71F9AL.9,WBGene00022114,Public name for WBGene00022114. History: N.A.
Y53F4B.17,chrII,+,15058130,15061960,-5.8,0.0,-10.8,1.4,5,11,8,18.0,20.0,Y53F4B.17,WBGene00013163,Public name for WBGene00013163. History: N.A.
F16B12.6,chrX,+,14102281,14107827,-5.8,0.0,-10.8,1.4,5,11,8,20.0,21.0,F16B12.6,WBGene00008882,Public name for WBGene00008882. History: N.A.
Y56A3A.31,chrIII,+,11982435,11989766,-5.8,0.0,-10.8,1.4,5,11,8,20.0,21.0,Y56A3A.31,WBGene00013243,Public name for WBGene00013243. History: N.A.
R07G3.6,chrII,+,7599588,7607945,-5.8,0.0,-10.8,1.4,5,11,8,21.0,21.0,R07G3.6,WBGene00003888,"Sequence name for WBGene00003888(osm-8). History: N.A.. Public name for Dead gene WBGene00019942. History of WBGene00019942: Merged into ""WBGene00003888"" on 2012-04-25"
Y55F3AM.3c,chrIV,+,1012652,1019687,-5.8,0.0,-10.8,1.4,5,11,8,20.0,21.0,Y55F3AM.3c,WBGene00021921,Molecule name for WBGene00021921(rbm-39). History: N.A.
Y48E1C.4b,chrII,-,13433805,13436734,-5.8,0.0,0.0,2.0,3,7,3,20.0,21.0,Y48E1C.4b,WBGene00013017,Molecule name for WBGene00013017(Y48E1C.4). History: N.A.
K08H2.1,chrX,-,13225733,13226586,-5.8,0.0,0.0,2.0,3,7,3,20.0,22.0,K08H2.1,WBGene00004827,Sequence name for WBGene00004827(skr-21). History: N.A.
F14B6.1,chrI,-,12216239,12217741,-5.8,0.0,0.0,2.0,3,7,3,18.0,21.0,F14B6.1,WBGene00008782,Sequence name for WBGene00008782(sdz-14). History: N.A.
PAR2.3b,chrIII,-,8756906,8760997,-5.8,0.0,0.0,2.0,3,7,3,20.0,22.0,PAR2.3b,WBGene00019801,Molecule name for WBGene00019801(aak-1). History: N.A.
H15N14.2b,chrI,-,7766532,7772225,-5.8,0.0,0.0,2.0,3,7,3,20.0,20.0,H15N14.2b,WBGene00003818,Molecule name for WBGene00003818(nsf-1). History: N.A.
C05D2.8,chrIII,-,5607470,5610300,-5.8,0.0,0.0,2.0,3,7,3,18.0,18.0,C05D2.8,WBGene00015469,Public name for WBGene00015469. History: N.A.
W01A8.1b,chrI,+,7057169,7059326,-5.7,0.0,-10.7,1.2,8,18,15,20.0,21.0,W01A8.1b,WBGene00007024,Molecule name for WBGene00007024(plin-1). History: N.A.
Y61A9LA.9,chrV,+,4571129,4585153,-5.7,0.0,-10.7,1.2,8,18,15,20.0,20.0,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
F25C8.3a,chrV,+,20875243,20894295,-5.7,0.0,0.0,3.3,1,2,0,22.0,,F25C8.3a,WBGene00006812,Molecule name for WBGene00006812(unc-80). History: N.A.
T26H2.10,chrV,+,19223818,19225039,-5.7,0.0,0.0,3.3,1,2,0,18.0,,T26H2.10,WBGene00044976,Public name for WBGene00044976. History: N.A.
Y17D7C.1,chrV,+,18707977,18711610,-5.7,0.0,0.0,3.3,1,2,0,22.0,,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
Y105C5A.17,chrIV,+,15726425,15726872,-5.7,0.0,0.0,3.3,1,2,0,21.0,,Y105C5A.17,WBGene00013640,Public name for WBGene00013640. History: N.A.
C04H5.1,chrII,+,14534204,14535019,-5.7,0.0,0.0,3.3,1,2,0,22.0,,C04H5.1,WBGene00007312,Public name for WBGene00007312. History: N.A.
Y71A12B.15,chrI,+,13992569,13996208,-5.7,0.0,0.0,3.3,1,2,0,21.0,,Y71A12B.15,WBGene00013511,"Public name for WBGene00013511. History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
F58H1.6,chrV,+,11942939,11944549,-5.7,0.0,0.0,3.3,1,2,0,22.0,,F58H1.6,WBGene00010289,Public name for WBGene00010289. History: N.A.
D2023.7,chrV,+,11829560,11831194,-5.7,0.0,0.0,3.3,1,2,0,19.0,,D2023.7,WBGene00000731,Sequence name for WBGene00000731(col-158). History: N.A.
C35E7.9,chrI,+,10806911,10808213,-5.7,0.0,0.0,3.3,1,2,0,19.0,,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
R166.1,chrII,+,10530691,10533428,-5.7,0.0,0.0,3.3,1,2,0,21.0,,R166.1,WBGene00003107,"Sequence name for WBGene00003107(mab-10). History: N.A.. Public name for Dead gene WBGene00011301. History of WBGene00011301: Merged into ""WBGene00003107"" on 2007-07-16"
C08B6.6,chrV,+,10123609,10124660,-5.7,0.0,0.0,3.3,1,2,0,21.0,,C08B6.6,WBGene00007427,Public name for WBGene00007427. History: N.A.
ZK945.8,chrII,+,10108625,10109001,-5.7,0.0,0.0,3.3,1,2,0,20.0,,ZK945.8,WBGene00014170,Public name for WBGene00014170. History: N.A.
C50F4.7,chrV,+,9547056,9547576,-5.7,0.0,0.0,3.3,1,2,0,18.0,,C50F4.7,WBGene00001911,Sequence name for WBGene00001911(his-37). History: N.A.
ZC513.3,chrV,+,8047024,8049508,-5.7,0.0,0.0,3.3,1,2,0,22.0,,ZC513.3,WBGene00022628,Public name for WBGene00022628. History: N.A.
C50F7.4,chrIV,+,7728903,7730628,-5.7,0.0,0.0,3.3,1,2,0,20.0,,C50F7.4,WBGene00016844,Sequence name for WBGene00016844(sucg-1). History: N.A.
C56E6.2,chrII,+,6524877,6526283,-5.7,0.0,0.0,3.3,1,2,0,23.0,,C56E6.2,WBGene00016970,Public name for WBGene00016970. History: N.A.
F46F11.7,chrI,+,5620783,5622924,-5.7,0.0,0.0,3.3,1,2,0,22.0,,F46F11.7,WBGene00018510,Public name for WBGene00018510. History: N.A.
ZK354.3,chrIV,+,5310223,5311392,-5.7,0.0,0.0,3.3,1,2,0,19.0,,ZK354.3,WBGene00022706,Public name for WBGene00022706. History: N.A.
R07E5.15,chrIII,+,4401429,4402476,-5.7,0.0,0.0,3.3,1,2,0,21.0,,R07E5.15,WBGene00011120,Public name for WBGene00011120. History: N.A.
K08A2.5c,chrII,+,2976634,2986010,-5.7,0.0,0.0,3.3,1,2,0,21.0,,K08A2.5c,WBGene00003678,Molecule name for WBGene00003678(nhr-88). History: N.A.
C43H6.4,chrX,+,2404019,2407355,-5.7,0.0,0.0,3.3,1,2,0,19.0,,C43H6.4,WBGene00016617,Public name for WBGene00016617. History: N.A.
C50D2.3,chrII,+,106258,107438,-5.7,0.0,0.0,3.3,1,2,0,22.0,,C50D2.3,WBGene00016807,Sequence name for WBGene00016807(txt-1). History: N.A.
C47E8.5,chrV,+,14684897,14688522,-5.6,0.0,-10.7,1.1,15,34,32,20.0,21.0,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
T20G5.1,chrIII,+,10203715,10209598,-5.6,0.0,-10.7,1.1,15,34,32,20.0,22.0,T20G5.1,WBGene00011867,Sequence name for WBGene00011867(chc-1). History: Renamed on 2008-04-30
Y43F8C.14,chrV,+,19692963,19700581,-5.6,0.0,-10.7,1.4,4,9,6,21.0,21.0,Y43F8C.14,WBGene00012835,Sequence name for WBGene00012835(ani-3). History: N.A.
C03C11.1,chrI,+,10014725,10015426,-5.6,0.0,-10.7,1.4,4,9,6,21.0,21.0,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C34E10.5,chrIII,+,5230514,5234457,-5.6,0.0,-10.7,1.4,4,9,6,21.0,21.0,C34E10.5,WBGene00016408,Sequence name for WBGene00016408(prmt-5). History: Renamed on 2007-07-20
Y47G6A.2,chrI,+,3608397,3611846,-5.6,0.0,-10.7,1.4,4,9,6,20.0,21.0,Y47G6A.2,WBGene00002144,Sequence name for WBGene00002144(inx-22). History: N.A.
C24H12.2,chrII,+,436866,438726,-5.6,0.0,-10.7,1.4,4,9,6,19.0,21.0,C24H12.2,WBGene00016072,Public name for WBGene00016072. History: N.A.
Y81G3A.3,chrII,+,13084078,13091395,-5.6,0.0,-10.6,1.0,17,39,37,21.0,22.0,Y81G3A.3,WBGene00013591,Sequence name for WBGene00013591(gcn-2). History: N.A.
B0379.3a,chrI,+,10080147,10085692,-5.6,0.0,-10.6,1.0,17,39,37,20.0,22.0,B0379.3a,WBGene00003508,Molecule name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
W09G3.2,chrI,-,13806905,13812255,-5.5,0.0,0.0,1.7,4,9,5,20.0,21.0,W09G3.2,WBGene00012366,"Sequence name for WBGene00012366(maea-1). History: Split into W09G3.16(WBGene00303084). History of WBGene00012366: Split into ""WBGene00303084"" on 2018-03-02"
Y46G5A.31,chrII,-,12866363,12878014,-5.5,0.0,0.0,1.7,4,9,5,21.0,21.0,Y46G5A.31,WBGene00001793,Sequence name for WBGene00001793(gsy-1). History: N.A.
Y79H2A.6,chrIII,-,12052219,12058339,-5.5,0.0,0.0,1.7,4,9,5,20.0,21.0,Y79H2A.6,WBGene00000201,Sequence name for WBGene00000201(arx-3). History: N.A.
F10B5.8,chrII,-,8141143,8143327,-5.5,0.0,0.0,1.7,4,9,5,21.0,20.0,F10B5.8,WBGene00008642,Sequence name for WBGene00008642(ints-11). History: N.A.
R01H2.3,chrIII,-,7058454,7060528,-5.5,0.0,0.0,1.7,4,9,5,20.0,22.0,R01H2.3,WBGene00019811,Sequence name for WBGene00019811(egg-2). History: N.A.
C14C11.6,chrV,-,5658760,5660688,-5.5,0.0,0.0,1.7,4,9,5,20.0,21.0,C14C11.6,WBGene00003507,Sequence name for WBGene00003507(mut-14). History: N.A.
ZK430.7,chrII,-,4422315,4424895,-5.5,0.0,0.0,1.7,4,9,5,22.0,21.0,ZK430.7,WBGene00022742,Public name for WBGene00022742. History: N.A.
K01A11.5,chrIII,-,3447125,3453969,-5.5,0.0,0.0,1.7,4,9,5,19.0,21.0,K01A11.5,,Sequence name for Suppressed gene WBGene00010452. Molecular name for Suppressed gene WBGene00010452. Public name for Suppressed gene WBGene00010452. History of WBGene00010452: Killed on 2009-08-12; Suppressed on 2012-11-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y71H2B.7,chrIII,-,2583973,2597023,-5.5,0.0,0.0,1.7,4,9,5,19.0,21.0,Y71H2B.7,WBGene00022196,Sequence name for WBGene00022196(gpa-17). History: N.A.
B0047.3,chrII,-,2044703,2045586,-5.5,0.0,0.0,1.7,4,9,5,19.0,21.0,B0047.3,WBGene00015014,Sequence name for WBGene00015014(bath-24). History: N.A.
C24H12.5b,chrII,-,406140,410927,-5.5,0.0,0.0,1.7,4,9,5,19.0,22.0,C24H12.5b,WBGene00016074,Molecule name for WBGene00016074(dnsn-1). History: N.A.
W07B3.2c,chrIII,-,344306,348608,-5.5,0.0,0.0,1.7,4,9,5,20.0,20.0,W07B3.2c,WBGene00001561,Molecule name for WBGene00001561(gei-4). History: N.A.
C06G4.1,chrIII,+,7987058,7990478,-5.5,0.0,-10.6,1.2,7,16,13,20.0,21.0,C06G4.1,WBGene00015557,Sequence name for WBGene00015557(hrpk-2). History: N.A.
Y38H6C.11,chrV,+,20518010,20519850,-5.4,0.0,0.0,1.6,3,7,4,20.0,20.0,Y38H6C.11,WBGene00012624,Sequence name for WBGene00012624(fbxa-150). History: N.A.
K05C4.5,chrI,+,14742752,14747777,-5.4,0.0,0.0,1.6,3,7,4,20.0,21.0,K05C4.5,WBGene00010582,Public name for WBGene00010582. History: N.A.
Y54G9A.5,chrII,+,13722873,13724918,-5.4,0.0,0.0,1.6,3,7,4,20.0,22.0,Y54G9A.5,WBGene00013208,Public name for WBGene00013208. History: N.A.
F36H1.4e,chrIV,+,11054281,11063584,-5.4,0.0,0.0,1.6,3,7,4,20.0,21.0,F36H1.4e,WBGene00002992,Molecule name for WBGene00002992(lin-3). History: Renamed on 2006-10-05
R05D11.5,chrI,+,8592085,8592919,-5.4,0.0,0.0,1.6,3,7,4,19.0,19.0,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
D2030.12,chrI,+,7583999,7585293,-5.4,0.0,0.0,1.6,3,7,4,20.0,22.0,D2030.12,WBGene00008421,Public name for WBGene00008421. History: N.A.
T23B3.1b,chrI,+,6717830,6719431,-5.4,0.0,0.0,1.6,3,7,4,19.0,19.0,T23B3.1b,WBGene00020709,Molecule name for WBGene00020709(T23B3.1). History: N.A.
Y54F10BM.1,chrIII,+,2331569,2341994,-5.4,0.0,0.0,1.6,3,7,4,21.0,21.0,Y54F10BM.1,WBGene00021856,Sequence name for WBGene00021856(ppm-1.D). History: N.A.
ZC123.1,chrI,+,837998,841749,-5.4,0.0,0.0,1.6,3,7,4,19.0,20.0,ZC123.1,WBGene00022517,Public name for WBGene00022517. History: N.A.
Y38A10A.5,chrV,-,6098976,6100536,-5.4,0.0,-8.0,1.3,12,27,21,19.0,21.0,Y38A10A.5,WBGene00000802,Sequence name for WBGene00000802(crt-1). History: N.A.
R09B3.2,chrI,-,11909348,11910094,-5.4,0.0,-8.0,1.5,5,11,7,20.0,21.0,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
K08C9.2,chrI,-,11486892,11488432,-5.4,0.0,-8.0,1.5,5,11,7,21.0,20.0,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
C25A1.10a,chrI,-,10187504,10190885,-5.4,0.0,-8.0,1.5,5,11,7,19.0,21.0,C25A1.10a,WBGene00000931,Molecule name for WBGene00000931(dao-5). History: N.A.
F08F3.8,chrV,-,5431300,5432541,-5.4,0.0,-8.0,1.5,5,11,7,20.0,20.0,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
ZC155.3,chrIII,-,5203672,5206870,-5.4,0.0,-8.0,1.3,11,25,19,20.0,22.0,ZC155.3,WBGene00022531,Sequence name for WBGene00022531(morc-1). History: N.A.
C16H3.3b,chrX,-,17601543,17609961,-5.4,0.0,-8.0,1.3,10,23,17,19.0,21.0,C16H3.3b,WBGene00015868,Molecule name for WBGene00015868(C16H3.3). History: N.A.
ZK1055.7,chrV,-,6602720,6605360,-5.3,0.0,-8.0,1.5,6,14,9,19.0,20.0,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
Y55B1BR.5,chrIII,-,453784,455118,-5.3,0.0,-8.0,1.5,6,14,9,20.0,21.0,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
F58B3.5,chrIV,-,11631912,11635456,-5.3,0.0,-8.0,1.3,9,21,15,21.0,20.0,F58B3.5,WBGene00003415,Sequence name for WBGene00003415(mars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-25
H39E23.1d,chrV,-,14112018,14141098,-5.3,0.0,-8.0,1.4,8,18,13,21.0,22.0,H39E23.1d,WBGene00003916,Molecule name for WBGene00003916(par-1). History: N.A.
F34H10.3,chrX,-,9633232,9634981,-5.3,0.0,-8.0,1.4,8,18,13,20.0,20.0,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
ZK973.8,chrI,-,4364911,4366996,-5.3,0.0,-8.0,1.4,8,18,13,20.0,22.0,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
W08F4.8a,chrII,-,577837,580591,-5.3,0.0,-8.0,1.4,8,18,13,21.0,21.0,W08F4.8a,WBGene00021097,Molecule name for WBGene00021097(cdc-37). History: N.A.
W02B12.1,chrII,+,11448937,11451362,-5.3,0.0,-10.4,1.1,9,21,18,19.0,19.0,W02B12.1,WBGene00012201,Public name for WBGene00012201. History: N.A.
Y111B2A.1,chrIII,-,12492804,12495518,-5.3,0.0,-8.0,1.4,7,16,11,21.0,22.0,Y111B2A.1,WBGene00013727,Public name for WBGene00013727. History: N.A.
C27H6.2,chrV,-,9978766,9980741,-5.3,0.0,-8.0,1.4,7,16,11,21.0,21.0,C27H6.2,WBGene00007784,Sequence name for WBGene00007784(ruvb-1). History: N.A.
F30F8.1,chrI,-,7832708,7835398,-5.3,0.0,-8.0,1.4,7,16,11,22.0,21.0,F30F8.1,WBGene00009270,Public name for WBGene00009270. History: N.A.
Y65B4BL.5,chrI,-,511018,516459,-5.3,0.0,-8.0,1.4,7,16,11,20.0,21.0,Y65B4BL.5,WBGene00022037,Sequence name for WBGene00022037(acs-13). History: N.A.
F32A7.5c,chrI,+,14846465,14850111,-5.3,0.0,0.0,1.9,2,5,2,21.0,21.0,F32A7.5c,WBGene00009306,Molecule name for WBGene00009306(maph-1.1). History: N.A.
K05C4.4,chrI,+,14735223,14736932,-5.3,0.0,0.0,1.9,2,5,2,18.0,20.0,K05C4.4,WBGene00010581,Public name for WBGene00010581. History: N.A.
Y45F10B.2,chrIV,+,13594484,13596246,-5.3,0.0,0.0,1.9,2,5,2,21.0,22.0,Y45F10B.2,WBGene00012870,Public name for WBGene00012870. History: N.A.
Y47H9C.10,chrI,+,11901598,11903160,-5.3,0.0,0.0,1.9,2,5,2,20.0,20.0,Y47H9C.10,WBGene00012953,Sequence name for WBGene00012953(fbxa-216). History: N.A.
ZK1098.4,chrIII,+,9542993,9544309,-5.3,0.0,0.0,1.9,2,5,2,20.0,22.0,ZK1098.4,WBGene00014221,Sequence name for WBGene00014221(eif-2Balpha). History: N.A.
F38E11.3,chrIV,+,9451317,9453244,-5.3,0.0,0.0,1.9,2,5,2,19.0,22.0,F38E11.3,WBGene00000775,Sequence name for WBGene00000775(cpin-1). History: Renamed on 2006-01-04
F32H2.4,chrI,+,8971131,8972954,-5.3,0.0,0.0,1.9,2,5,2,20.0,20.0,F32H2.4,WBGene00009341,Sequence name for WBGene00009341(thoc-3). History: N.A.
K07G5.2,chrI,+,7159723,7160750,-5.3,0.0,0.0,1.9,2,5,2,19.0,22.0,K07G5.2,WBGene00006963,Sequence name for WBGene00006963(xpa-1). History: Renamed on 2008-03-07
F41G3.14,chrII,+,6741627,6742758,-5.3,0.0,0.0,1.9,2,5,2,21.0,23.0,F41G3.14,WBGene00018305,Sequence name for WBGene00018305(exos-8). History: N.A.
T09B4.2,chrI,+,6184081,6185308,-5.3,0.0,0.0,1.9,2,5,2,23.0,20.0,T09B4.2,WBGene00020376,Public name for WBGene00020376. History: N.A.
H20J04.8,chrII,+,4324353,4326083,-5.3,0.0,0.0,1.9,2,5,2,21.0,23.0,H20J04.8,WBGene00003390,"Sequence name for WBGene00003390(mog-2). History: Renamed on 2011-05-05. Other name for Dead gene WBGene00019223. Other name for Dead gene WBGene00044076. History of WBGene00019223: Merged into ""WBGene00044076"" on 2005-06-13. History of Dead gene WBGene00044076: Renamed on 2005-06-13; Merged into ""WBGene00003390"" on 2011-05-05. History of WBGene00044076: Renamed on 2005-06-13; Merged into ""WBGene00003390"" on 2011-05-05"
C56G7.3,chrIII,+,3389908,3392504,-5.3,0.0,0.0,1.9,2,5,2,22.0,22.0,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
Y73E7A.3,chrI,+,1586168,1593661,-5.3,0.0,0.0,1.9,2,5,2,19.0,20.0,Y73E7A.3,WBGene00022270,Public name for WBGene00022270. History: N.A.
