cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
F38B7.5,duo-1,21,9,102,93,293,703,,Ubiquitin-specific protease ,Mountain 7,159,16,5.94,228,10,7.0,502,5,104.12,44,6,7.6,223,0,243.79,39,28,0.98,63,65,0.91,125,302,0.41,86,260,0.41,55,62,0.55,27,79,0.42,F38B7.5,WBGene00001110,Sequence name for WBGene00001110(duo-1). History: N.A.
E01A2.6,E01A2.6,356,132,341,273,1039,1449,,Uncharacterized conserved protein ,,195,17,6.87,779,17,14.57,552,7,85.85,51,1,30.72,108,6,16.95,88,70,0.89,253,203,1.17,361,530,0.67,299,561,0.66,218,128,1.05,161,230,0.85,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
B0365.3,eat-6,3438,1512,3442,2368,2590,3318,"eat-6 encodes an ortholog of the alpha subunit of a sodium/potassium ATPase, which in turn affects Na+,K(+)-ATPase activity of membranes by affecting the level of the phosphorylated intermediate of the Na+,K(+)-ATPase; EAT-6 affects relaxation of the pharyngeal muscles, fertility (and thus affects feeding); EAT-6 also affects body length, life span, and ASE, ASI and ASJ axonal outgrowth. ","Na+/K+ ATPase, alpha subunit ",Mountain ,64,9,4.1,114,1,19.33,158,6,28.21,23,2,9.45,65,2,23.94,732,842,0.62,2710,1526,1.67,1071,1379,0.76,974,1424,0.85,284,237,0.74,261,278,1.13,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
Y67D8C.5,eel-1,5018,2560,4644,4514,7556,6377,,E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein ,Mountain 5,405,49,5.12,1056,43,8.08,740,24,36.81,57,2,22.84,263,28,9.91,2325,1237,1.34,2319,3277,0.67,3490,2423,1.41,2867,2528,1.4,738,688,0.66,461,738,0.75,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
Y55D9A.1b,efa-6,252,33,272,239,760,1514,"efa-6 encodes a putative guanine nucleotide exchange factor that inhibits DHC-1 in vivo; EFA-6's human orthologs are the pleckstrin and Sec7 domain proteins PSD/TYL/cytohesin-1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=602327"">OMIM:602327</a>), PSD2, PSD3, and PSD4; efa-6(RNAi) suppresses the lethality of conditional dhc-1 mutations, as well as the spindle length and cytokinesis defects of dhc-1(or195), indicating that EFA-6 negatively regulates dynein; EFA-6 is localized to nonpolarized cell cortex in oocytes and early one-cell zygotes, to anterior cell cortex in one-cell embryos after pseudocleavage, and to the interface of AB and P1 blastomeres, subsequently disappearing in four-cell embryos; EFA-6 has a central Sec7 domain predicted to activate guanine-nucleotide exchange in ARF1, and a C-terminal pleckstrin-homology domain predicted to activate the Sec7 domain when binding phosphatidylinositol. ",Guanine nucleotide exchange factor EFA6 ,Mountain 11,74,10,4.3,229,9,7.73,210,6,37.44,21,4,5.2,43,0,47.89,39,54,0.52,233,185,1.18,317,589,0.53,234,639,0.45,131,116,0.7,78,170,0.56,Y55D9A.1b,WBGene00013223,Molecule name for WBGene00013223(efa-6). History: N.A.
C27D11.1,egl-45,3512,1981,2626,2748,4853,3393,"egl-45 encodes a homolog of eukaryotic translation initiation factor 3, subunit 10, that affects development of the HSNs that affect egg laying. ","Translation initiation factor 3, subunit a (eIF-3a) ",Mountain 5,98,12,4.81,238,4,16.07,154,3,48.13,35,0,42.53,55,1,30.47,1216,663,1.31,1410,2085,0.64,2086,1304,1.57,1685,1331,1.56,719,312,1.42,363,446,0.98,C27D11.1,WBGene00001209,Sequence name for WBGene00001209(egl-45). History: N.A.
T23D8.4,eif-3.C,4262,1920,3023,3072,4334,3311,"eif-3.C encodes a putative c subunit of translation initiation factor 3 that is required for fertility and for embryonic osmotic integrity; eif-3.C is orthologous to human EIF3S8 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603916"">OMIM:603916</a>) and budding yeast NIP1. ","Translation initiation factor 3, subunit c (eIF-3c) ", ,111,8,7.85,165,6,7.97,212,6,37.79,71,4,17.01,97,0,106.66,1101,603,1.3,1922,2469,0.73,1883,1257,1.47,1575,1316,1.48,551,313,1.09,325,425,0.92,T23D8.4,WBGene00001226,Sequence name for WBGene00001226(eif-3.C). History: N.A.
B0511.10,eif-3.E,851,311,953,732,1090,833,"eif-3.E encodes the C. elegans ortholog of the translation initiation factor 3 subunit e (eIF3e/Int-6); by homology, EIF-3.E is predicted to be a component of three different protein complexes, the eIF3 translation initiation factor, the 26S proteasome, and the COP9 signalosome; such association suggests that EIF-3.E may serve as a regulatory factor that coordinates the translational and degradative activities of these various complexes; in C. elegans, large-scale RNAi screens indicate that eif-3.E is required for embryonic, larval, and germline development, as well as proper vulval morphogenesis. ","Translation initiation factor 3, subunit e (eIF-3e) ",Mountain 5,87,4,11.11,225,3,19.0,164,3,51.23,14,1,8.86,83,1,45.71,337,200,1.2,616,532,1.09,434,326,1.3,313,335,1.16,199,60,2.03,144,112,1.55,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
F01F1.3,F01F1.3,68,3,28,12,79,79,,,Mountain 8,18,81,0.15,12,64,0.07,115,537,0.27,2,50,0.07,20,208,0.11,5,4,0.86,23,8,2.51,23,33,0.69,22,33,0.84,19,7,1.55,15,6,2.76,F01F1.3,WBGene00017160,Public name for WBGene00017160. History: N.A.
F01G10.1,F01G10.1,3326,1015,2672,3117,3204,5714,"tkt-1 encodes an ortholog of the human gene TRANSKETOLASE (TKT; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=606781"">OMIM:606781</a>), which when mutated leads to Wernicke-Korsakoff syndrome (OMIM:277730). ",Transketolase ,Mountain 20,78,6,7.12,132,2,14.91,177,4,44.21,24,2,9.85,79,0,87.07,956,814,0.84,1716,2303,0.7,1328,2414,0.54,1068,2447,0.54,487,350,0.86,321,503,0.77,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
F01G4.4,F01G4.4,24,75,187,776,979,2982,,,Mountain 11,240,21,6.91,452,4,30.46,463,15,36.02,115,7,17.13,144,1,78.91,62,146,0.31,125,630,0.19,416,1201,0.34,329,1144,0.36,137,268,0.32,97,369,0.32,F01G4.4,WBGene00008503,Public name for WBGene00008503. History: N.A.
F08F8.2,F08F8.2,228,79,257,218,421,690,,3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) reductase ,Mountain 5,90,7,7.18,236,4,15.94,180,5,37.47,18,0,22.45,84,0,92.51,72,51,1.0,185,167,1.04,168,274,0.6,127,283,0.56,68,44,0.95,58,89,0.79,F08F8.2,WBGene00017268,Sequence name for WBGene00017268(hmgr-1). History: N.A.
F09F7.3,F09F7.3,402,306,872,939,935,1582,,"RNA polymerase III, second largest subunit ",Mountain 2,62,9,3.98,86,0,29.25,171,3,53.4,12,1,7.68,69,6,10.88,210,175,0.86,662,764,0.82,366,629,0.57,265,696,0.47,172,112,0.95,132,145,1.1,F09F7.3,WBGene00017300,Sequence name for WBGene00017300(rpc-2). History: N.A.
F09F7.4b,F09F7.4,1094,221,731,457,763,668,,Enoyl-CoA hydratase ,Mountain ,46,8,3.3,126,0,42.7,79,1,49.68,18,4,4.49,17,3,4.9,279,133,1.49,452,324,1.31,348,259,1.32,271,292,1.15,80,47,1.04,64,70,1.1,F09F7.4b,WBGene00017301,Molecule name for WBGene00017301(hach-1). History: N.A.
F11A10.4,F11A10.4,364,67,411,264,398,898,,Uncharacterized conserved protein ,Mountain 2,79,4,10.1,92,5,5.21,201,7,31.36,18,0,22.45,47,0,52.24,118,84,1.0,293,180,1.53,171,361,0.47,111,408,0.34,70,52,0.83,46,77,0.73,F11A10.4,WBGene00008685,Sequence name for WBGene00008685(mon-2). History: N.A.
F12F6.1,F12F6.1,315,123,435,269,1345,1278,,,Mountain 2,35,5,3.79,49,3,4.2,67,0,84.45,11,0,14.18,28,0,31.56,146,80,1.29,289,189,1.44,535,516,1.02,439,487,1.11,203,105,1.19,168,170,1.19,F12F6.1,WBGene00008720,Public name for WBGene00008720. History: N.A.
F16B12.6,F16B12.6,333,159,283,234,544,277,,Unnamed protein ,Mountain 5,144,18,4.82,239,24,3.23,368,20,21.82,41,0,49.62,49,9,5.44,125,60,1.47,158,174,0.86,216,97,2.17,195,122,1.97,83,25,2.0,50,33,1.81,F16B12.6,WBGene00008882,Public name for WBGene00008882. History: N.A.
F22F1.2,F22F1.2,3,0,1,1,1,22,,Casein kinase (serine/threonine/tyrosine protein kinase) ,Mountain 9,0,13,0.05,5,13,0.14,6,161,0.05,1,18,0.12,2,72,0.04,1,1,0.71,0,0,0.94,0,10,0.09,0,9,0.12,1,0,1.24,0,3,0.3,F22F1.2,WBGene00017714,Public name for WBGene00017714. History: N.A.
F25B4.6,F25B4.6,117,59,200,130,73,174,"F25B4.6 is orthologous to the human gene 3-HYDROXY-3-METHYLGLUTARYL COA SYNTHASE (HMGCS2; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=600234"">OMIM:600234</a>), which when mutated leads to disease. ",Hydroxymethylglutaryl-CoA synthase ,Mountain 44,76,3,12.15,116,7,4.92,178,5,37.05,14,0,17.72,47,5,8.71,59,42,1.0,141,88,1.5,28,77,0.36,21,80,0.34,14,7,1.16,10,10,1.21,F25B4.6,WBGene00017769,Sequence name for WBGene00017769(hmgs-1). History: Renamed on 2005-03-17
F25B5.2,F25B5.2,62,21,201,238,897,3393,,,Mountain 7,114,6,10.37,228,9,7.7,307,25,14.71,83,3,24.81,100,13,7.85,56,63,0.64,145,175,0.78,352,1382,0.25,291,1386,0.26,161,320,0.31,93,305,0.37,F25B5.2,WBGene00017774,Sequence name for WBGene00017774(nop-1). History: N.A.
F25H5.3a,F25H5.3,1156,629,1529,1718,2295,3753,"pyk-1 encodes one of two C. elegans pyruvate kinases; large-scale RNAi experiments indicate that pyk-1 is essential for embryonic development and specifically, for normal cortical activity in the AB blastomere; large-scale expression studies show that pyk-1 is expressed in body wall muscle in larvae and in body wall and vulval muscle, as well as in the reproductive system, in adults. ",Pyruvate kinase ,Mountain ,65,12,3.2,157,5,8.85,196,9,24.47,27,1,16.54,61,11,5.62,398,454,0.63,1131,1264,0.84,935,1449,0.63,805,1516,0.66,296,338,0.54,259,450,0.7,F25H5.3a,WBGene00009126,Molecule name for WBGene00009126(pyk-1). History: N.A.
F26F4.6,F26F4.6,42,16,62,42,297,59,,,Mountain 2,85,287,0.19,174,665,0.09,447,3462,0.16,154,710,0.26,281,1720,0.18,4,12,0.27,58,30,1.79,108,26,3.96,114,24,5.69,49,4,6.18,26,5,5.43,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
F31C3.2b,F31C3.2,191,167,264,341,738,868,"F31C3.2 encodes, by alternative splicing, two isoforms of a putative nucleotidyl tranferase orthologous to human PAPD4, and paralogous to GLD-2 and MUT-2; although it is homologous to GLD-2, CID-1, and related polynucleotide polymerases, F31C3.2 neither promotes mRNA translation nor exhibits poly(A) or poly(U) activity on mRNA substrates when tested in Xenopus oocytes; in mass RNAi assays, F31C3.2 is required for normal meiotic chromosome segregation. ",S-M checkpoint control protein CID1 and related nucleotidyltransferases ,Mountain 5,58,5,6.21,116,4,7.87,86,4,21.61,11,0,14.18,25,0,28.3,68,78,0.62,196,263,0.7,289,349,0.81,267,353,0.94,88,61,0.89,94,105,1.08,F31C3.2b,WBGene00009284,Molecule name for WBGene00009284(gldr-2). History: N.A.
F33H1.4,F33H1.4,331,165,639,646,1722,2618,,,Mountain 9,99,13,4.51,134,10,4.13,132,18,8.69,13,1,8.27,75,0,82.72,239,160,1.06,400,486,0.78,788,1022,0.76,570,1061,0.66,226,205,0.68,138,330,0.51,F33H1.4,WBGene00009365,Public name for WBGene00009365. History: N.A.
F35F11.1,F35F11.1,62,48,133,77,319,302,,RNA polymerase II assessory factor Cdc73p ,Mountain 5,54,2,11.57,72,1,12.27,101,1,63.34,25,1,15.36,12,0,14.15,22,32,0.5,111,45,2.29,120,135,0.87,100,143,0.87,67,8,4.67,32,16,2.34,F35F11.1,WBGene00018064,Sequence name for WBGene00018064(cdc-73). History: N.A.
F38A5.2a,F38A5.2,367,159,419,377,614,1054,,"Uncharacterized conserved protein, contains TraB domain ",Mountain 20,38,3,6.15,72,1,12.27,169,1,105.57,27,0,33.08,47,0,52.24,123,99,0.88,296,278,1.0,252,419,0.59,206,413,0.62,79,104,0.47,77,118,0.79,F38A5.2a,WBGene00018161,Molecule name for WBGene00018161(F38A5.2). History: N.A.
F38E11.5,F38E11.5,1526,474,1787,1346,1562,1630,"F38E11.5 encodes a beta' (beta-prime) subunit of the coatomer (COPI) complex; in mass RNAi assays, F38E11.5 is required for fertility and general health. ","Vesicle coat complex COPI, beta' subunit ",Mountain ,96,18,3.22,221,7,9.33,170,6,30.34,17,0,21.27,60,0,66.39,572,395,1.03,1215,951,1.2,573,683,0.82,506,693,0.9,294,105,1.72,189,149,1.53,F38E11.5,WBGene00009542,Sequence name for WBGene00009542(copb-2). History: N.A.
F41C3.8b,F41C3.8,12,4,15,3,6,9,,,Mountain 1,14,33,0.28,23,31,0.25,16,496,0.04,4,82,0.07,72,312,0.25,5,1,2.14,10,2,3.45,2,2,0.98,2,7,0.46,2,0,1.86,0,0,1.21,F41C3.8b,WBGene00018274,Molecule name for WBGene00018274(F41C3.8). History: N.A.
F43G9.5,F43G9.5,205,92,104,88,322,480,"F43G9.5 encodes a NUDIX hydrolase that that inhibits DHC-1 in vivo, and is a (perhaps evolutionarily conserved) target of transcriptional activation by DAF-16; F43G9.5(RNAi) suppresses the lethality of conditional dhc-1 mutations, as well as the spindle length and cytokinesis defects of dhc-1(or195), indicating that F43G9.5 negatively regulates dynein; while loss of F43G9.5 function has no obvious effect on lifespan, dauer formation, or fat storage, F43G9.5 is required for embryonic development, fertility, and general health in mass RNAi assays. ",mRNA cleavage factor I subunit ,Mountain 5,41,0,26.5,77,4,5.25,132,4,33.04,33,0,40.17,39,6,6.22,24,32,0.54,80,56,1.34,116,190,0.6,95,223,0.53,70,25,1.69,41,42,1.18,F43G9.5,WBGene00009668,Sequence name for WBGene00009668(cfim-1). History: N.A.
F44E7.4b,F44E7.4,613,276,977,636,1396,1632,,"N-arginine dibasic convertase NRD1 and related Zn2+-dependent endopeptidases, insulinase superfamily ",Mountain 5,41,5,4.42,95,2,10.76,101,4,25.34,15,0,18.9,54,0,59.86,218,192,0.81,759,444,1.61,563,666,0.83,485,704,0.85,217,112,1.19,131,150,1.05,F44E7.4b,WBGene00018426,Molecule name for WBGene00018426(F44E7.4). History: N.A.
F45F2.10,F45F2.10,320,218,460,371,786,1626,,,Mountain 2,67,8,4.77,138,10,4.25,229,2,95.22,38,0,46.08,61,0,67.48,99,86,0.82,361,285,1.19,281,614,0.45,255,669,0.47,156,132,0.73,94,211,0.54,F45F2.10,WBGene00018482,Public name for WBGene00018482. History: N.A.
F46F11.9b,F46F11.9,320,59,300,231,439,816,"F46F11.9 encodes an ortholog of S. cerevisiae GSG1, involved in intracellular transport and meiosis; F46F11.9 shares an operon with vha-10, and thus might be a previously undescribed V-ATPase component or ancillary protein. ",Protein with predicted involvement in meiosis (GSG1) ,Mountain 2,88,2,18.72,170,9,5.75,196,5,40.78,11,0,14.18,115,0,126.25,76,49,1.1,224,182,1.16,182,371,0.48,147,312,0.58,65,56,0.72,45,77,0.71,F46F11.9b,WBGene00018512,Molecule name for WBGene00018512(trpp-8). History: N.A.
F48E8.6,F48E8.6,231,98,375,469,481,1066,,,Mountain 5,116,11,6.15,344,6,16.57,339,1,211.13,53,8,7.09,116,0,127.34,113,90,0.89,262,379,0.65,215,473,0.45,152,440,0.43,67,59,0.7,47,94,0.61,F48E8.6,WBGene00018612,Sequence name for WBGene00018612(disl-2). History: Renamed on 2017-03-13
F49D11.10,F49D11.10,110,61,217,215,122,165,,,,92,13,4.19,98,7,4.16,228,4,56.88,76,21,4.14,61,1,33.74,66,67,0.7,151,148,0.96,44,67,0.65,49,75,0.81,19,7,1.55,10,16,0.78,F49D11.10,WBGene00045433,Public name for WBGene00045433. History: N.A.
F52B5.3,F52B5.3,92,50,313,523,693,2121,The F52B5.3 gene encodes a DEAH helicase orthologous to the Drosophila SpindleE protein. ,ATP-dependent RNA helicase A ,Mountain 7,206,9,13.06,292,10,8.96,535,35,18.49,41,1,24.81,129,1,70.74,61,123,0.36,252,400,0.59,330,851,0.38,240,929,0.32,70,132,0.33,53,209,0.31,F52B5.3,WBGene00009922,Public name for WBGene00009922. History: N.A.
F53C11.4,F53C11.4,285,63,277,199,507,529,,,Mountain 9,49,8,3.51,158,6,7.64,128,4,32.04,22,0,27.17,37,0,41.36,81,38,1.5,196,161,1.14,215,204,1.03,161,220,0.91,67,52,0.79,64,53,1.45,F53C11.4,WBGene00009974,Public name for WBGene00009974. History: N.A.
F53F4.11,F53F4.11,859,352,743,1018,1377,1642,,Uncharacterized conserved protein ,Mountain 2,62,4,7.95,189,3,15.97,172,4,42.97,10,0,13.0,59,10,5.94,197,289,0.49,546,729,0.71,552,599,0.9,460,649,0.88,267,196,0.84,98,198,0.6,F53F4.11,WBGene00009993,Public name for WBGene00009993. History: N.A.
F53H4.6,F53H4.6,6,2,37,12,24,24,,,Mountain 3,120,14,5.09,104,8,3.92,525,39,16.33,23,0,28.35,112,10,11.18,16,4,2.42,21,8,2.3,13,5,2.29,6,12,0.67,2,4,0.37,3,3,1.21,F53H4.6,WBGene00010011,Public name for WBGene00010011. History: N.A.
F54C8.4,F54C8.4,370,57,479,312,1159,1737,,"mRNA capping enzyme, guanylyltransferase (alpha) subunit ",Mountain 11,59,10,3.44,71,4,4.84,116,1,72.65,13,0,16.54,38,4,8.49,92,73,0.9,387,239,1.52,394,645,0.6,340,753,0.56,295,105,1.73,130,234,0.67,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
F54C9.6b,F54C9.6,55,50,99,53,252,334,"F54C9.6 encodes a protein orthologous to the human mitochondrial protein BCS1 (YEAST HOMOLOG)-LIKE (BCS1L; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603647"">OMIM:603647</a>); mutation of BCS1L leads to neonatal tubulopathy, encephalopathy, and liver failure, or to GRACILE syndrome. ",AAA+-type ATPase ,Mountain 2,57,6,5.23,58,2,6.61,120,0,150.28,11,0,14.18,29,0,32.65,6,15,0.31,93,38,2.27,90,136,0.65,57,139,0.51,62,33,1.15,43,26,1.97,,,
F54D5.14,F54D5.14,241,103,628,696,2406,5493,,DNA repair protein RAD18 (SMC family protein) ,Mountain 11,109,10,6.31,174,0,58.84,272,6,48.44,23,3,7.09,135,2,49.34,150,160,0.67,478,536,0.84,917,2003,0.45,716,2269,0.39,468,485,0.6,305,736,0.5,F54D5.14,WBGene00010056,Sequence name for WBGene00010056(smc-6). History: N.A.
F54E12.2,F54E12.2,137,40,440,442,2733,3625,,"RNA polymerase II transcription termination factor TTF2/lodestar, DEAD-box superfamily ",Mountain 7,79,11,4.21,107,11,3.03,233,32,8.81,12,0,15.36,87,7,11.97,139,79,1.25,301,363,0.78,1155,1385,0.82,992,1445,0.85,355,380,0.58,231,415,0.67,F54E12.2,WBGene00010061,Public name for WBGene00010061. History: N.A.
F54F7.7,F54F7.7,0,0,0,0,0,0,,Putative protein methyltransferase involved in meiosis and transcriptional silencing (Dot1) ,Mountain 0,8,75,0.07,12,141,0.03,18,3699,0.01,1,305,0.01,6,594,0.01,0,0,0.71,0,0,0.94,0,0,0.98,0,0,1.24,0,0,0.62,0,0,1.21,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
F55A12.5,F55A12.5,271,162,288,149,1007,966,,,Mountain 7,104,21,3.01,173,18,3.08,272,26,12.56,48,5,9.65,66,7,9.12,85,45,1.33,203,104,1.83,387,400,0.95,304,401,0.94,213,64,2.04,103,101,1.23,F55A12.5,WBGene00018864,Public name for WBGene00018864. History: N.A.
F55A12.8,F55A12.8,221,187,399,328,332,438,,Predicted P-loop ATPase fused to an acetyltransferase ,Mountain 5,90,9,5.74,224,5,12.61,181,4,45.21,28,1,17.13,43,2,15.96,93,92,0.72,306,236,1.22,121,163,0.73,102,198,0.64,63,33,1.16,46,44,1.26,F55A12.8,WBGene00018866,Sequence name for WBGene00018866(nath-10). History: Renamed on 2015-03-05
F55A3.3,F55A3.3,2075,619,1850,1734,7738,4193,,"Global transcriptional regulator, cell division control protein ",Mountain 11,249,21,7.17,342,33,3.39,306,81,4.65,23,5,4.73,146,10,14.54,694,391,1.26,1156,1343,0.81,3370,1451,2.28,2555,1385,2.28,1246,714,1.08,567,643,1.06,F55A3.3,WBGene00018849,Sequence name for WBGene00018849(spt-16). History: N.A.
F56C9.6b,F56C9.6,19,14,210,415,1102,1070,,,Mountain 7,78,5,8.31,334,5,18.77,193,1,120.47,50,0,60.25,70,0,77.27,59,46,0.91,151,369,0.39,432,388,1.09,347,391,1.1,215,116,1.14,108,175,0.75,F56C9.6b,WBGene00018950,Molecule name for WBGene00018950(F56C9.6). History: N.A.
F56D1.3,F56D1.3,153,52,187,131,220,377,,Mitochondrial/chloroplast ribosomal protein S16 ,Mountain 20,34,1,11.04,64,5,3.64,105,13,9.4,10,0,13.0,61,21,3.07,51,29,1.24,136,102,1.25,78,162,0.48,79,170,0.58,40,29,0.85,23,16,1.7,F56D1.3,WBGene00018961,Sequence name for WBGene00018961(mrps-16). History: N.A.
F56D2.6b,F56D2.6,373,212,548,594,912,1307,"The F56D2.6 gene encodes a DEAH helicase orthologous to the Drosophila CG11107, the human DDX15, and the S. cerevisiae PRP43 proteins. ",mRNA splicing factor ATP-dependent RNA helicase ,Mountain 5,68,1,21.77,106,3,8.99,93,0,116.74,12,0,15.36,42,1,23.4,152,157,0.69,396,437,0.85,380,536,0.7,304,570,0.66,121,84,0.89,107,117,1.1,F56D2.6b,WBGene00018967,Molecule name for WBGene00018967(ddx-15). History: N.A.
F57C9.7,F57C9.7,33,30,54,129,271,323,,,Mountain 7,60,3,9.62,133,4,9.01,99,0,124.2,44,12,4.09,24,0,27.21,11,32,0.26,43,97,0.42,100,94,1.04,94,126,0.92,45,39,0.71,32,64,0.61,F57C9.7,WBGene00019013,Sequence name for WBGene00019013(tofu-4). History: N.A.
F57F5.1,F57F5.1,3709,449,6154,2257,3882,2091,,,Mountain 8,44,471,0.06,61,591,0.04,146,2764,0.07,6,215,0.04,90,1243,0.08,1727,1110,1.11,4427,1147,3.63,1611,683,2.31,1299,809,1.98,497,273,1.12,475,326,1.76,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
F58G1.1,F58G1.1,14,25,219,262,1154,1733,,Translation initiation factor 2C (eIF-2C) and related proteins ,Mountain 7,662,50,8.2,1370,26,17.07,814,3,253.05,41,3,12.41,279,7,38.09,54,80,0.48,165,182,0.85,512,669,0.75,382,682,0.69,141,185,0.47,119,197,0.73,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F58G11.2,F58G11.2,1129,211,885,917,1549,1195,,,Mountain 13,126,9,8.01,201,5,11.32,333,23,17.28,20,0,24.81,118,1,64.76,292,223,0.93,593,694,0.8,668,450,1.45,514,421,1.51,236,140,1.04,131,184,0.86,F58G11.2,WBGene00010280,Sequence name for WBGene00010280(rde-12). History: N.A.
F58H7.2,F58H7.2,120,49,247,203,172,261,,Amidases ,Mountain 1,9,42,0.15,23,35,0.22,55,818,0.08,18,134,0.17,22,313,0.08,62,68,0.65,185,135,1.29,74,129,0.57,49,99,0.62,27,11,1.44,22,22,1.21,F58H7.2,WBGene00019068,Sequence name for WBGene00019068(faah-3). History: N.A.
F59A2.3,F59A2.3,629,237,472,398,558,645,,"Complement component 1, Q subcomponent binding protein/mRNA splicing factor SF2, subunit P32 ",Mountain 41,37,4,4.8,131,3,11.1,60,1,37.88,25,3,7.68,22,4,5.01,250,114,1.56,222,284,0.74,211,260,0.8,204,303,0.83,80,27,1.79,63,55,1.38,F59A2.3,WBGene00010303,Sequence name for WBGene00010303(cri-3). History: N.A.
F59B8.2,F59B8.2,3132,1159,2611,1824,1527,1488,,NADP-dependent isocitrate dehydrogenase ,Mountain 0,53,10,3.1,120,5,6.78,100,3,31.36,10,0,13.0,37,0,41.36,992,762,0.93,1619,1062,1.43,645,573,1.1,548,657,1.03,172,119,0.89,162,139,1.4,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
F59E12.1,F59E12.1,131,48,258,225,886,970,,,Mountain 2,92,10,5.34,132,9,4.47,92,7,14.44,12,0,15.36,26,2,9.8,65,47,0.98,193,178,1.02,363,385,0.92,322,387,1.03,87,98,0.55,114,100,1.37,F59E12.1,WBGene00019118,Public name for WBGene00019118. History: N.A.
F59E12.9,F59E12.9,871,235,874,900,3711,2576,,,Mountain 5,96,12,4.71,248,11,6.98,334,16,24.47,37,5,7.48,96,13,7.54,299,155,1.37,575,745,0.73,1480,753,1.93,1240,784,1.95,701,495,0.88,290,544,0.64,F59E12.9,WBGene00019124,Public name for WBGene00019124. History: N.A.
F45C12.8,fbxa-184,0,0,0,0,5,0,"This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; this gene's encoded protein also contains an FTH/DUF38 motif, which may also mediate protein-protein interaction. ",Uncharacterized protein ,Mountain 9,181,5,19.14,252,0,85.07,212,4,52.91,16,0,20.08,86,0,94.69,0,0,0.71,0,0,0.94,1,0,1.96,3,0,4.94,1,0,1.24,0,0,1.21,F45C12.8,WBGene00018439,Sequence name for WBGene00018439(fbxa-184). History: N.A.
Y41E3.9,fcd-2,177,47,314,265,858,1245,"fcd-2 encodes an ortholog of the human gene FANCD2 (mutated in Fanconi anemia, <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=227646"">OMIM:227646</a>) that is strongly required for resistance to DNA interstrand crosslinking (ICL) agents, but not to ionizing radiation (IR); fcd-2 mutants are viable and dispensable for resistance to IR, meiotic recombination, and S-phase checkpoint activation, but are hypersensitive to ICL agents; like its human ortholog, FCD-2 is monoubiquitylated and recruited to chromosomal foci after ICL but not IR; transgenic expresssion of the FANCD2 gene in mutant FA-D2 cells rescues their abnormal sensitivity to mitomycin C, an agent that cross-links strands of DNA. ",,Mountain 5,59,5,6.31,118,6,5.72,156,1,97.49,10,0,13.0,51,2,18.86,118,62,1.35,196,203,0.91,341,473,0.71,329,506,0.8,122,105,0.72,66,161,0.5,Y41E3.9,WBGene00012767,Sequence name for WBGene00012767(fcd-2). History: N.A.
