# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
B0414.6,0.0,2.0,CE07736 WBGene00001600 locus:glh-3 RNA helicase status:Confirmed SW:O01836 protein_id:AAB57719.1,B0414.6,WBGene00001600,Sequence name for WBGene00001600(glh-3). History: N.A.
Y41E3.4,0.0,2.0,CE18372 WBGene00001336 locus:ers-1 tRNA synthetases class I (E and Q) status:Partially_confirmed SW:O62431 protein_id:CAB08998.1,Y41E3.4,WBGene00001336,Sequence name for WBGene00001336(qars-1). History: Renamed on 2010-01-29
F18A1.7,0.0,2.0,CE32628 WBGene00017548 status:Confirmed TR:Q19536 protein_id:AAB63403.2,F18A1.7,WBGene00017548,Public name for WBGene00017548. History: N.A.
C14B9.4b,0.0,2.0,CE30602 WBGene00004042 locus:plk-1 status:Confirmed SW:P34331 protein_id:AAM22025.1,,,
W02D3.7,0.0,2.0,CE14430 WBGene00002257 locus:lbp-5 fatty acid-binding protein status:Confirmed SW:O01814 protein_id:AAK21486.1,W02D3.7,WBGene00002257,Sequence name for WBGene00002257(lbp-5). History: N.A.
F49D11.8,0.0,2.0,CE17082 WBGene00000780 locus:cpn-4 status:Partially_confirmed TR:O44727 protein_id:AAB96713.3,F49D11.8,WBGene00000780,Sequence name for WBGene00000780(cpn-4). History: N.A.
ZK616.4,0.0,2.0,CE31753 WBGene00022774 status:Confirmed TR:Q9N4N4 protein_id:AAF60947.2,ZK616.4,WBGene00022774,Sequence name for WBGene00022774(swsn-6). History: Renamed on 2011-02-11
T01G1.3,0.0,2.0,CE16320 WBGene00011338 Yesat transport protein WEB1 like status:Partially_confirmed TR:O45604 protein_id:CAB07274.1,T01G1.3,WBGene00011338,Sequence name for WBGene00011338(sec-31). History: N.A.
Y94H6A.10,0.0,2.0,CE36575 WBGene00022382 status:Partially_confirmed TR:Q75MI6 protein_id:AAS80337.1,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
Y38A8.2,0.0,2.0,CE07571 WBGene00003949 locus:pbs-3 Peptidase status:Confirmed SW:Q23237 protein_id:AAA98018.1,Y38A8.2,WBGene00003949,Sequence name for WBGene00003949(pbs-3). History: N.A.
K01A2.5,0.0,2.0,CE19513 WBGene00019280 status:Confirmed TR:Q9TZ58 protein_id:AAC69505.1,K01A2.5,WBGene00019280,Public name for WBGene00019280. History: N.A.
R148.6,0.0,2.0,CE31057 WBGene00006452 locus:heh-1 status:Confirmed SW:O17271 protein_id:AAB71040.2,R148.6,WBGene00006452,Sequence name for WBGene00006452(heh-1). History: N.A.
F09F7.2b,0.0,2.0,CE30652 WBGene00003371 locus:mlc-3 status:Confirmed TR:Q8MYQ7 protein_id:AAM22061.1,F09F7.2b,WBGene00003371,Molecule name for WBGene00003371(mlc-3). History: N.A.
C01B10.3,0.0,2.0,CE33355 WBGene00015278 status:Partially_confirmed TR:Q17543 protein_id:AAC47915.2,C01B10.3,WBGene00015278,Public name for WBGene00015278. History: N.A.
C39D10.8b,0.0,2.0,CE29714 WBGene00016535 status:Confirmed TR:Q95QR7 protein_id:AAL16316.1,C39D10.8b,WBGene00016535,Molecule name for WBGene00016535(C39D10.8). History: N.A.
C25E10.9a,0.0,2.0,CE06871 WBGene00023417 locus:swm-1 status:Confirmed TR:Q18158 protein_id:AAA92314.1,,,
F42E8.2,0.0,2.0,CE10304 WBGene00009631 status:Predicted TR:Q20337 protein_id:CAB01429.1,F42E8.2,WBGene00009631,Public name for WBGene00009631. History: N.A.
W03F9.1,0.0,2.0,CE21254 WBGene00020999 status:Partially_confirmed SW:O16999 protein_id:AAG24206.1,W03F9.1,WBGene00020999,Public name for WBGene00020999. History: N.A.
W03F8.5,0.0,2.0,CE34386 WBGene00002247 locus:lam-1 laminin status:Predicted TR:O44565 protein_id:AAP46271.1,W03F8.5,WBGene00002247,Sequence name for WBGene00002247(lam-1). History: N.A.
F59E12.4b,0.0,2.0,CE28573 WBGene00019120 locus:npl-4.1 status:Partially_confirmed TR:Q95QZ8 protein_id:AAK82898.1,F59E12.4b,WBGene00019120,Molecule name for WBGene00019120(npl-4.1). History: N.A.
Y53G8AR.6,0.0,2.0,CE25422 WBGene00021813 status:Confirmed TR:Q9N3G0 protein_id:AAF59543.1,Y53G8AR.6,WBGene00021813,Public name for WBGene00021813. History: N.A.
C34B2.6,0.0,2.0,CE16894 WBGene00016391 protease status:Confirmed SW:O44952 protein_id:AAB97538.1,C34B2.6,WBGene00016391,Sequence name for WBGene00016391(lonp-1). History: N.A.
Y71H10A.1b,0.0,2.0,CE37296 WBGene00022199 status:Confirmed TR:Q95X24 protein_id:AAL27269.2,Y71H10A.1b,WBGene00022199,Molecule name for WBGene00022199(pfk-1.1). History: Renamed on 2014-03-03
F53F10.4,0.0,2.0,CE10986 WBGene00006833 locus:unc-108 RAS-related protein status:Confirmed TR:O01577 protein_id:AAB52431.1,F53F10.4,WBGene00006833,Sequence name for WBGene00006833(unc-108). History: Renamed on 2008-11-18
F35C5.9,0.0,2.0,"CE15950 WBGene00009397 locus:clec-66 Lectin C-type domain short and long forms, von Willebrand factor type A domain status:Partially_confirmed TR:O45445 protein_id:CAB03059.1",F35C5.9,WBGene00009397,Sequence name for WBGene00009397(clec-66). History: N.A.
Y41D4A.5,0.0,2.0,CE39047 WBGene00021507 status:Confirmed TR:Q95Y26 protein_id:AAK68455.1,Y41D4A.5,WBGene00021507,Sequence name for WBGene00021507(ptpn-22). History: N.A.
F48E8.3,0.0,2.0,CE36546 WBGene00018610 fumarate reductase flavoprotein status:Confirmed TR:Q09567 protein_id:AAC46539.3,F48E8.3,WBGene00018610,Public name for WBGene00018610. History: N.A.
T07A9.9a,0.0,2.0,CE17218 WBGene00020297 status:Confirmed SW:O44411 protein_id:AAK39281.1,,,
K07E3.4b,0.0,2.0,CE18020 WBGene00019492 status:Confirmed TR:Q21284 protein_id:AAC69101.2,K07E3.4b,WBGene00019492,Molecule name for WBGene00019492(K07E3.4). History: N.A.
,,,,,,
M04F3.1,3.0,0.0,CE12414 WBGene00019767 locus:rpa-2 status:Confirmed TR:Q95Y97 protein_id:AAK71380.1,M04F3.1,WBGene00019767,Sequence name for WBGene00019767(rpa-2). History: N.A.
H03A11.2,4.0,0.0,CE32684 WBGene00010357 status:Partially_confirmed TR:Q9XTW1 protein_id:CAB07529.2,H03A11.2,WBGene00010357,Public name for WBGene00010357. History: N.A.
K08F4.8,25.0,0.0,CE06156 WBGene00003434 locus:msp-38 major sperm protein MSP-38 status:Confirmed SW:P53020 protein_id:CAA93089.1,K08F4.8,WBGene00003434,Sequence name for WBGene00003434(msp-38). History: N.A.
C17G10.9a,3.0,0.0,CE27702 WBGene00015920 status:Partially_confirmed TR:Q95QW0 protein_id:AAK68188.1,C17G10.9a,WBGene00015920,Molecule name for WBGene00015920(eif-3.L). History: N.A.
ZK622.3c,5.0,0.0,CE32290 WBGene00022781 locus:pmt-1 status:Confirmed TR:Q8IFX3 protein_id:AAN60511.1,ZK622.3c,WBGene00022781,Molecule name for WBGene00022781(pmt-1). History: N.A.
M03F4.7b,2.0,0.0,CE34060 WBGene00019760 locus:calu-1 status:Partially_confirmed TR:Q7Z2A4 protein_id:AAP40523.1,M03F4.7b,WBGene00019760,Molecule name for WBGene00019760(calu-1). History: N.A.
F26B1.2a,2.0,0.0,CE09674 WBGene00017816 RNA-binding protein status:Confirmed TR:P91277 protein_id:AAB37791.1,F26B1.2a,WBGene00017816,Molecule name for WBGene00017816(hrpk-1). History: N.A.
T22B7.3,2.0,0.0,CE31242 WBGene00020672 status:Partially_confirmed TR:Q23042 protein_id:AAB04595.2,T22B7.3,WBGene00020672,Public name for WBGene00020672. History: N.A.
ZK858.3,2.0,0.0,CE15425 WBGene00014117 lectin status:Confirmed SW:Q94417 protein_id:CAB02136.1,ZK858.3,WBGene00014117,Sequence name for WBGene00014117(clec-91). History: N.A.
Y42H9AR.1,2.0,0.0,CE25278 WBGene00021536 status:Partially_confirmed TR:Q9N3Y1 protein_id:AAF60564.1,Y42H9AR.1,WBGene00021536,Public name for WBGene00021536. History: N.A.
F40F9.6a,2.0,0.0,CE05855 WBGene00009583 glycosyl hydrolase status:Confirmed TR:Q20239 protein_id:CAA94764.1,F40F9.6a,WBGene00009583,Molecule name for WBGene00009583(aagr-3). History: N.A.
T28D9.10,3.0,0.0,CE02065 WBGene00004916 locus:snr-3 small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1) status:Confirmed SW:Q10013 protein_id:AAA68313.1,T28D9.10,WBGene00004916,Sequence name for WBGene00004916(snr-3). History: N.A.
C05D9.1,2.0,0.0,CE07927 WBGene00004927 locus:snx-1 status:Confirmed TR:Q9GYJ9 protein_id:AAF98602.1,C05D9.1,WBGene00004927,Sequence name for WBGene00004927(snx-1). History: Renamed on 2014-09-25
T19B4.3,2.0,0.0,CE13740 WBGene00020557 adenine phosphoribosyltransferase status:Confirmed SW:P91455 protein_id:AAB37633.1,T19B4.3,WBGene00020557,Public name for WBGene00020557. History: N.A.
T21F4.1,5.0,0.0,CE33700 WBGene00020658 status:Confirmed TR:Q22659 protein_id:AAA98709.2,T21F4.1,WBGene00020658,Sequence name for WBGene00020658(argn-1). History: N.A.
F39B2.2,4.0,0.0,CE16008 WBGene00006730 locus:uev-1 status:Confirmed TR:O45495 protein_id:CAB07383.1,F39B2.2,WBGene00006730,Sequence name for WBGene00006730(uev-1). History: N.A.
B0035.5,3.0,0.0,CE05163 WBGene00007108 glucose-6-phosphate-1-dehydrogenase status:Partially_confirmed SW:Q27464 protein_id:CAA97412.1,B0035.5,WBGene00007108,Sequence name for WBGene00007108(gspd-1). History: N.A.
F01F1.5,3.0,0.0,CE01231 WBGene00001057 locus:dpf-4 status:Confirmed TR:Q19086 protein_id:AAC46639.1,F01F1.5,WBGene00001057,Sequence name for WBGene00001057(dpf-4). History: N.A.
C45B2.1,2.0,0.0,CE27853 WBGene00016658 status:Confirmed TR:Q95YC6 protein_id:AAK68245.1,C45B2.1,WBGene00016658,Public name for WBGene00016658. History: N.A.
F32D8.12a,2.0,0.0,CE31922 WBGene00009334 status:Confirmed TR:Q8I4K2 protein_id:CAD54138.1,F32D8.12a,WBGene00009334,Molecule name for WBGene00009334(F32D8.12). History: N.A.
Y55F3AM.3a,6.0,0.0,CE29126 WBGene00021921 status:Partially_confirmed TR:Q9N368 protein_id:AAF60795.2,Y55F3AM.3a,WBGene00021921,Molecule name for WBGene00021921(rbm-39). History: N.A.
C25A1.6,4.0,0.0,CE27803 WBGene00007708 status:Confirmed SW:Q9XVR8 protein_id:CAB02768.2,C25A1.6,WBGene00007708,Sequence name for WBGene00007708(nola-3). History: N.A.
Y57G11C.3a,3.0,0.0,CE24473 WBGene00013301 SOL\/DEVB family status:Confirmed SW:O18229 protein_id:CAB16505.2,Y57G11C.3a,WBGene00013301,Molecule name for WBGene00013301(Y57G11C.3). History: N.A.
Y65B4BL.5,3.0,0.0,CE24550 WBGene00022037 status:Confirmed TR:Q9N302 protein_id:AAF60848.1,Y65B4BL.5,WBGene00022037,Sequence name for WBGene00022037(acs-13). History: N.A.
R03G5.1b,203.0,0.0,CE33153 WBGene00001169 locus:eft-4 status:Confirmed TR:Q86NF4 protein_id:AAO21382.1,,,
F23F12.6,3.0,0.0,CE01253 WBGene00004503 locus:rpt-3 status:Confirmed SW:P46502 protein_id:AAA20608.1,F23F12.6,WBGene00004503,Sequence name for WBGene00004503(rpt-3). History: N.A.
F42G9.2,3.0,0.0,CE01301 WBGene00000882 locus:cyn-6 status:Confirmed SW:P52014 protein_id:AAA91355.1,F42G9.2,WBGene00000882,Sequence name for WBGene00000882(cyn-6). History: N.A.
C01F1.3a,3.0,0.0,CE06744 WBGene00015298 status:Partially_confirmed TR:Q17556 protein_id:AAB00715.1,C01F1.3a,WBGene00015298,Molecule name for WBGene00015298(rml-4). History: Renamed on 2005-03-17
K05C4.1,2.0,0.0,CE19969 WBGene00003951 locus:pbs-5 Proteasome A-type and B-type status:Confirmed TR:Q9XUV0 protein_id:CAB04567.1,K05C4.1,WBGene00003951,Sequence name for WBGene00003951(pbs-5). History: N.A.
ZK1127.9c,5.0,0.0,CE29626 WBGene00022855 status:Partially_confirmed TR:Q95PX9 protein_id:AAL11107.1,ZK1127.9c,WBGene00022855,Molecule name for WBGene00022855(tcer-1). History: Renamed on 2017-10-09
ZK1127.9d,4.0,0.0,CE33492 WBGene00022855 status:Confirmed TR:Q86MN9 protein_id:AAO38576.1,ZK1127.9d,WBGene00022855,Molecule name for WBGene00022855(tcer-1). History: Renamed on 2017-10-09
C01G8.5b,4.0,0.0,CE07806 WBGene00001333 locus:erm-1 membrane protein status:Confirmed TR:P91016 protein_id:AAB37642.1,C01G8.5b,WBGene00001333,Molecule name for WBGene00001333(erm-1). History: N.A.
F23B12.5,4.0,0.0,CE09597 WBGene00009082 dihyrolipoamide acetyltransferase component (pyruvate dehydrogenase complex) status:Confirmed SW:Q19749 protein_id:CAB01163.1,F23B12.5,WBGene00009082,Sequence name for WBGene00009082(dlat-1). History: N.A.
R05D3.7,3.0,0.0,CE26945 WBGene00006840 locus:unc-116 Kinesin heavy chain status:Confirmed SW:P34540 protein_id:AAK21446.1,R05D3.7,WBGene00006840,Sequence name for WBGene00006840(unc-116). History: N.A.
F49C12.8,2.0,0.0,CE03368 WBGene00004463 locus:rpn-7 status:Confirmed SW:Q20585 protein_id:CAA92512.1,F49C12.8,WBGene00004463,Sequence name for WBGene00004463(rpn-7). History: N.A.
F49C12.11,2.0,0.0,CE03371 WBGene00009880 status:Confirmed SW:Q20588 protein_id:CAA92514.1,F49C12.11,WBGene00009880,Public name for WBGene00009880. History: N.A.
F08B12.4,9.0,0.0,CE26708 WBGene00008572 status:Confirmed SW:Q19191 protein_id:CAA92114.2,F08B12.4,WBGene00008572,Public name for WBGene00008572. History: N.A.
M57.2,4.0,0.0,CE19541 WBGene00019778 status:Partially_confirmed TR:Q9TYY0 protein_id:AAC68985.1,M57.2,WBGene00019778,Public name for WBGene00019778. History: N.A.
C24B9.3b,2.0,0.0,CE17445 WBGene00016048 status:Partially_confirmed TR:Q71UN8 protein_id:AAQ91906.1,,,
ZK185.3,3.0,0.0,CE31748 WBGene00022683 status:Partially_confirmed TR:O44195 protein_id:AAB88560.2,ZK185.3,WBGene00022683,Public name for WBGene00022683. History: N.A.
F53H1.1,2.0,0.0,CE27427 WBGene00018776 helicase status:Partially_confirmed TR:Q965K2 protein_id:AAK68386.1,F53H1.1,WBGene00018776,Sequence name for WBGene00018776(ddx-46). History: N.A.
C38C3.5c,2.0,0.0,CE20549 WBGene00006794 locus:unc-60 status:Partially_confirmed SW:Q07749 protein_id:AAL02463.1,,,
T28D9.1,3.0,0.0,CE28092 WBGene00020894 status:Confirmed SW:Q10020 protein_id:AAA68316.2,T28D9.1,WBGene00020894,Public name for WBGene00020894. History: N.A.
Y53F4B.33,9.0,0.0,CE22420 WBGene00001787 locus:gst-39 glutathione S-transferase status:Partially_confirmed TR:Q9NAB0 protein_id:CAB61107.1,Y53F4B.33,WBGene00001787,Sequence name for WBGene00001787(gst-39). History: N.A.
T05G5.7,4.0,0.0,CE00319 WBGene00011501 status:Partially_confirmed SW:P34560 protein_id:CAA81592.1,T05G5.7,WBGene00011501,Sequence name for WBGene00011501(rmd-1). History: N.A.
R12C12.1b,3.0,0.0,CE33434 WBGene00020022 status:Confirmed TR:Q86LS6 protein_id:AAO38610.1,R12C12.1b,WBGene00020022,Molecule name for WBGene00020022(gldc-1). History: N.A.
T22D1.3b,2.0,0.0,CE33940 WBGene00020682 status:Confirmed TR:Q86DL2 protein_id:AAO91672.2,T22D1.3b,WBGene00020682,Molecule name for WBGene00020682(T22D1.3). History: N.A.
T27E9.1b,3.0,0.0,CE33843 WBGene00006439 locus:tag-61 status:Confirmed TR:Q86CZ9 protein_id:CAD89756.1,,,
T22D1.10,3.0,0.0,CE17254 WBGene00020687 locus:ruvb-2 status:Confirmed TR:Q9GZH2 protein_id:AAF98631.1,T22D1.10,WBGene00020687,Sequence name for WBGene00020687(ruvb-2). History: N.A.
T27E9.1c,6.0,0.0,CE33844 WBGene00006439 locus:tag-61 status:Confirmed TR:Q86CZ8 protein_id:CAD89757.1,,,
C26E6.4,2.0,0.0,CE01162 WBGene00016140 locus:rpb-2 DNA-directed RNA polymerase II status:Confirmed SW:Q10578 protein_id:AAA21158.1,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
F54E7.2,3.0,0.0,CE26896 WBGene00004481 locus:rps-12 status:Confirmed SW:P49196 protein_id:AAK20077.1,F54E7.2,WBGene00004481,Sequence name for WBGene00004481(rps-12). History: N.A.
H06H21.3,3.0,0.0,CE17962 WBGene00019162 translation initiation factor status:Confirmed TR:Q9TXU7 protein_id:AAK29845.1,H06H21.3,WBGene00019162,Sequence name for WBGene00019162(eif-1.A). History: N.A.
F40A3.3b,4.0,0.0,CE38516 WBGene00018218 status:Confirmed SW:O16264 protein_id:AAX88829.1,F40A3.3b,WBGene00018218,Molecule name for WBGene00018218(F40A3.3). History: N.A.
T04C10.2b,4.0,0.0,CE26821 WBGene00001329 locus:epn-1 Yeast hypothetical protein L8167.6 like status:Confirmed TR:Q9BI71 protein_id:CAC35825.1,T04C10.2b,WBGene00001329,Molecule name for WBGene00001329(epn-1). History: N.A.
T04C9.4a,2.0,0.0,CE31589 WBGene00003375 locus:mlp-1 status:Confirmed TR:Q9GP94 protein_id:AAM97944.1,T04C9.4a,WBGene00003375,Molecule name for WBGene00003375(mlp-1). History: N.A.
Y119D3B.15,2.0,0.0,CE34396 WBGene00022492 status:Confirmed SW:Q95Y72 protein_id:AAK29724.3,Y119D3B.15,WBGene00022492,Sequence name for WBGene00022492(dss-1). History: N.A.
F01F1.1a,2.0,0.0,CE29249 WBGene00017158 status:Partially_confirmed TR:Q19094 protein_id:AAC46635.2,F01F1.1a,WBGene00017158,Molecule name for WBGene00017158(hpo-10). History: N.A.
C06A8.1b,3.0,0.0,CE31291 WBGene00015512 status:Confirmed TR:Q8MQE7 protein_id:AAM81124.1,C06A8.1b,WBGene00015512,Molecule name for WBGene00015512(mthf-1). History: N.A.
F56B3.5,4.0,0.0,CE27172 WBGene00001154 locus:ech-5 status:Partially_confirmed TR:O45106 protein_id:AAK29838.1,F56B3.5,WBGene00001154,Sequence name for WBGene00001154(ech-5). History: N.A.
F36A4.7,2.0,0.0,CE28300 WBGene00000123 locus:ama-1 RNA polymerase II status:Partially_confirmed SW:P16356 protein_id:AAA96158.2,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
ZK632.1a,2.0,0.0,CE00415 WBGene00003158 locus:mcm-6 Mcm2\/3 status:Confirmed SW:P34647 protein_id:CAA80191.1,ZK632.1a,WBGene00003158,Molecule name for WBGene00003158(mcm-6). History: N.A.
Y111B2A.18,4.0,0.0,CE31089 WBGene00004700 locus:rsp-3 splicing factor status:Confirmed SW:Q9NEW6 protein_id:CAC35847.2,Y111B2A.18,WBGene00004700,Sequence name for WBGene00004700(rsp-3). History: N.A.
Y108G3AL.1,4.0,0.0,CE27593 WBGene00000838 locus:cul-3 status:Confirmed SW:Q17391 protein_id:AAK72067.1,Y108G3AL.1,WBGene00000838,Sequence name for WBGene00000838(cul-3). History: N.A.
H21P03.1,2.0,0.0,CE18819 WBGene00003148 locus:mbf-1 Helix-turn-helix status:Confirmed TR:Q9XTV4 protein_id:CAB09112.1,H21P03.1,WBGene00003148,Sequence name for WBGene00003148(mbf-1). History: N.A.
F41G4.2a,14.0,0.0,CE25884 WBGene00000294 locus:cas-1 adenylyl cyclase-associated protein status:Partially_confirmed TR:Q95YA9 protein_id:AAK85481.1,F41G4.2a,WBGene00000294,Molecule name for WBGene00000294(cas-1). History: N.A.
F44E7.4d,3.0,0.0,CE37110 WBGene00018426 status:Partially_confirmed TR:Q6A598 protein_id:AAT92074.1,F44E7.4d,WBGene00018426,Molecule name for WBGene00018426(F44E7.4). History: N.A.
F37C12.7,2.0,0.0,CE29312 WBGene00018152 status:Confirmed TR:Q20121 protein_id:AAC48292.3,F37C12.7,WBGene00018152,Sequence name for WBGene00018152(acs-4). History: N.A.
D1086.10a,5.0,0.0,CE37962 WBGene00044080 status:Confirmed TR:Q5FC40 protein_id:CAI46569.1,D1086.10a,WBGene00044080,Molecule name for WBGene00044080(D1086.10). History: N.A.
B0546.1,2.0,0.0,CE16792 WBGene00015248 locus:mai-2 ATPase inhibitor status:Confirmed SW:O44441 protein_id:AAB92010.1,B0546.1,WBGene00015248,Sequence name for WBGene00015248(mai-2). History: N.A.
F25B4.5,2.0,0.0,CE28000 WBGene00017768 status:Partially_confirmed TR:Q22961 protein_id:AAB37083.2,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
F53C11.3,3.0,0.0,"CE10908 WBGene00009973 2,4-dienoyl-CoA reductase status:Confirmed SW:Q93761 protein_id:CAB02118.1",F53C11.3,WBGene00009973,Public name for WBGene00009973. History: N.A.
Y47D3A.21,6.0,0.0,CE22051 WBGene00012932 status:Partially_confirmed SW:Q9NAH4 protein_id:CAB55081.1,Y47D3A.21,WBGene00012932,Public name for WBGene00012932. History: N.A.
R08B4.3,2.0,0.0,CE20025 WBGene00011139 status:Confirmed TR:Q9XVW5 protein_id:CAA92002.1,R08B4.3,WBGene00011139,Public name for WBGene00011139. History: N.A.
Y47D3A.16,2.0,0.0,CE22045 WBGene00012929 locus:rsks-1 ribosomal protein S6 kinase status:Partially_confirmed TR:Q9NAH6 protein_id:CAB55075.1,Y47D3A.16,WBGene00012929,Sequence name for WBGene00012929(rsks-1). History: N.A.
C06H2.1,2.0,0.0,CE15602 WBGene00007385 locus:atp-5 ATP synthase D chain status:Confirmed TR:Q17763 protein_id:CAA99772.1,C06H2.1,WBGene00007385,Sequence name for WBGene00007385(atp-5). History: N.A.
C25B8.4b,3.0,0.0,CE34259 WBGene00016088 status:Confirmed TR:Q7Z122 protein_id:AAP68953.1,C25B8.4b,WBGene00016088,Molecule name for WBGene00016088(clec-266). History: N.A.
Y39A3CR.4,2.0,0.0,CE21655 WBGene00000941 locus:ddp-1 status:Confirmed SW:Q9N408 protein_id:AAF60525.1,Y39A3CR.4,WBGene00000941,Sequence name for WBGene00000941(ddp-1). History: N.A.
T01C3.6,3.0,0.0,CE12918 WBGene00004485 locus:rps-16 40S ribosomal protein S16 status:Confirmed SW:Q22054 protein_id:CAB01658.1,T01C3.6,WBGene00004485,Sequence name for WBGene00004485(rps-16). History: N.A.
T19C3.8,2.0,0.0,CE02878 WBGene00001412 locus:fem-2 status:Confirmed SW:P49594 protein_id:AAC46598.1,T19C3.8,WBGene00001412,Sequence name for WBGene00001412(fem-2). History: N.A.
ZK617.1b,2.0,0.0,"CE33018 WBGene00006759 locus:unc-22 Fibronectin type III domain (31 domains), IG (immunoglobulin) superfamily (18 domains), calcium\/calmodulin dependent protein kinase status:Partially_confirmed TR:Q23551 protein_id:CAA98082.2",ZK617.1b,WBGene00006759,"Molecule name for WBGene00006759(unc-22). History: Split into ZK617.26(WBGene00303099). History of WBGene00006759: Split into ""WBGene00303099"" on 2018-03-02"
F09B12.3,2.0,0.0,CE31469 WBGene00008607 status:Partially_confirmed SW:O62146 protein_id:CAB05478.2,F09B12.3,WBGene00008607,Public name for WBGene00008607. History: N.A.
F56F11.4b,4.0,0.0,CE31008 WBGene00018991 status:Partially_confirmed TR:Q8MXF1 protein_id:AAM48537.1,F56F11.4b,WBGene00018991,Molecule name for WBGene00018991(F56F11.4). History: N.A.
K04F1.15,4.0,0.0,CE23852 WBGene00000108 locus:alh-2 aldehyde dehydrogenase status:Predicted TR:Q9TXM0 protein_id:AAC78174.2,K04F1.15,WBGene00000108,Sequence name for WBGene00000108(alh-2). History: N.A.
E04F6.8,2.0,0.0,CE01220 WBGene00017127 status:Confirmed TR:Q19063 protein_id:AAA68363.1,E04F6.8,WBGene00017127,Public name for WBGene00017127. History: N.A.
C49H3.11,2.0,0.0,CE04237 WBGene00004471 locus:rps-2 status:Confirmed SW:P51403 protein_id:AAF99899.1,C49H3.11,WBGene00004471,Sequence name for WBGene00004471(rps-2). History: N.A.
K07A1.2,4.0,0.0,CE18855 WBGene00010609 locus:dut-1 deoxyuridine 5'-triphosphate nucleotidohydrolase status:Confirmed TR:O01934 protein_id:CAB03175.1,K07A1.2,WBGene00010609,Sequence name for WBGene00010609(dut-1). History: N.A.
D2089.1b,2.0,0.0,CE30507 WBGene00004704 locus:rsp-7 RNA binding protein status:Confirmed SW:O01159 protein_id:CAD30448.1,D2089.1b,WBGene00004704,Molecule name for WBGene00004704(rsp-7). History: N.A.
F54D5.7,2.0,0.0,CE03411 WBGene00010052 acyl-CoA dehydrogenase status:Confirmed SW:Q20772 protein_id:CAA91333.1,F54D5.7,WBGene00010052,Public name for WBGene00010052. History: N.A.
R01B10.1b,2.0,0.0,CE33149 WBGene00000534 locus:cpi-2 status:Confirmed TR:Q86S25 protein_id:AAO21430.1,R01B10.1b,WBGene00000534,Molecule name for WBGene00000534(cpi-2). History: Renamed on 2006-01-04
F11G11.13,11.0,0.0,CE09355 WBGene00017388 status:Partially_confirmed TR:P91251 protein_id:AAB37844.1,F11G11.13,WBGene00017388,Public name for WBGene00017388. History: N.A.
T08G11.1a,6.0,0.0,CE13443 WBGene00011629 nucleotide binding protein status:Partially_confirmed TR:Q94010 protein_id:CAB02304.1,T08G11.1a,WBGene00011629,Molecule name for WBGene00011629(T08G11.1). History: N.A.
C23G10.3,3.0,0.0,CE01810 WBGene00004472 locus:rps-3 Ribosomal protein S3 status:Confirmed SW:P48152 protein_id:AAF99870.1,C23G10.3,WBGene00004472,Sequence name for WBGene00004472(rps-3). History: N.A.
C39E9.11,5.0,0.0,CE20559 WBGene00008034 status:Confirmed TR:Q18535 protein_id:CAA94340.1,C39E9.11,WBGene00008034,Sequence name for WBGene00008034(prcc-1). History: N.A.
F46E10.2,3.0,0.0,CE20813 WBGene00018489 status:Confirmed TR:Q9UAV7 protein_id:AAD14713.1,F46E10.2,WBGene00018489,Public name for WBGene00018489. History: N.A.
C27H5.3,2.0,0.0,CE27099 WBGene00016173 Probable RNA binding protein status:Confirmed TR:Q18265 protein_id:AAC46657.2,C27H5.3,WBGene00016173,Sequence name for WBGene00016173(fust-1). History: N.A.
C27H6.8,4.0,0.0,CE18880 WBGene00007787 Yeast hypothetical protein YEY6 like status:Confirmed SW:O17606 protein_id:CAB05549.1,C27H6.8,WBGene00007787,Public name for WBGene00007787. History: N.A.
T21E12.4,2.0,0.0,CE23997 WBGene00000962 locus:dhc-1 dynein heavy chain status:Partially_confirmed SW:Q19020 protein_id:AAK21472.1,T21E12.4,WBGene00000962,Sequence name for WBGene00000962(dhc-1). History: N.A.
R07H5.2a,2.0,0.0,CE18907 WBGene00011122 locus:cpt-2 carnitine palmitoyltransferase II status:Partially_confirmed TR:Q17831 protein_id:CAB03233.1,R07H5.2a,WBGene00011122,Molecule name for WBGene00011122(cpt-2). History: N.A.
M88.5a,2.0,0.0,CE33678 WBGene00010908 hnRNP K status:Partially_confirmed TR:Q21605 protein_id:CAA84338.2,M88.5a,WBGene00010908,Molecule name for WBGene00010908(imph-1). History: Renamed on 2018-03-19
E01G4.6,2.0,0.0,CE15755 WBGene00008448 status:Partially_confirmed TR:O02239 protein_id:CAB04387.1,E01G4.6,WBGene00008448,Public name for WBGene00008448. History: N.A.
