# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≥ 2,Unnamed: 1,Input,Suggested Match,History
WBGene00021996,,WBGene00021996,WBGene00021996,History: N.A.
WBGene00009621,,WBGene00009621,WBGene00009621,History: N.A.
WBGene00022574,,WBGene00022574,WBGene00022574,History: N.A.
WBGene00045394,,WBGene00045394,WBGene00045394,History: N.A.
WBGene00022597,,WBGene00022597,WBGene00022597,History: N.A.
WBGene00010917,,WBGene00010917,WBGene00010917,History: N.A.
WBGene00008244,,WBGene00008244,WBGene00008244,History: N.A.
WBGene00000977,,WBGene00000977,WBGene00000977,History: N.A.
WBGene00000030,,WBGene00000030,WBGene00000030,History: N.A.
WBGene00018062,,WBGene00018062,WBGene00018062,History: N.A.
WBGene00044922,,WBGene00044922,WBGene00044922,History: N.A.
WBGene00004099,,WBGene00004099,WBGene00004099,History: Renamed on 2011-04-12
WBGene00017428,,WBGene00017428,WBGene00017428,History: N.A.
WBGene00007871,,WBGene00007871,WBGene00007871,History: N.A.
WBGene00014009,,WBGene00014009,WBGene00014009,History: N.A.
WBGene00009963,,WBGene00009963,WBGene00009963,History: N.A.
WBGene00020711,,WBGene00020711,WBGene00020711,"History: Split into T23B3.8(WBGene00255605). History of WBGene00020711: Split into ""WBGene00255605"" on 2014-12-15"
WBGene00011979,,WBGene00011979,WBGene00011979,History: N.A.
WBGene00194647,,WBGene00194647,WBGene00194647,History: N.A.
WBGene00018732,,WBGene00018732,WBGene00018732,History: N.A.
WBGene00017325,,WBGene00017325,WBGene00017325,History: N.A.
WBGene00050914,,WBGene00050914,WBGene00050914,History: N.A.
WBGene00014108,,WBGene00014108,WBGene00014108,History: N.A.
WBGene00012603,,WBGene00012603,WBGene00012603,History: N.A.
WBGene00010919,,WBGene00010919,WBGene00010919,History: N.A.
WBGene00018616,,WBGene00018616,WBGene00018616,History: N.A.
WBGene00007868,,WBGene00007868,WBGene00007868,History: N.A.
WBGene00008245,,WBGene00008245,WBGene00008245,History: N.A.
WBGene00007316,,WBGene00007316,WBGene00007316,History: N.A.
WBGene00011573,,WBGene00011573,WBGene00011573,History: N.A.
WBGene00020766,,WBGene00020766,WBGene00020766,History: N.A.
WBGene00012590,,WBGene00012590,WBGene00012590,History: N.A.
WBGene00016435,,WBGene00016435,WBGene00016435,History: N.A.
WBGene00077693,,WBGene00077693,WBGene00077693,History: N.A.
WBGene00021796,,WBGene00021796,WBGene00021796,History: N.A.
WBGene00001753,,WBGene00001753,WBGene00001753,History: N.A.
WBGene00001857,,WBGene00001857,WBGene00001857,History: Renamed on 2010-11-12
WBGene00022652,,WBGene00022652,WBGene00022652,History: N.A.
WBGene00013691,,WBGene00013691,WBGene00013691,History: N.A.
WBGene00006956,,WBGene00006956,WBGene00006956,History: N.A.
WBGene00009626,,WBGene00009626,WBGene00009626,History: N.A.
WBGene00013081,,WBGene00013081,WBGene00013081,History: N.A.
WBGene00013986,,WBGene00013986,WBGene00013986,History: N.A.
WBGene00000932,,WBGene00000932,WBGene00000932,History: N.A.
WBGene00002112,,WBGene00002112,WBGene00002112,History: N.A.
WBGene00010760,,WBGene00010760,WBGene00010760,History: N.A.
WBGene00018656,,WBGene00018656,WBGene00018656,History: N.A.
WBGene00044779,,WBGene00044779,WBGene00044779,History: N.A.
WBGene00011309,,WBGene00011309,WBGene00011309,History: N.A.
WBGene00008334,,WBGene00008334,WBGene00008334,History: N.A.
WBGene00013515,,WBGene00013515,WBGene00013515,History: N.A.
WBGene00008807,,WBGene00008807,WBGene00008807,History: N.A.
WBGene00011446,,WBGene00011446,WBGene00011446,History: N.A.
WBGene00008211,,WBGene00008211,WBGene00008211,History: N.A.
WBGene00020803,,WBGene00020803,WBGene00020803,History: N.A.
WBGene00012509,,WBGene00012509,WBGene00012509,History: N.A.
WBGene00009638,,WBGene00009638,WBGene00009638,History: N.A.
WBGene00018251,,WBGene00018251,WBGene00018251,History: N.A.
WBGene00015142,,WBGene00015142,WBGene00015142,History: N.A.
WBGene00018730,,WBGene00018730,WBGene00018730,History: N.A.
WBGene00007950,,WBGene00007950,WBGene00007950,History: N.A.
WBGene00020715,,WBGene00020715,WBGene00020715,History: N.A.
WBGene00016434,,WBGene00016434,WBGene00016434,History: N.A.
WBGene00017052,,WBGene00017052,WBGene00017052,History: N.A.
WBGene00020143,,WBGene00020143,WBGene00020143,History: N.A.
WBGene00022287,,WBGene00022287,WBGene00022287,History: N.A.
WBGene00001911,,WBGene00001911,WBGene00001911,History: N.A.
WBGene00009130,,WBGene00009130,WBGene00009130,History: N.A.
WBGene00011561,,WBGene00011561,WBGene00011561,History: N.A.
WBGene00000676,,WBGene00000676,WBGene00000676,History: N.A.
WBGene00006649,,WBGene00006649,WBGene00006649,History: N.A.
WBGene00020200,,WBGene00020200,WBGene00020200,History: N.A.
WBGene00011284,,WBGene00011284,WBGene00011284,History: N.A.
WBGene00235297,,WBGene00235297,WBGene00235297,History: N.A.
WBGene00007883,,WBGene00007883,WBGene00007883,History: N.A.
WBGene00044082,,WBGene00044082,WBGene00044082,History: N.A.
WBGene00010135,,WBGene00010135,WBGene00010135,History: N.A.
WBGene00020047,,WBGene00020047,WBGene00020047,History: N.A.
WBGene00020192,,WBGene00020192,WBGene00020192,History: N.A.
WBGene00015427,,WBGene00015427,WBGene00015427,History: N.A.
WBGene00001390,,WBGene00001390,WBGene00001390,History: N.A.
WBGene00018366,,WBGene00018366,WBGene00018366,History: N.A.
WBGene00009660,,WBGene00009660,WBGene00009660,History: N.A.
WBGene00020917,,WBGene00020917,WBGene00020917,History: N.A.
WBGene00018292,,WBGene00018292,WBGene00018292,History: N.A.
WBGene00014090,,WBGene00014090,WBGene00014090,"History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
WBGene00013087,,WBGene00013087,WBGene00013087,History: N.A.
WBGene00010888,,WBGene00010888,WBGene00010888,History: N.A.
WBGene00016732,,WBGene00016732,WBGene00016732,History: N.A.
WBGene00018240,,WBGene00018240,WBGene00018240,History: N.A.
WBGene00014698,,WBGene00014698,WBGene00014698,History: N.A.
WBGene00050955,,WBGene00050955,WBGene00050955,History: N.A.
WBGene00044737,,WBGene00044737,WBGene00044737,History: N.A.
WBGene00010554,,WBGene00010554,WBGene00010554,History: N.A.
WBGene00017808,,WBGene00017808,WBGene00017808,History: N.A.
WBGene00008831,,WBGene00008831,WBGene00008831,History: N.A.
WBGene00018393,,WBGene00018393,WBGene00018393,History: N.A.
WBGene00016923,,WBGene00016923,WBGene00016923,History: N.A.
WBGene00016915,,WBGene00016915,WBGene00016915,History: N.A.
WBGene00012831,,WBGene00012831,WBGene00012831,History: N.A.
WBGene00015546,,WBGene00015546,WBGene00015546,History: N.A.
WBGene00009803,,WBGene00009803,WBGene00009803,History: N.A.
WBGene00003991,,WBGene00003991,WBGene00003991,History: N.A.
WBGene00003754,,WBGene00003754,WBGene00003754,History: N.A.
WBGene00002254,,WBGene00002254,WBGene00002254,History: N.A.
WBGene00016894,,WBGene00016894,WBGene00016894,History: N.A.
WBGene00000033,,WBGene00000033,WBGene00000033,History: N.A.
WBGene00014871,,WBGene00014871,WBGene00014871,History: N.A.
WBGene00008378,,WBGene00008378,WBGene00008378,History: N.A.
WBGene00002089,,WBGene00002089,WBGene00002089,History: N.A.
WBGene00044615,,WBGene00044615,WBGene00044615,History: N.A.
WBGene00017688,,WBGene00017688,WBGene00017688,History: N.A.
WBGene00006397,,WBGene00006397,WBGene00006397,History: N.A.
WBGene00017374,,WBGene00017374,WBGene00017374,History: N.A.
WBGene00004098,,WBGene00004098,WBGene00004098,"History: Split into ""WBGene00044023"" on 2004-12-13"
WBGene00017073,,WBGene00017073,WBGene00017073,History: N.A.
WBGene00022271,,WBGene00022271,WBGene00022271,History: N.A.
WBGene00009096,,WBGene00009096,WBGene00009096,History: N.A.
WBGene00010501,,WBGene00010501,WBGene00010501,History: N.A.
WBGene00007419,,WBGene00007419,WBGene00007419,History: N.A.
WBGene00044568,,WBGene00044568,WBGene00044568,History: Renamed on 2017-11-13
WBGene00010832,,WBGene00010832,WBGene00010832,History: N.A.
WBGene00002109,,WBGene00002109,WBGene00002109,History: N.A.
WBGene00010148,,WBGene00010148,WBGene00010148,History: N.A.
WBGene00011537,,WBGene00011537,WBGene00011537,History: N.A.
WBGene00015076,,WBGene00015076,WBGene00015076,History: N.A.
WBGene00009243,,WBGene00009243,WBGene00009243,History: N.A.
WBGene00001778,,WBGene00001778,WBGene00001778,History: N.A.
WBGene00007990,,WBGene00007990,WBGene00007990,History: N.A.
WBGene00194658,,WBGene00194658,WBGene00194658,History: N.A.
WBGene00195004,,WBGene00195004,WBGene00195004,History: N.A.
WBGene00235254,,WBGene00235254,WBGene00235254,History: N.A.
WBGene00018911,,WBGene00018911,WBGene00018911,History: N.A.
WBGene00013387,,WBGene00013387,WBGene00013387,History: N.A.
WBGene00007200,,WBGene00007200,WBGene00007200,History: N.A.
WBGene00004113,,WBGene00004113,WBGene00004113,History: N.A.
WBGene00013704,,WBGene00013704,WBGene00013704,History: N.A.
WBGene00010468,,WBGene00010468,WBGene00010468,History: N.A.
WBGene00002094,,WBGene00002094,WBGene00002094,History: N.A.
WBGene00014246,,WBGene00014246,WBGene00014246,History: N.A.
WBGene00020339,,WBGene00020339,WBGene00020339,History: N.A.
WBGene00017613,,WBGene00017613,WBGene00017613,History: N.A.
WBGene00015593,,WBGene00015593,WBGene00015593,History: N.A.
WBGene00001760,,WBGene00001760,WBGene00001760,History: N.A.
WBGene00235315,,WBGene00235315,WBGene00235315,History: N.A.
WBGene00002253,,WBGene00002253,WBGene00002253,History: N.A.
WBGene00013023,,WBGene00013023,WBGene00013023,History: N.A.
WBGene00006674,,WBGene00006674,WBGene00006674,History: N.A.
WBGene00011911,,WBGene00011911,WBGene00011911,History: N.A.
WBGene00010109,,WBGene00010109,WBGene00010109,History: N.A.
WBGene00000024,,WBGene00000024,WBGene00000024,History: N.A.
WBGene00004017,,WBGene00004017,WBGene00004017,History: N.A.
WBGene00001699,,WBGene00001699,WBGene00001699,History: N.A.
WBGene00009577,,WBGene00009577,WBGene00009577,History: N.A.
WBGene00021400,,WBGene00021400,WBGene00021400,History: N.A.
WBGene00016447,,WBGene00016447,WBGene00016447,History: N.A.
WBGene00008602,,WBGene00008602,WBGene00008602,History: N.A.
WBGene00003099,,WBGene00003099,WBGene00003099,History: N.A.
WBGene00017247,,WBGene00017247,WBGene00017247,"History: Split into F08D12.5(WBGene00043239). History of WBGene00017247: Split into ""WBGene00043239"" on 2014-06-30"
WBGene00011224,,WBGene00011224,WBGene00011224,History: N.A.
WBGene00003235,,WBGene00003235,WBGene00003235,History: N.A.
WBGene00018602,,WBGene00018602,WBGene00018602,History: N.A.
WBGene00010514,,WBGene00010514,WBGene00010514,History: N.A.
WBGene00021747,,WBGene00021747,WBGene00021747,History: N.A.
WBGene00014226,,WBGene00014226,WBGene00014226,History: N.A.
WBGene00016461,,WBGene00016461,WBGene00016461,History: N.A.
WBGene00006583,,WBGene00006583,WBGene00006583,History: N.A.
WBGene00235290,,WBGene00235290,WBGene00235290,History: N.A.
WBGene00020893,,WBGene00020893,WBGene00020893,History: N.A.
WBGene00015103,,WBGene00015103,WBGene00015103,History: N.A.
WBGene00011708,,WBGene00011708,WBGene00011708,History: N.A.
WBGene00012783,,WBGene00012783,WBGene00012783,History: N.A.
WBGene00010464,,WBGene00010464,WBGene00010464,History: N.A.
WBGene00001432,,WBGene00001432,WBGene00001432,History: N.A.
WBGene00012310,,WBGene00012310,WBGene00012310,History: N.A.
WBGene00008589,,WBGene00008589,WBGene00008589,History: N.A.
WBGene00009573,,WBGene00009573,WBGene00009573,History: N.A.
WBGene00019135,,WBGene00019135,WBGene00019135,"History: Split into F59H6.15(WBGene00269394). History of WBGene00019135: Split into ""WBGene00269394"" on 2016-02-18"
WBGene00019268,,WBGene00019268,WBGene00019268,History: N.A.
WBGene00021475,,WBGene00021475,WBGene00021475,History: N.A.
WBGene00018297,,WBGene00018297,WBGene00018297,History: N.A.
WBGene00017250,,WBGene00017250,WBGene00017250,History: N.A.
WBGene00018713,,WBGene00018713,WBGene00018713,History: N.A.
WBGene00219286,,WBGene00219286,WBGene00219286,History: N.A.
WBGene00003075,,WBGene00003075,WBGene00003075,History: N.A.
WBGene00077692,,WBGene00077692,WBGene00077692,History: N.A.
WBGene00044107,,WBGene00044107,WBGene00044107,History: N.A.
WBGene00008649,,WBGene00008649,WBGene00008649,History: N.A.
WBGene00019727,,WBGene00019727,WBGene00019727,History: N.A.
WBGene00008712,,WBGene00008712,WBGene00008712,History: N.A.
WBGene00022072,,WBGene00022072,WBGene00022072,History: N.A.
WBGene00044741,,WBGene00044741,WBGene00044741,History: N.A.
WBGene00018731,,WBGene00018731,WBGene00018731,History: N.A.
WBGene00002262,,WBGene00002262,WBGene00002262,History: N.A.
WBGene00012113,,WBGene00012113,WBGene00012113,History: N.A.
WBGene00020148,,WBGene00020148,WBGene00020148,History: N.A.
WBGene00003375,,WBGene00003375,WBGene00003375,History: N.A.
WBGene00020651,,WBGene00020651,WBGene00020651,History: N.A.
WBGene00015337,,WBGene00015337,WBGene00015337,"History: Split into C02D5.4(WBGene00043097). History of WBGene00015337: Split into ""WBGene00043097"" on 2010-04-29"
WBGene00019901,,WBGene00019901,WBGene00019901,History: N.A.
WBGene00003889,,WBGene00003889,WBGene00003889,History: N.A.
WBGene00021048,,WBGene00021048,WBGene00021048,History: N.A.
WBGene00020550,,WBGene00020550,WBGene00020550,History: N.A.
WBGene00000614,,WBGene00000614,WBGene00000614,History: N.A.
WBGene00020713,,WBGene00020713,WBGene00020713,History: N.A.
WBGene00011535,,WBGene00011535,WBGene00011535,History: N.A.
WBGene00009087,,WBGene00009087,WBGene00009087,History: N.A.
WBGene00002011,,WBGene00002011,WBGene00002011,History: N.A.
WBGene00000670,,WBGene00000670,WBGene00000670,History: N.A.
WBGene00016783,,WBGene00016783,WBGene00016783,History: N.A.
WBGene00001392,,WBGene00001392,WBGene00001392,History: N.A.
WBGene00011003,,WBGene00011003,WBGene00011003,History: N.A.
WBGene00018027,,WBGene00018027,WBGene00018027,History: N.A.
WBGene00021975,,WBGene00021975,WBGene00021975,History: N.A.
WBGene00022615,,WBGene00022615,WBGene00022615,History: N.A.
WBGene00017938,,WBGene00017938,WBGene00017938,History: N.A.
WBGene00009205,,WBGene00009205,WBGene00009205,History: N.A.
WBGene00007243,,WBGene00007243,WBGene00007243,History: Split into C01G12.13(WBGene00044333). History of WBGene00007243: N.A.
WBGene00010065,,WBGene00010065,WBGene00010065,History: N.A.
WBGene00007890,,WBGene00007890,WBGene00007890,History: N.A.
WBGene00008027,,WBGene00008027,WBGene00008027,History: N.A.
WBGene00019750,,WBGene00019750,WBGene00019750,History: N.A.
WBGene00018645,,WBGene00018645,WBGene00018645,History: N.A.
WBGene00001730,,WBGene00001730,WBGene00001730,History: N.A.
WBGene00011124,,WBGene00011124,WBGene00011124,History: N.A.
WBGene00017970,,WBGene00017970,WBGene00017970,History: N.A.
WBGene00006050,,WBGene00006050,WBGene00006050,History: N.A.
WBGene00000175,,WBGene00000175,WBGene00000175,History: N.A.
WBGene00044479,,WBGene00044479,WBGene00044479,History: N.A.
WBGene00011035,,WBGene00011035,WBGene00011035,History: N.A.
WBGene00015574,,WBGene00015574,WBGene00015574,History: N.A.
WBGene00022194,,WBGene00022194,WBGene00022194,History: N.A.
WBGene00010968,,WBGene00010968,WBGene00010968,History: N.A.
WBGene00010513,,WBGene00010513,WBGene00010513,History: N.A.
WBGene00020083,,WBGene00020083,WBGene00020083,History: N.A.
WBGene00006705,,WBGene00006705,WBGene00006705,History: N.A.
WBGene00000282,,WBGene00000282,WBGene00000282,History: N.A.
WBGene00008777,,WBGene00008777,WBGene00008777,History: N.A.
WBGene00011894,,WBGene00011894,WBGene00011894,History: N.A.
WBGene00022028,,WBGene00022028,WBGene00022028,History: N.A.
WBGene00003588,,WBGene00003588,WBGene00003588,History: N.A.
WBGene00045024,,WBGene00045024,WBGene00045024,History: N.A.
WBGene00021976,,WBGene00021976,WBGene00021976,History: N.A.
WBGene00021236,,WBGene00021236,WBGene00021236,History: N.A.
WBGene00012670,,WBGene00012670,WBGene00012670,History: N.A.
WBGene00044011,,WBGene00044011,WBGene00044011,History: N.A.
WBGene00014148,,WBGene00014148,WBGene00014148,History: N.A.
WBGene00004144,,WBGene00004144,WBGene00004144,History: N.A.
WBGene00016350,,WBGene00016350,WBGene00016350,History: N.A.
WBGene00004168,,WBGene00004168,WBGene00004168,History: N.A.
WBGene00015355,,WBGene00015355,WBGene00015355,"History: Split into ceh-63(WBGene00045215). History of WBGene00015355: Split into ""WBGene00045215"" on 2007-01-26"
WBGene00017009,,WBGene00017009,WBGene00017009,History: N.A.
WBGene00001752,,WBGene00001752,WBGene00001752,History: N.A.
WBGene00000616,,WBGene00000616,WBGene00000616,History: N.A.
WBGene00021441,,WBGene00021441,WBGene00021441,History: N.A.
WBGene00011134,,WBGene00011134,WBGene00011134,History: N.A.
WBGene00009624,,WBGene00009624,WBGene00009624,History: N.A.
WBGene00017748,,WBGene00017748,WBGene00017748,History: N.A.
WBGene00016914,,WBGene00016914,WBGene00016914,History: N.A.
WBGene00013988,,WBGene00013988,WBGene00013988,History: N.A.
WBGene00008284,,WBGene00008284,WBGene00008284,"History: Split into C53D6.10(WBGene00023424). History of WBGene00008284: Split into ""WBGene00023424"" on 2004-07-14"
WBGene00007873,,WBGene00007873,WBGene00007873,History: N.A.
WBGene00007708,,WBGene00007708,WBGene00007708,History: N.A.
WBGene00019518,,WBGene00019518,WBGene00019518,History: N.A.
WBGene00002267,,WBGene00002267,WBGene00002267,History: N.A.
WBGene00008707,,WBGene00008707,WBGene00008707,History: N.A.
WBGene00012965,,WBGene00012965,WBGene00012965,History: N.A.
WBGene00044421,,WBGene00044421,WBGene00044421,History: N.A.
WBGene00019382,,WBGene00019382,WBGene00019382,History: N.A.
WBGene00017991,,WBGene00017991,WBGene00017991,History: N.A.
WBGene00000657,,WBGene00000657,WBGene00000657,History: N.A.
WBGene00001391,,WBGene00001391,WBGene00001391,History: N.A.
WBGene00044080,,WBGene00044080,WBGene00044080,History: N.A.
WBGene00077699,,WBGene00077699,WBGene00077699,History: N.A.
WBGene00000133,,WBGene00000133,WBGene00000133,History: N.A.
WBGene00017684,,WBGene00017684,WBGene00017684,History: N.A.
WBGene00000031,,WBGene00000031,WBGene00000031,History: N.A.
WBGene00000749,,WBGene00000749,WBGene00000749,History: N.A.
WBGene00045411,,WBGene00045411,WBGene00045411,History: N.A.
WBGene00206484,,WBGene00206484,WBGene00206484,History: N.A.
WBGene00000535,,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00012634,,WBGene00012634,WBGene00012634,History: N.A.
WBGene00045146,,WBGene00045146,WBGene00045146,History: N.A.
WBGene00022706,,WBGene00022706,WBGene00022706,History: N.A.
WBGene00000626,,WBGene00000626,WBGene00000626,History: N.A.
WBGene00021121,,WBGene00021121,WBGene00021121,History: N.A.
WBGene00044280,,WBGene00044280,WBGene00044280,History: N.A.
WBGene00010084,,WBGene00010084,WBGene00010084,History: N.A.
WBGene00000734,,WBGene00000734,WBGene00000734,History: N.A.
WBGene00045399,,WBGene00045399,WBGene00045399,History: N.A.
WBGene00236808,,WBGene00236808,WBGene00236808,History: N.A.
WBGene00004139,,WBGene00004139,WBGene00004139,History: N.A.
WBGene00017756,,WBGene00017756,WBGene00017756,History: N.A.
WBGene00009377,,WBGene00009377,WBGene00009377,History: N.A.
WBGene00007264,,WBGene00007264,WBGene00007264,History: N.A.
WBGene00000752,,WBGene00000752,WBGene00000752,History: N.A.
WBGene00017246,,WBGene00017246,WBGene00017246,History: N.A.
WBGene00195209,,WBGene00195209,WBGene00195209,History: N.A.
WBGene00018164,,WBGene00018164,WBGene00018164,History: N.A.
WBGene00012833,,WBGene00012833,WBGene00012833,History: N.A.
WBGene00007344,,WBGene00007344,WBGene00007344,History: N.A.
WBGene00001433,,WBGene00001433,WBGene00001433,History: N.A.
WBGene00003756,,WBGene00003756,WBGene00003756,History: N.A.
WBGene00003741,,WBGene00003741,WBGene00003741,History: N.A.
WBGene00013516,,WBGene00013516,WBGene00013516,History: N.A.
WBGene00008449,,WBGene00008449,WBGene00008449,History: N.A.
WBGene00013477,,WBGene00013477,WBGene00013477,History: N.A.
WBGene00017659,,WBGene00017659,WBGene00017659,History: N.A.
WBGene00012213,,WBGene00012213,WBGene00012213,History: N.A.
WBGene00019839,,WBGene00019839,WBGene00019839,History: N.A.
WBGene00019734,,WBGene00019734,WBGene00019734,History: N.A.
WBGene00016164,,WBGene00016164,WBGene00016164,History: N.A.
WBGene00013393,,WBGene00013393,WBGene00013393,History: N.A.
WBGene00000013,,WBGene00000013,WBGene00000013,History: N.A.
WBGene00022417,,WBGene00022417,WBGene00022417,History: N.A.
WBGene00013366,,WBGene00013366,WBGene00013366,History: N.A.
WBGene00001444,,WBGene00001444,WBGene00001444,History: N.A.
WBGene00021614,,WBGene00021614,WBGene00021614,History: N.A.
WBGene00015857,,WBGene00015857,WBGene00015857,History: N.A.
WBGene00016505,,WBGene00016505,WBGene00016505,History: N.A.
WBGene00023408,,WBGene00023408,WBGene00023408,History: N.A.
WBGene00020566,,WBGene00020566,WBGene00020566,History: N.A.
WBGene00011484,,WBGene00011484,WBGene00011484,History: N.A.
WBGene00009896,,WBGene00009896,WBGene00009896,History: N.A.
WBGene00009809,,WBGene00009809,WBGene00009809,History: N.A.
WBGene00002111,,WBGene00002111,WBGene00002111,History: N.A.
WBGene00020218,,WBGene00020218,WBGene00020218,History: N.A.
WBGene00045490,,WBGene00045490,WBGene00045490,History: N.A.
WBGene00001702,,WBGene00001702,WBGene00001702,History: N.A.
WBGene00015514,,WBGene00015514,WBGene00015514,History: N.A.
WBGene00002110,,WBGene00002110,WBGene00002110,History: N.A.
WBGene00009328,,WBGene00009328,WBGene00009328,History: N.A.
WBGene00001736,,WBGene00001736,WBGene00001736,History: N.A.
WBGene00018937,,WBGene00018937,WBGene00018937,History: N.A.
WBGene00019236,,WBGene00019236,WBGene00019236,History: N.A.
WBGene00009422,,WBGene00009422,WBGene00009422,History: N.A.
WBGene00017297,,WBGene00017297,WBGene00017297,History: N.A.
WBGene00007149,,WBGene00007149,WBGene00007149,History: N.A.
WBGene00019184,,WBGene00019184,WBGene00019184,History: N.A.
WBGene00019284,,WBGene00019284,WBGene00019284,History: N.A.
WBGene00017082,,WBGene00017082,WBGene00017082,History: N.A.
WBGene00017499,,WBGene00017499,WBGene00017499,History: N.A.
WBGene00000753,,WBGene00000753,WBGene00000753,History: N.A.
WBGene00013406,,WBGene00013406,WBGene00013406,History: N.A.
WBGene00010545,,WBGene00010545,WBGene00010545,History: N.A.
WBGene00021161,,WBGene00021161,WBGene00021161,History: N.A.
WBGene00013029,,WBGene00013029,WBGene00013029,History: N.A.
WBGene00013459,,WBGene00013459,WBGene00013459,History: N.A.
WBGene00023485,,WBGene00023485,WBGene00023485,History: N.A.
Log2 TE ≥ 2,Unnamed: 1,Input,Suggested Match,History
WBGene00013887,,WBGene00013887,WBGene00013887,History: N.A.
WBGene00003456,,WBGene00003456,WBGene00003456,History: N.A.
WBGene00020937,,WBGene00020937,WBGene00020937,History: N.A.
WBGene00018121,,WBGene00018121,WBGene00018121,History: N.A.
WBGene00015193,,WBGene00015193,WBGene00015193,History: N.A.
WBGene00007449,,WBGene00007449,WBGene00007449,History: N.A.
WBGene00009954,,WBGene00009954,WBGene00009954,History: N.A.
WBGene00006047,,WBGene00006047,WBGene00006047,History: N.A.
WBGene00013696,,WBGene00013696,WBGene00013696,History: N.A.
WBGene00003079,,WBGene00003079,WBGene00003079,History: N.A.
WBGene00008576,,WBGene00008576,WBGene00008576,History: N.A.
WBGene00022005,,WBGene00022005,WBGene00022005,History: N.A.
WBGene00017321,,WBGene00017321,WBGene00017321,History: N.A.
WBGene00022268,,WBGene00022268,WBGene00022268,History: N.A.
WBGene00014170,,WBGene00014170,WBGene00014170,History: N.A.
WBGene00022864,,WBGene00022864,WBGene00022864,History: N.A.
WBGene00007216,,WBGene00007216,WBGene00007216,History: N.A.
WBGene00022023,,WBGene00022023,WBGene00022023,History: N.A.
WBGene00018997,,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00194642,,WBGene00194642,WBGene00194642,History: N.A.
WBGene00009938,,WBGene00009938,WBGene00009938,History: N.A.
WBGene00012357,,WBGene00012357,WBGene00012357,History: N.A.
WBGene00000878,,WBGene00000878,WBGene00000878,History: N.A.
WBGene00012807,,WBGene00012807,WBGene00012807,History: N.A.
WBGene00012029,,WBGene00012029,WBGene00012029,History: N.A.
WBGene00044634,,WBGene00044634,WBGene00044634,History: N.A.
WBGene00011319,,WBGene00011319,WBGene00011319,History: N.A.
WBGene00012996,,WBGene00012996,WBGene00012996,History: N.A.
WBGene00021331,,WBGene00021331,WBGene00021331,History: N.A.
WBGene00021548,,WBGene00021548,WBGene00021548,History: N.A.
WBGene00004451,,WBGene00004451,WBGene00004451,History: N.A.
WBGene00013449,,WBGene00013449,WBGene00013449,History: N.A.
WBGene00022760,,WBGene00022760,WBGene00022760,History: N.A.
WBGene00008994,,WBGene00008994,WBGene00008994,History: N.A.
WBGene00003448,,WBGene00003448,WBGene00003448,History: N.A.
WBGene00016808,,WBGene00016808,WBGene00016808,History: N.A.
WBGene00003434,,WBGene00003434,WBGene00003434,History: N.A.
WBGene00022357,,WBGene00022357,WBGene00022357,History: N.A.
WBGene00016054,,WBGene00016054,WBGene00016054,History: N.A.
WBGene00017750,,WBGene00017750,WBGene00017750,History: N.A.
WBGene00013854,,WBGene00013854,WBGene00013854,History: N.A.
