gene_id,description,wt rep 1,wt rep 2,wt rep 3,henn-1 rep 1,henn-1 rep 2,henn-1 rep 3,fold_change*,pvalue_adj,Direction of change,Predicted piRNA targets,CLASH counts,Input,Suggested Match,History
F14D12.2,unc-97,120.55,104.36,113.41,160.63,151.21,164.33,1.41,0.0034,upregulated,23,2,F14D12.2,WBGene00006826,Sequence name for WBGene00006826(unc-97). History: N.A.
K07A1.13,Coding_gene,130.27,89.2,87.49,149.08,152.29,163.37,1.51,0.00355,upregulated,11,0,K07A1.13,WBGene00010617,Public name for WBGene00010617. History: N.A.
ZK721.2,unc-27,56.39,38.36,46.44,92.39,96.13,117.24,2.17,0.00357,upregulated,8,8,ZK721.2,WBGene00006764,Sequence name for WBGene00006764(unc-27). History: N.A.
F25H2.2,snx-27,289.71,293.47,276.51,410.5,365.06,375.74,1.34,0.0036,upregulated,39,3,F25H2.2,WBGene00009116,Sequence name for WBGene00009116(snx-27). History: N.A.
C18C4.5,Coding_gene,116.24,143.07,139.29,181.99,198.49,185.97,1.42,0.00393,upregulated,ND,ND,C18C4.5,WBGene00015968,"Public name for Dead gene WBGene00015966. History of WBGene00015966: Merged into ""WBGene00015968"" on 2017-09-21"
F29D11.1,lrp-1,115.69,107.93,103.69,152.23,177.13,142.22,1.44,0.00409,upregulated,179,5,F29D11.1,WBGene00003071,Sequence name for WBGene00003071(lrp-1). History: N.A.
Y94H6A.10,Coding_gene,75.83,63.33,69.12,137.54,114.49,87.45,1.63,0.00416,upregulated,31,3,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
F17E9.9,his-34,73.88,67.79,74.52,98.69,114.49,115.33,1.52,0.00417,upregulated,0,29,F17E9.9,WBGene00001908,Sequence name for WBGene00001908(his-34). History: N.A.
F35H10.11,his-29,73.88,67.79,74.52,98.69,114.49,115.33,1.52,0.00417,upregulated,0,29,F35H10.11,WBGene00001903,Sequence name for WBGene00001903(his-29). History: N.A.
T07C4.9,nex-2,130.91,157.11,138.41,177.97,202.42,218.02,1.4,0.00432,upregulated,9,8,T07C4.9,WBGene00003589,Sequence name for WBGene00003589(nex-2). History: N.A.
C38D4.10,Pseudogene,271.23,221.23,226.78,352.78,348.87,275.84,1.36,0.00444,upregulated,2,2,C38D4.10,WBGene00044225,Public name for WBGene00044225. History: N.A.
C15H9.9,Coding_gene,355.81,308.64,349.93,506.05,473.07,419.01,1.38,0.00448,upregulated,3,0,C15H9.9,WBGene00015803,Public name for WBGene00015803. History: N.A.
Y49E10.17,fbxa-218,70.07,60.38,60.83,105.72,100.68,122.62,1.72,0.00488,upregulated,14,24,Y49E10.17,WBGene00013036,Sequence name for WBGene00013036(fbxa-218). History: N.A.
B0391.8,Pseudogene,64.16,49.06,57.25,79.79,84.25,98.02,1.54,0.00488,upregulated,ND,ND,B0391.8,WBGene00014643,Public name for WBGene00014643. History: N.A.
T05D4.1,aldo-1,19.44,28.54,24.84,44.09,45.36,82.65,2.37,0.00499,upregulated,2,3,T05D4.1,WBGene00011474,Sequence name for WBGene00011474(aldo-1). History: N.A.
ZK484.2,haf-9,46.32,49.58,38.92,77.11,85.77,75.77,1.76,0.00571,upregulated,25,6,ZK484.2,WBGene00001819,Sequence name for WBGene00001819(haf-9). History: N.A.
F58G4.1,myo-5,41.8,61.55,36.73,79.79,85.33,178.74,2.45,0.00589,upregulated,82,1,F58G4.1,WBGene00019064,Sequence name for WBGene00019064(myo-5). History: N.A.
F47B3.1,Coding_gene,0.0,0.0,0.0,15.75,0.0,12.49,52.4,0.00639,upregulated,10,9,F47B3.1,WBGene00018525,Public name for WBGene00018525. History: N.A.
Y57G11A.1,tag-273,38.15,37.77,33.81,62.5,67.96,82.86,1.95,0.00652,upregulated,41,3,Y57G11A.1,WBGene00013289,Sequence name for WBGene00013289(tag-273). History: N.A.
C54G4.1,rskn-2,24.73,32.6,31.92,56.66,53.3,61.66,1.92,0.00659,upregulated,33,0,C54G4.1,WBGene00008311,Sequence name for WBGene00008311(rskn-2). History: N.A.
F41F3.4,col-139,7.78,19.62,15.12,42.0,34.56,44.21,2.83,0.00706,upregulated,4,3,F41F3.4,WBGene00000712,Sequence name for WBGene00000712(col-139). History: N.A.
B0336.4,rgs-5,189.35,160.37,166.15,223.36,241.65,230.37,1.35,0.00717,upregulated,17,4,B0336.4,WBGene00004348,"Sequence name for WBGene00004348(rgs-5). History: N.A.. Public name for Dead gene WBGene00015144. History of WBGene00015144: Merged into ""WBGene00004348"" on 2004-12-03"
C48B6.9,Coding_gene,77.77,62.44,76.69,107.09,122.05,103.79,1.54,0.00738,upregulated,3,1,C48B6.9,WBGene00016745,Public name for WBGene00016745. History: N.A.
Y74C9A.5,sesn-1,66.11,54.41,34.56,86.09,93.97,99.94,1.8,0.00774,upregulated,23,3,Y74C9A.5,WBGene00022279,Sequence name for WBGene00022279(sesn-1). History: N.A.
F22H10.4,Coding_gene,20.42,24.08,12.96,37.8,35.64,46.13,2.06,0.00785,upregulated,ND,ND,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
H14N18.3,ttr-47,109.86,115.96,103.69,162.73,150.13,144.15,1.38,0.00822,upregulated,2,0,H14N18.3,WBGene00019203,Sequence name for WBGene00019203(ttr-47). History: N.A.
T02E1.5,dhs-3,45.62,61.44,41.18,98.54,80.2,77.98,1.73,0.00823,upregulated,10,1,T02E1.5,WBGene00000967,Sequence name for WBGene00000967(dhs-3). History: N.A.
C36B1.1,cle-1,299.95,320.66,302.66,390.51,367.98,464.71,1.33,0.00864,upregulated,41,0,C36B1.1,WBGene00000527,Sequence name for WBGene00000527(cle-1). History: N.A.
F16B4.6,Coding_gene,2.92,2.68,4.32,8.4,8.64,15.38,3.37,0.00864,upregulated,9,0,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
F54F2.1,pat-2,38.89,51.74,42.13,81.89,71.28,132.61,2.15,0.00903,upregulated,47,1,F54F2.1,WBGene00003929,"Sequence name for WBGene00003929(pat-2). History: N.A.. Public name for Dead gene WBGene00018832. History of WBGene00018832: Merged into ""WBGene00003929"" on 2008-01-24"
F54E2.3,ketn-1,35.46,47.83,37.27,70.42,79.68,111.79,2.17,0.00905,upregulated,87,13,F54E2.3,WBGene00004130,Sequence name for WBGene00004130(ketn-1). History: N.A.
F33H2.7,set-10,148.74,151.64,145.82,207.87,172.81,216.22,1.34,0.00914,upregulated,13,3,F33H2.7,WBGene00009370,Sequence name for WBGene00009370(set-10). History: N.A.
Y116F11B.10,Pseudogene,123.47,126.66,146.9,153.28,207.37,175.86,1.35,0.00917,upregulated,ND,ND,Y116F11B.10,WBGene00013826,Public name for WBGene00013826. History: N.A.
F35E12.10,Coding_gene,305.27,292.57,282.99,387.4,363.98,466.08,1.38,0.00973,upregulated,15,0,F35E12.10,WBGene00009434,Public name for WBGene00009434. History: N.A.
C16C8.13,Coding_gene,138.05,129.34,157.69,176.38,200.89,196.04,1.35,0.0101,upregulated,16,2,C16C8.13,WBGene00015851,Public name for WBGene00015851. History: N.A.
W08F4.9,fbxb-14,27.22,18.73,27.0,27.3,43.2,49.01,1.66,0.0102,upregulated,9,5,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
B0047.1,bath-20,103.42,90.87,109.37,115.4,146.78,146.41,1.35,0.0105,upregulated,16,11,B0047.1,WBGene00015012,Sequence name for WBGene00015012(bath-20). History: N.A.
Y113G7B.3,fbxa-115,48.61,55.3,63.73,100.79,86.41,81.68,1.61,0.0109,upregulated,12,13,Y113G7B.3,WBGene00013755,Sequence name for WBGene00013755(fbxa-115). History: N.A.
F13A2.4,Coding_gene,176.93,147.18,177.12,245.68,235.46,207.58,1.38,0.0111,upregulated,5,12,F13A2.4,WBGene00017413,Public name for WBGene00017413. History: N.A.
C39F7.5,Coding_gene,83.61,96.34,89.65,122.83,109.09,141.26,1.39,0.0114,upregulated,29,7,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
F57B1.3,col-159,12.64,7.14,5.4,33.6,21.6,23.06,3.09,0.0114,upregulated,12,19,F57B1.3,WBGene00000732,Sequence name for WBGene00000732(col-159). History: N.A.
F13D2.1,Coding_gene,77.77,82.06,66.97,109.19,122.05,115.32,1.52,0.0117,upregulated,68,0,F13D2.1,WBGene00008735,Public name for WBGene00008735. History: N.A.
C15F1.2,Coding_gene,20.42,29.44,14.04,38.85,58.32,46.13,2.22,0.0134,upregulated,41,1,C15F1.2,WBGene00015795,Public name for WBGene00015795. History: N.A.
Y39H10B.2,Coding_gene,17.25,13.15,12.16,31.51,32.41,30.64,2.23,0.0137,upregulated,15,0,Y39H10B.2,WBGene00044527,Public name for WBGene00044527. History: N.A.
R12B2.1,sma-4,12.8,14.51,29.23,33.89,47.15,36.32,2.18,0.0142,upregulated,21,3,R12B2.1,WBGene00004858,Sequence name for WBGene00004858(sma-4). History: N.A.
ZK792.3,inx-9,260.54,275.63,272.19,356.96,311.06,406.5,1.33,0.0143,upregulated,15,0,ZK792.3,WBGene00002131,Sequence name for WBGene00002131(inx-9). History: N.A.
H17B01.1,Pseudogene,188.85,212.57,178.45,256.5,222.78,324.27,1.39,0.0146,upregulated,7,9,H17B01.1,WBGene00019207,Sequence name for WBGene00019207(fgt-1). History: N.A.
ZK1086.1,obr-3,146.95,139.29,135.16,173.41,197.86,179.89,1.31,0.0146,upregulated,23,4,ZK1086.1,WBGene00014215,Sequence name for WBGene00014215(obr-3). History: N.A.
Y55H10B.1,Transposon,148.74,190.89,164.18,219.42,193.33,246.01,1.31,0.0146,upregulated,ND,ND,Y55H10B.1,,Sequence name for Suppressed gene WBGene00021954. Molecular name for Suppressed gene WBGene00021954. Public name for Suppressed gene WBGene00021954. History of WBGene00021954: Suppressed on 2007-01-05. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C46C2.2,Coding_gene,324.71,355.01,321.88,422.05,413.67,467.04,1.3,0.0152,upregulated,31,13,C46C2.2,WBGene00008110,Public name for WBGene00008110. History: N.A.
E01G4.7,"Pseudogene, ERGO-1 target",120.55,103.47,118.81,164.83,163.09,143.19,1.38,0.0155,upregulated,ND,ND,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
T15B7.4,col-142,15.55,5.35,2.16,29.4,28.08,26.91,3.63,0.0156,upregulated,2,10,T15B7.4,WBGene00000715,Sequence name for WBGene00000715(col-142). History: N.A.
C27D8.3,Coding_gene,84.59,56.11,55.2,101.23,82.8,101.06,1.46,0.0156,upregulated,21,7,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
F17E9.12,his-31,157.49,126.67,125.28,197.38,193.33,166.26,1.36,0.016,upregulated,10,69,F17E9.12,WBGene00001905,Sequence name for WBGene00001905(his-31). History: N.A.
C38D9.2,Coding_gene,7.78,17.84,20.52,22.05,38.88,46.13,2.33,0.0163,upregulated,13,6,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
Y82E9BR.22,Coding_gene,235.26,199.82,227.85,318.14,300.26,248.93,1.31,0.0165,upregulated,4,7,Y82E9BR.22,WBGene00022354,Public name for WBGene00022354. History: N.A.
F33D4.2,itr-1,165.6,190.84,161.45,241.87,237.76,316.4,1.54,0.0167,upregulated,117,1,F33D4.2,WBGene00002173,Sequence name for WBGene00002173(itr-1). History: N.A.
F32H2.5,fasn-1,4316.51,4336.84,4858.52,5479.24,5345.26,6837.32,1.31,0.0168,upregulated,81,3,F32H2.5,WBGene00009342,Sequence name for WBGene00009342(fasn-1). History: Renamed on 2015-03-06
Y48G1A.2,Coding_gene,182.77,140.94,138.24,202.63,207.37,195.09,1.31,0.0174,upregulated,5,19,Y48G1A.2,WBGene00021658,Public name for WBGene00021658. History: N.A.
ZK822.2,Coding_gene,29.17,35.68,37.8,46.2,61.56,66.31,1.7,0.0175,upregulated,7,3,ZK822.2,WBGene00014090,"Public name for WBGene00014090. History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
C28H8.6,pxl-1,29.84,41.71,36.26,62.27,51.33,72.37,1.73,0.0175,upregulated,16,4,C28H8.6,WBGene00016197,Sequence name for WBGene00016197(pxl-1). History: N.A.
Y32F6A.6,Pseudogene,30.14,33.9,29.16,50.39,46.44,68.23,1.77,0.0178,upregulated,ND,ND,Y32F6A.6,WBGene00044209,Public name for WBGene00044209. History: N.A.
M05D6.1,Coding_gene,1.94,0.0,2.16,6.3,2.16,34.6,10.85,0.0189,upregulated,10,4,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
T01D1.4,Coding_gene,132.22,127.56,136.09,182.68,155.53,187.4,1.33,0.0196,upregulated,9,0,T01D1.4,WBGene00020149,Public name for WBGene00020149. History: N.A.
Y102A11A.8,igcm-4,17.5,12.49,15.12,30.45,23.76,33.63,1.96,0.0206,upregulated,28,0,Y102A11A.8,WBGene00022418,Sequence name for WBGene00022418(igcm-4). History: N.A.
T25F10.6,clik-1,134.03,90.89,86.32,170.96,141.35,229.44,1.74,0.0214,upregulated,20,7,T25F10.6,WBGene00020808,Sequence name for WBGene00020808(clik-1). History: N.A.
T19B4.1,pamn-1,88.47,97.23,104.77,138.58,131.77,140.3,1.42,0.0215,upregulated,43,1,T19B4.1,WBGene00020556,Sequence name for WBGene00020556(pamn-1). History: N.A.
R03A10.1,blos-8,45.69,47.28,55.08,80.84,69.12,77.84,1.54,0.022,upregulated,5,3,R03A10.1,WBGene00010981,Sequence name for WBGene00010981(blos-8). History: N.A.
F57B1.4,col-160,56.39,28.54,23.76,89.24,73.44,61.5,2.06,0.022,upregulated,6,19,F57B1.4,WBGene00000733,Sequence name for WBGene00000733(col-160). History: N.A.
Y73B6BL.7,csp-2,5.83,3.57,3.24,13.65,23.76,21.14,4.62,0.0229,upregulated,36,25,Y73B6BL.7,WBGene00000820,Sequence name for WBGene00000820(csp-2). History: N.A.
K10G9.3,pad-2,84.58,74.93,78.85,112.34,112.33,106.67,1.39,0.0234,upregulated,14,1,K10G9.3,WBGene00010757,Sequence name for WBGene00010757(pad-2). History: Renamed on 2020-06-09
R03E9.3,abts-4,70.13,60.82,72.22,94.41,100.32,118.74,1.55,0.0239,upregulated,23,7,R03E9.3,WBGene00019844,Sequence name for WBGene00019844(abts-4). History: N.A.
C44B7.7,Coding_gene,28.19,28.54,35.64,53.54,50.76,49.01,1.67,0.0256,upregulated,19,0,C44B7.7,WBGene00016629,Public name for WBGene00016629. History: N.A.
F33G12.6,Coding_gene,119.58,101.69,99.37,144.88,140.41,140.3,1.33,0.0263,upregulated,29,2,F33G12.6,WBGene00018018,Public name for WBGene00018018. History: N.A.
F02A9.2,far-1,206.1,187.32,170.65,226.78,288.38,254.67,1.36,0.0273,upregulated,5,3,F02A9.2,WBGene00001385,Sequence name for WBGene00001385(far-1). History: N.A.
C36E6.3,mlc-1,23.33,12.49,19.44,36.75,37.8,38.44,2.06,0.0273,upregulated,10,10,C36E6.3,WBGene00003369,Sequence name for WBGene00003369(mlc-1). History: N.A.
C05E11.3,Coding_gene,37.91,36.57,36.72,60.89,63.72,72.08,1.77,0.0275,upregulated,10,1,C05E11.3,WBGene00015494,Public name for WBGene00015494. History: N.A.
T21C12.8,Coding_gene,33.41,22.32,29.21,48.12,63.63,56.44,2.0,0.0281,upregulated,14,3,T21C12.8,WBGene00043998,Public name for WBGene00043998. History: N.A.
F15D4.5,Coding_gene,47.64,43.71,55.09,61.94,62.64,75.92,1.38,0.0285,upregulated,15,5,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
C01F6.6,nrfl-1,10.75,19.64,20.27,36.22,24.03,47.89,2.12,0.0293,upregulated,20,1,C01F6.6,WBGene00006438,Sequence name for WBGene00006438(nrfl-1). History: Renamed on 2012-02-07; Renamed on 2012-07-20
T14F9.3,hex-1,115.69,111.5,119.89,175.33,144.73,172.98,1.42,0.0296,upregulated,12,0,T14F9.3,WBGene00020509,Sequence name for WBGene00020509(hex-1). History: N.A.
K09C4.10,Coding_gene,112.77,116.85,105.85,144.88,137.17,158.56,1.31,0.0296,upregulated,45,1,K09C4.10,WBGene00019554,Public name for WBGene00019554. History: N.A.
W02A2.1,fat-2,60.28,62.44,43.2,75.59,85.33,99.94,1.57,0.0299,upregulated,7,2,W02A2.1,WBGene00001394,Sequence name for WBGene00001394(fat-2). History: N.A.
K02A4.1,bcat-1,118.61,123.99,130.69,166.93,163.09,191.24,1.4,0.031,upregulated,15,1,K02A4.1,WBGene00001149,Sequence name for WBGene00001149(bcat-1). History: N.A.
T09A5.4,Coding_gene,92.36,87.42,74.53,121.79,110.17,121.09,1.39,0.0317,upregulated,6,2,T09A5.4,WBGene00011633,Public name for WBGene00011633. History: N.A.
F33E2.2,dlk-1,93.93,83.28,86.71,122.33,139.39,122.21,1.46,0.0318,upregulated,28,60,F33E2.2,WBGene00001008,Sequence name for WBGene00001008(dlk-1). History: N.A.
M02F4.8,aqp-7,127.36,112.39,128.53,155.38,168.49,191.24,1.4,0.0318,upregulated,7,0,M02F4.8,WBGene00000175,Sequence name for WBGene00000175(aqp-7). History: N.A.
C41D11.6,Coding_gene,18.47,36.57,33.48,45.14,42.12,46.13,1.51,0.0323,upregulated,12,0,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
K12H6.6,Coding_gene,161.48,163.65,156.71,185.94,215.07,226.94,1.3,0.0331,upregulated,11,10,K12H6.6,WBGene00019686,Public name for WBGene00019686. History: N.A.
Y48C3A.3,Coding_gene,45.69,42.82,25.92,62.99,63.72,62.46,1.64,0.0333,upregulated,6,1,Y48C3A.3,WBGene00012987,Public name for WBGene00012987. History: N.A.
ZC15.4,Pseudogene,9.72,12.49,23.76,26.25,25.92,42.28,2.09,0.0335,upregulated,ND,ND,ZC15.4,WBGene00014977,Public name for WBGene00014977. History: N.A.
W09G3.8,Coding_gene,150.68,135.59,130.67,176.39,207.38,162.43,1.31,0.0337,upregulated,2,3,W09G3.8,WBGene00012371,Public name for WBGene00012371. History: N.A.
JC8.11,Pseudogene,63.19,55.3,52.93,73.49,95.05,79.76,1.45,0.0339,upregulated,ND,ND,JC8.11,WBGene00008178,"Public name for Dead gene WBGene00010441. History of WBGene00010441: Merged into ""WBGene00008178"" on 2012-07-16"
Y48G9A.7,Coding_gene,18.47,27.65,20.52,36.75,39.96,39.41,1.73,0.0343,upregulated,4,0,Y48G9A.7,WBGene00021701,Public name for WBGene00021701. History: N.A.
Y25C1A.13,Coding_gene,220.68,213.19,174.98,264.57,275.42,258.51,1.31,0.0355,upregulated,5,3,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
T22C1.7,jph-1,20.42,19.62,20.52,33.6,33.48,40.36,1.78,0.0363,upregulated,21,0,T22C1.7,WBGene00002179,Sequence name for WBGene00002179(jph-1). History: N.A.
T04C9.4,mlp-1,24.7,21.29,23.62,30.85,46.92,50.84,1.85,0.0367,upregulated,1,0,T04C9.4,WBGene00003375,Sequence name for WBGene00003375(mlp-1). History: N.A.
Y53F4B.19,Coding_gene,4.86,9.81,6.48,19.95,28.08,18.26,3.11,0.0393,upregulated,15,6,Y53F4B.19,WBGene00013165,Public name for WBGene00013165. History: N.A.
C04C11.2,arrd-25,63.19,61.55,88.57,119.69,105.85,109.55,1.58,0.0399,upregulated,29,3,C04C11.2,WBGene00007296,Sequence name for WBGene00007296(arrd-25). History: N.A.
C41A3.2,Coding_gene,48.98,60.71,43.41,92.87,68.83,95.26,1.68,0.0402,upregulated,32,0,C41A3.2,WBGene00016559,Public name for WBGene00016559. History: N.A.
H20J18.1,scd-1,22.32,16.35,21.57,34.59,40.97,30.7,1.77,0.0407,upregulated,17,8,H20J18.1,WBGene00004739,Sequence name for WBGene00004739(scd-1). History: N.A.
F44E5.4,Coding_gene,36.94,32.11,19.44,124.93,76.68,32.67,2.64,0.0408,upregulated,25,4,F44E5.4,WBGene00009691,Public name for WBGene00009691. History: N.A.
F44E5.5,Coding_gene,36.94,32.11,19.44,124.93,76.68,32.67,2.64,0.0408,upregulated,25,4,F44E5.5,WBGene00009692,Public name for WBGene00009692. History: N.A.
F59F4.3,Coding_gene,62.22,64.22,63.73,93.44,93.97,80.72,1.41,0.0438,upregulated,14,0,F59F4.3,WBGene00010338,Public name for WBGene00010338. History: N.A.
Y18D10A.25,fkb-8,58.33,48.17,65.89,60.89,89.65,106.67,1.5,0.044,upregulated,12,11,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
K04D7.3,gta-1,57.36,53.52,36.72,70.34,83.17,72.07,1.52,0.044,upregulated,19,1,K04D7.3,WBGene00001794,Sequence name for WBGene00001794(gta-1). History: N.A.
F56E3.3,klp-4,35.97,50.85,56.17,75.59,69.97,89.38,1.65,0.045,upregulated,32,0,F56E3.3,WBGene00002217,Sequence name for WBGene00002217(klp-4). History: N.A.
C38C6.2,atgp-2,97.68,78.22,63.56,104.62,135.32,109.39,1.47,0.046,upregulated,36,3,C38C6.2,WBGene00000225,Sequence name for WBGene00000225(atgp-2). History: Renamed on 2008-02-28
C27F2.2,nca-2,38.03,38.88,34.67,58.98,51.36,59.77,1.52,0.0464,upregulated,62,1,C27F2.2,WBGene00003558,Sequence name for WBGene00003558(nca-2). History: N.A.
B0393.9,Coding_gene,36.88,25.47,25.72,49.06,52.67,44.27,1.64,0.0477,upregulated,5,0,B0393.9,WBGene00044636,Public name for WBGene00044636. History: N.A.
F47B10.9,Coding_gene,67.08,65.12,78.85,88.19,95.05,123.01,1.46,0.048,upregulated,14,1,F47B10.9,WBGene00009820,Public name for WBGene00009820. History: N.A.
C02F5.6,henn-1,2191.86,2240.48,2298.32,233.79,249.39,229.23,-9.46,0.0,downregulated,11,12,C02F5.6,WBGene00015349,Sequence name for WBGene00015349(henn-1). History: N.A.
F21H11.2,sax-2,5104.99,4771.16,4640.95,3180.41,2966.73,3020.87,-1.58,7.36e-61,downregulated,93,7,F21H11.2,WBGene00004728,"Sequence name for WBGene00004728(sax-2). History: N.A.. Public name for Dead gene WBGene00017682. History of WBGene00017682: Merged into ""WBGene00004728"" on 2004-11-26"
T26A5.8,Coding_gene,570.66,452.25,511.94,162.73,164.17,139.35,-3.3,1.5100000000000001e-43,downregulated,6,2,T26A5.8,WBGene00020823,Public name for WBGene00020823. History: N.A.
F55H2.4,Pseudogene,533.73,536.09,543.31,251.97,267.86,319.05,-1.92,1.58e-28,downregulated,ND,ND,F55H2.4,WBGene00003067,Sequence name for WBGene00003067(lrg-1). History: N.A.
B0564.11,rde-11,639.69,645.81,645.91,411.55,409.35,402.66,-1.58,4.1599999999999994e-23,downregulated,8,123,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
F57G4.8,fbxa-192,454.01,404.97,405.05,106.04,143.65,172.02,-2.99,3.77e-21,downregulated,27,10,F57G4.8,WBGene00010212,Sequence name for WBGene00010212(fbxa-192). History: N.A.
C28D4.3,gln-6,12160.04,11579.0,11111.16,9125.52,9184.92,8460.56,-1.3,1.03e-12,downregulated,8,40,C28D4.3,WBGene00001607,Sequence name for WBGene00001607(gln-6). History: N.A.
E02H9.3,Coding_gene,599.85,617.14,629.72,405.26,394.23,431.49,-1.5,1.71e-12,downregulated,19,31,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
Y102E9.1,odr-4,1472.5,1539.06,1506.2,1156.43,1141.03,1132.55,-1.32,4.41e-12,downregulated,15,11,Y102E9.1,WBGene00003851,Sequence name for WBGene00003851(odr-4). History: N.A.
F19F10.10,ets-6,1651.74,1724.22,1823.28,1400.52,1221.56,1238.7,-1.35,7.95e-12,downregulated,40,17,F19F10.10,WBGene00017606,Sequence name for WBGene00017606(ets-6). History: N.A.
C56C10.1,vps-33.2,2277.83,2488.66,2447.58,1898.16,1748.63,1860.46,-1.31,1.61e-11,downregulated,18,7,C56C10.1,WBGene00016960,Sequence name for WBGene00016960(vps-33.2). History: N.A.
F57G4.7,Transposon,216.8,233.7,246.27,112.34,98.29,138.38,-1.99,2.7e-11,downregulated,ND,ND,F57G4.7,,"Sequence name for Suppressed gene WBGene00014774. Molecular name for Suppressed gene WBGene00014774. Public name for Suppressed gene WBGene00014774. History of WBGene00014774: Killed on 2010-07-09; Suppressed on 2013-07-30. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
C04F5.1,sid-1,920.66,1021.33,975.36,730.71,664.24,727.46,-1.37,3.26e-11,downregulated,26,75,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
F59A1.9,Pseudogene,269.29,339.85,375.89,127.03,131.77,178.74,-2.24,4.27e-11,downregulated,ND,ND,F59A1.9,WBGene00010295,Sequence name for WBGene00010295(fbxa-193). History: N.A.
T03D3.5,Coding_gene,440.4,433.51,446.09,277.17,263.54,319.05,-1.53,2.7e-10,downregulated,21,34,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
K02F2.4,ulp-5,600.81,667.21,616.74,443.05,392.07,441.1,-1.48,1.52e-09,downregulated,22,9,K02F2.4,WBGene00006740,Sequence name for WBGene00006740(ulp-5). History: Renamed on 2014-03-28; Renamed on 2014-09-02
B0047.3,bath-24,224.57,237.27,252.74,133.34,169.57,137.42,-1.62,5.43e-08,downregulated,19,33,B0047.3,WBGene00015014,Sequence name for WBGene00015014(bath-24). History: N.A.
C38D4.7,Coding_gene,105.0,95.44,90.73,38.85,38.88,47.09,-2.33,9.29e-08,downregulated,7,27,C38D4.7,WBGene00008007,Public name for WBGene00008007. History: N.A.
C04F12.11,Transposon,32.08,26.76,44.28,4.2,0.0,0.0,-24.92,1.98e-06,downregulated,ND,ND,C04F12.11,,Sequence name for Suppressed gene WBGene00023434. Molecular name for Suppressed gene WBGene00023434. Public name for Suppressed gene WBGene00023434. History of WBGene00023434: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K10H10.2,cysl-2,701.91,629.75,644.83,496.59,534.63,453.59,-1.33,0.000158,downregulated,9,5,K10H10.2,WBGene00010759,Sequence name for WBGene00010759(cysl-2). History: N.A.
Y54G2A.50,Coding_gene,206.1,224.79,270.01,167.98,158.77,142.23,-1.49,0.000219,downregulated,6,7,Y54G2A.50,WBGene00044493,Public name for WBGene00044493. History: N.A.
ZK637.9,tpk-1,204.38,204.64,225.16,147.65,152.02,143.78,-1.43,0.000233,downregulated,9,4,ZK637.9,WBGene00014027,Sequence name for WBGene00014027(tpk-1). History: N.A.
F48A11.1,chs-2,112.77,139.15,140.42,64.04,74.52,80.72,-1.79,0.000302,downregulated,42,20,F48A11.1,WBGene00000497,Sequence name for WBGene00000497(chs-2). History: N.A.
F57G4.4,Pseudogene,97.22,101.69,95.05,34.65,51.84,52.85,-2.11,0.000618,downregulated,ND,ND,F57G4.4,WBGene00010209,Sequence name for WBGene00010209(fbxa-191). History: N.A.
