# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -1,Unnamed: 1,Input,Suggested Match,History
WBGene00022335,,WBGene00022335,WBGene00022335,History: N.A.
WBGene00017066,,WBGene00017066,WBGene00017066,History: N.A.
WBGene00013167,,WBGene00013167,WBGene00013167,History: N.A.
WBGene00017373,,WBGene00017373,WBGene00017373,History: N.A.
WBGene00010502,,WBGene00010502,WBGene00010502,History: N.A.
WBGene00003230,,WBGene00003230,WBGene00003230,History: N.A.
WBGene00008174,,WBGene00008174,WBGene00008174,History: N.A.
WBGene00016582,,WBGene00016582,WBGene00016582,History: N.A.
WBGene00007620,,WBGene00007620,WBGene00007620,History: N.A.
WBGene00010369,,WBGene00010369,WBGene00010369,History: N.A.
WBGene00014087,,WBGene00014087,WBGene00014087,History: N.A.
WBGene00017316,,WBGene00017316,WBGene00017316,History: N.A.
WBGene00016960,,WBGene00016960,WBGene00016960,History: N.A.
WBGene00045192,,WBGene00045192,WBGene00045192,History: N.A.
WBGene00019217,,WBGene00019217,WBGene00019217,History: N.A.
WBGene00002201,,WBGene00002201,WBGene00002201,History: N.A.
WBGene00012527,,WBGene00012527,WBGene00012527,History: N.A.
WBGene00006430,,WBGene00006430,WBGene00006430,History: N.A.
WBGene00012879,,WBGene00012879,WBGene00012879,History: N.A.
WBGene00020462,,WBGene00020462,WBGene00020462,History: N.A.
WBGene00017931,,WBGene00017931,WBGene00017931,History: N.A.
WBGene00009584,,WBGene00009584,WBGene00009584,History: N.A.
WBGene00021685,,WBGene00021685,WBGene00021685,History: N.A.
WBGene00018794,,WBGene00018794,WBGene00018794,History: N.A.
WBGene00002583,,WBGene00002583,WBGene00002583,History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
WBGene00010892,,WBGene00010892,WBGene00010892,History: N.A.
WBGene00011939,,WBGene00011939,WBGene00011939,History: Renamed on 2016-11-29
WBGene00022800,,WBGene00022800,WBGene00022800,History: N.A.
WBGene00013350,,WBGene00013350,WBGene00013350,History: Renamed on 2008-05-23
WBGene00004984,,WBGene00004984,WBGene00004984,History: N.A.
WBGene00020819,,WBGene00020819,WBGene00020819,History: N.A.
WBGene00006944,,WBGene00006944,WBGene00006944,History: N.A.
WBGene00006755,,WBGene00006755,WBGene00006755,History: N.A.
WBGene00012868,,WBGene00012868,WBGene00012868,History: N.A.
WBGene00017699,,WBGene00017699,WBGene00017699,History: N.A.
WBGene00003413,,WBGene00003413,WBGene00003413,History: N.A.
WBGene00022087,,WBGene00022087,WBGene00022087,History: N.A.
WBGene00003656,,WBGene00003656,WBGene00003656,History: N.A.
WBGene00004254,,WBGene00004254,WBGene00004254,History: N.A.
WBGene00000264,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00015330,,WBGene00015330,WBGene00015330,History: N.A.
WBGene00007023,,WBGene00007023,WBGene00007023,History: N.A.
WBGene00001597,,WBGene00001597,WBGene00001597,History: N.A.
WBGene00001443,,WBGene00001443,WBGene00001443,History: N.A.
WBGene00006739,,WBGene00006739,WBGene00006739,History: N.A.
WBGene00006359,,WBGene00006359,WBGene00006359,History: N.A.
WBGene00001653,,WBGene00001653,WBGene00001653,History: N.A.
WBGene00003229,,WBGene00003229,WBGene00003229,History: N.A.
WBGene00013670,,WBGene00013670,WBGene00013670,History: N.A.
WBGene00000156,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00016318,,WBGene00016318,WBGene00016318,History: N.A.
WBGene00008430,,WBGene00008430,WBGene00008430,History: N.A.
WBGene00004760,,WBGene00004760,WBGene00004760,History: N.A.
WBGene00011835,,WBGene00011835,WBGene00011835,History: N.A.
WBGene00011945,,WBGene00011945,WBGene00011945,History: N.A.
WBGene00018483,,WBGene00018483,WBGene00018483,History: N.A.
WBGene00020412,,WBGene00020412,WBGene00020412,History: N.A.
WBGene00003228,,WBGene00003228,WBGene00003228,History: N.A.
WBGene00014075,,WBGene00014075,WBGene00014075,History: N.A.
WBGene00006940,,WBGene00006940,WBGene00006940,History: N.A.
WBGene00012522,,WBGene00012522,WBGene00012522,History: N.A.
WBGene00003177,,WBGene00003177,WBGene00003177,History: N.A.
WBGene00018316,,WBGene00018316,WBGene00018316,History: N.A.
WBGene00003186,,WBGene00003186,WBGene00003186,History: N.A.
WBGene00010283,,WBGene00010283,WBGene00010283,History: N.A.
WBGene00000496,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00002148,,WBGene00002148,WBGene00002148,History: Renamed on 2006-03-22
WBGene00008682,,WBGene00008682,WBGene00008682,History: N.A.
WBGene00002144,,WBGene00002144,WBGene00002144,History: N.A.
WBGene00009163,,WBGene00009163,WBGene00009163,History: N.A.
WBGene00010093,,WBGene00010093,WBGene00010093,History: N.A.
WBGene00013021,,WBGene00013021,WBGene00013021,History: N.A.
WBGene00008685,,WBGene00008685,WBGene00008685,History: N.A.
WBGene00019807,,WBGene00019807,WBGene00019807,History: N.A.
WBGene00012650,,WBGene00012650,WBGene00012650,History: N.A.
WBGene00017349,,WBGene00017349,WBGene00017349,History: N.A.
WBGene00009770,,WBGene00009770,WBGene00009770,History: N.A.
WBGene00000366,,WBGene00000366,WBGene00000366,History: N.A.
WBGene00003224,,WBGene00003224,WBGene00003224,History: N.A.
WBGene00021512,,WBGene00021512,WBGene00021512,History: N.A.
WBGene00003184,,WBGene00003184,WBGene00003184,History: N.A.
WBGene00017079,,WBGene00017079,WBGene00017079,History: N.A.
WBGene00015173,,WBGene00015173,WBGene00015173,History: N.A.
WBGene00001414,,WBGene00001414,WBGene00001414,History: N.A.
WBGene00015499,,WBGene00015499,WBGene00015499,History: Renamed on 2015-02-09; Renamed on 2019-02-06; Renamed on 2019-05-20
WBGene00045419,,WBGene00045419,WBGene00045419,History: Renamed on 2010-05-21
WBGene00004324,,WBGene00004324,WBGene00004324,History: N.A.
WBGene00006577,,WBGene00006577,WBGene00006577,History: N.A.
WBGene00009385,,WBGene00009385,WBGene00009385,History: N.A.
WBGene00020437,,WBGene00020437,WBGene00020437,History: N.A.
WBGene00007050,,WBGene00007050,WBGene00007050,History: Renamed on 2016-02-19
WBGene00009372,,WBGene00009372,WBGene00009372,"History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
WBGene00001609,,WBGene00001609,WBGene00001609,History: N.A.
WBGene00006516,,WBGene00006516,WBGene00006516,History: N.A.
WBGene00007709,,WBGene00007709,WBGene00007709,History: Renamed on 2006-06-15
WBGene00001660,,WBGene00001660,WBGene00001660,History: N.A.
WBGene00011071,,WBGene00011071,WBGene00011071,"History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
WBGene00004031,,WBGene00004031,WBGene00004031,History: N.A.
WBGene00000465,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00015468,,WBGene00015468,WBGene00015468,History: N.A.
WBGene00016650,,WBGene00016650,WBGene00016650,History: N.A.
WBGene00007329,,WBGene00007329,WBGene00007329,History: N.A.
WBGene00008990,,WBGene00008990,WBGene00008990,History: N.A.
WBGene00001584,,WBGene00001584,WBGene00001584,History: Renamed on 2011-05-17
WBGene00018482,,WBGene00018482,WBGene00018482,History: N.A.
WBGene00007645,,WBGene00007645,WBGene00007645,History: N.A.
WBGene00004128,,WBGene00004128,WBGene00004128,History: N.A.
WBGene00003150,,WBGene00003150,WBGene00003150,History: N.A.
WBGene00017607,,WBGene00017607,WBGene00017607,History: N.A.
WBGene00004378,,WBGene00004378,WBGene00004378,History: N.A.
WBGene00006382,,WBGene00006382,WBGene00006382,History: N.A.
WBGene00011612,,WBGene00011612,WBGene00011612,History: N.A.
WBGene00016117,,WBGene00016117,WBGene00016120,"History: Merged into ""WBGene00016120"" on 2018-01-11"
WBGene00017313,,WBGene00017313,WBGene00017313,History: N.A.
WBGene00001023,,WBGene00001023,WBGene00001023,History: N.A.
WBGene00012894,,WBGene00012894,WBGene00012894,History: N.A.
WBGene00021281,,WBGene00021281,WBGene00021281,History: N.A.
WBGene00013223,,WBGene00013223,WBGene00013223,History: N.A.
WBGene00013557,,WBGene00013557,WBGene00013557,History: N.A.
WBGene00016115,,WBGene00016115,WBGene00016115,History: N.A.
WBGene00004322,,WBGene00004322,WBGene00004322,History: N.A.
WBGene00004323,,WBGene00004323,WBGene00004323,History: N.A.
WBGene00012386,,WBGene00012386,WBGene00012386,History: N.A.
WBGene00004726,,WBGene00004726,WBGene00004726,History: N.A.
WBGene00004946,,WBGene00004946,WBGene00004946,History: N.A.
WBGene00004040,,WBGene00004040,WBGene00004040,History: N.A.
WBGene00016014,,WBGene00016014,WBGene00016014,History: N.A.
WBGene00004241,,WBGene00004241,WBGene00004241,History: N.A.
WBGene00020111,,WBGene00020111,WBGene00020111,History: N.A.
WBGene00014114,,WBGene00014114,WBGene00014114,History: Renamed on 2012-07-04
WBGene00017642,,WBGene00017642,WBGene00017642,History: N.A.
WBGene00006977,,WBGene00006977,WBGene00006977,History: N.A.
WBGene00006437,,WBGene00006437,WBGene00006437,History: Renamed on 2008-07-18
WBGene00195093,,WBGene00195093,WBGene00195093,History: N.A.
WBGene00009254,,WBGene00009254,WBGene00009254,History: N.A.
WBGene00008183,,WBGene00008183,WBGene00008183,History: Renamed on 2012-09-25
WBGene00003592,,WBGene00003592,WBGene00003592,History: N.A.
WBGene00011320,,WBGene00011320,WBGene00011320,History: N.A.
WBGene00012762,,WBGene00012762,WBGene00012762,History: N.A.
WBGene00001102,,WBGene00001102,WBGene00001102,History: N.A.
WBGene00019124,,WBGene00019124,WBGene00019124,History: N.A.
WBGene00018783,,WBGene00018783,WBGene00018783,History: N.A.
WBGene00009661,,WBGene00009661,WBGene00009661,History: N.A.
WBGene00001865,,WBGene00001865,WBGene00001865,History: N.A.
WBGene00001580,,WBGene00001580,WBGene00001580,History: N.A.
WBGene00003241,,WBGene00003241,WBGene00003241,History: N.A.
WBGene00001635,,WBGene00001635,WBGene00001635,History: N.A.
WBGene00003918,,WBGene00003918,WBGene00003918,History: N.A.
WBGene00022235,,WBGene00022235,WBGene00022235,History: N.A.
WBGene00015743,,WBGene00015743,WBGene00015743,History: N.A.
WBGene00007027,,WBGene00007027,WBGene00007027,History: N.A.
WBGene00002080,,WBGene00002080,WBGene00002080,History: Renamed on 2008-01-30
WBGene00003020,,WBGene00003020,WBGene00003020,History: N.A.
WBGene00006379,,WBGene00006379,WBGene00006379,History: N.A.
WBGene00000386,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00016603,,WBGene00016603,WBGene00016603,History: N.A.
WBGene00013580,,WBGene00013580,WBGene00013580,History: N.A.
WBGene00016178,,WBGene00016178,WBGene00016178,History: N.A.
WBGene00007761,,WBGene00007761,WBGene00007761,History: N.A.
WBGene00021905,,WBGene00021905,WBGene00021905,History: Renamed on 2012-02-17
WBGene00000939,,WBGene00000939,WBGene00000939,History: N.A.
WBGene00013549,,WBGene00013549,WBGene00013549,History: N.A.
WBGene00015102,,WBGene00015102,WBGene00015102,History: N.A.
WBGene00006996,,WBGene00006996,WBGene00006996,History: N.A.
WBGene00018812,,WBGene00018812,WBGene00018812,"History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
WBGene00012472,,WBGene00012472,WBGene00012472,History: N.A.
WBGene00011720,,WBGene00011720,WBGene00011720,History: N.A.
WBGene00000376,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00008081,,WBGene00008081,WBGene00008081,History: N.A.
WBGene00016562,,WBGene00016562,WBGene00016562,History: N.A.
WBGene00004371,,WBGene00004371,WBGene00004371,History: N.A.
WBGene00012341,,WBGene00012341,WBGene00012341,History: N.A.
WBGene00016836,,WBGene00016836,WBGene00016836,History: N.A.
WBGene00044077,,WBGene00044077,WBGene00044077,History: Renamed on 2019-07-15
WBGene00003622,,WBGene00003622,WBGene00003622,History: Renamed on 2015-03-05
WBGene00001016,,WBGene00001016,WBGene00001016,History: N.A.
WBGene00002245,,WBGene00002245,WBGene00002245,History: N.A.
WBGene00004208,,WBGene00004208,WBGene00004208,History: N.A.
WBGene00017967,,WBGene00017967,WBGene00017967,History: N.A.
WBGene00010259,,WBGene00010259,WBGene00010259,History: N.A.
WBGene00009065,,WBGene00009065,WBGene00009065,History: N.A.
WBGene00008361,,WBGene00008361,WBGene00008361,History: N.A.
WBGene00008006,,WBGene00008006,WBGene00008006,History: N.A.
WBGene00020263,,WBGene00020263,WBGene00020263,History: N.A.
WBGene00003060,,WBGene00003060,WBGene00003060,History: N.A.
WBGene00021681,,WBGene00021681,WBGene00021681,History: N.A.
WBGene00008878,,WBGene00008878,WBGene00008878,History: N.A.
WBGene00021810,,WBGene00021810,WBGene00021810,History: N.A.
WBGene00014243,,WBGene00014243,WBGene00014243,History: N.A.
WBGene00006941,,WBGene00006941,WBGene00006941,History: N.A.
WBGene00022059,,WBGene00022059,WBGene00022059,History: N.A.
WBGene00003410,,WBGene00003410,WBGene00003410,History: N.A.
WBGene00015418,,WBGene00015418,WBGene00015418,History: N.A.
WBGene00001563,,WBGene00001563,WBGene00001563,History: N.A.
WBGene00008555,,WBGene00008555,WBGene00008555,History: N.A.
WBGene00004076,,WBGene00004076,WBGene00004076,History: N.A.
WBGene00011980,,WBGene00011980,WBGene00011980,History: N.A.
WBGene00013095,,WBGene00013095,WBGene00013095,History: N.A.
WBGene00009285,,WBGene00009285,WBGene00009285,History: N.A.
WBGene00003905,,WBGene00003905,WBGene00003905,History: N.A.
WBGene00015677,,WBGene00015677,WBGene00015677,History: N.A.
WBGene00000383,,WBGene00000383,WBGene00000383,"History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
WBGene00010676,,WBGene00010676,WBGene00010676,History: N.A.
WBGene00007703,,WBGene00007703,WBGene00007703,History: Renamed on 2005-03-17
WBGene00021411,,WBGene00021411,WBGene00018975,"History: Merged into ""WBGene00018975"" on 2015-03-09; Merged into ""WBGene00018975"" on 2015-03-09"
WBGene00021282,,WBGene00021282,WBGene00021282,History: N.A.
WBGene00016326,,WBGene00016326,WBGene00016326,History: N.A.
WBGene00012982,,WBGene00012982,WBGene00012982,History: N.A.
WBGene00004510,,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004166,,WBGene00004166,WBGene00004166,History: Renamed on 2021-02-16; Renamed on 2021-03-11
WBGene00001571,,WBGene00001571,WBGene00001571,History: N.A.
WBGene00011604,,WBGene00011604,WBGene00011604,History: N.A.
WBGene00009365,,WBGene00009365,WBGene00009365,History: N.A.
WBGene00019712,,WBGene00019712,WBGene00019712,History: N.A.
WBGene00012769,,WBGene00012769,WBGene00012769,History: N.A.
WBGene00012802,,WBGene00012802,WBGene00012802,History: N.A.
WBGene00020403,,WBGene00020403,WBGene00020403,History: N.A.
WBGene00007042,,WBGene00007042,WBGene00007042,History: Renamed on 2007-08-01
WBGene00016889,,WBGene00016889,WBGene00016889,History: N.A.
WBGene00008710,,WBGene00008710,WBGene00008710,History: N.A.
WBGene00020684,,WBGene00020684,WBGene00020684,History: N.A.
WBGene00004095,,WBGene00004095,WBGene00004095,History: N.A.
WBGene00017261,,WBGene00017261,WBGene00017261,History: N.A.
WBGene00009587,,WBGene00009587,WBGene00009587,History: N.A.
WBGene00010013,,WBGene00010013,WBGene00010013,History: N.A.
WBGene00011323,,WBGene00011323,WBGene00011323,History: Renamed on 2013-10-16
WBGene00006943,,WBGene00006943,WBGene00006943,History: N.A.
WBGene00007463,,WBGene00007463,WBGene00007463,History: N.A.
WBGene00003794,,WBGene00003794,WBGene00003794,History: N.A.
WBGene00022603,,WBGene00022603,WBGene00022603,History: N.A.
WBGene00004179,,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00018512,,WBGene00018512,WBGene00018512,History: N.A.
WBGene00000274,,WBGene00000274,WBGene00000274,History: N.A.
WBGene00006988,,WBGene00006988,WBGene00006988,History: N.A.
WBGene00001049,,WBGene00001049,WBGene00001049,History: N.A.
WBGene00007030,,WBGene00007030,WBGene00007030,History: N.A.
WBGene00006440,,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00003559,,WBGene00003559,WBGene00003559,History: N.A.
WBGene00006405,,WBGene00006405,WBGene00006405,History: N.A.
WBGene00006571,,WBGene00006571,WBGene00006571,History: N.A.
WBGene00003034,,WBGene00003034,WBGene00003034,History: N.A.
WBGene00006383,,WBGene00006383,WBGene00006383,History: N.A.
WBGene00001085,,WBGene00001085,WBGene00001085,History: N.A.
WBGene00004508,,WBGene00004508,WBGene00004508,History: N.A.
WBGene00019766,,WBGene00019766,WBGene00019766,History: N.A.
WBGene00002889,,WBGene00002889,WBGene00002889,History: Renamed on 2010-04-09
WBGene00019087,,WBGene00019087,WBGene00019087,History: N.A.
WBGene00004343,,WBGene00004343,WBGene00004343,History: N.A.
WBGene00004239,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00016444,,WBGene00016444,WBGene00016444,History: N.A.
WBGene00008921,,WBGene00008921,WBGene00008921,History: N.A.
WBGene00004775,,WBGene00004775,WBGene00004775,History: Renamed on 2015-03-03
WBGene00009460,,WBGene00009460,WBGene00009460,History: Renamed on 2016-11-04
WBGene00009035,,WBGene00009035,WBGene00009035,History: N.A.
WBGene00013189,,WBGene00013189,WBGene00013189,History: N.A.
WBGene00010351,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00000226,,WBGene00000226,WBGene00000226,History: N.A.
WBGene00011146,,WBGene00011146,WBGene00011146,History: N.A.
WBGene00019877,,WBGene00019877,WBGene00019877,History: N.A.
WBGene00017951,,WBGene00017951,WBGene00017951,History: N.A.
WBGene00011729,,WBGene00011729,WBGene00011729,History: Renamed on 2007-05-03
WBGene00017031,,WBGene00017031,WBGene00017031,History: N.A.
WBGene00022203,,WBGene00022203,WBGene00022203,History: N.A.
WBGene00007009,,WBGene00007009,WBGene00007009,History: N.A.
WBGene00020284,,WBGene00020284,WBGene00020284,History: N.A.
WBGene00000499,,WBGene00000499,WBGene00000499,History: N.A.
WBGene00016405,,WBGene00016405,WBGene00016405,History: N.A.
WBGene00003002,,WBGene00003002,WBGene00003002,History: N.A.
WBGene00000227,,WBGene00000227,WBGene00000227,History: N.A.
WBGene00009368,,WBGene00009368,WBGene00009368,History: N.A.
WBGene00003789,,WBGene00003789,WBGene00003789,History: N.A.
WBGene00011240,,WBGene00011240,WBGene00011240,History: N.A.
WBGene00001833,,WBGene00001833,WBGene00001833,History: Renamed on 2015-03-05; Renamed on 2015-03-05
WBGene00004374,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00000508,,WBGene00000508,WBGene00000508,History: N.A.
WBGene00015504,,WBGene00015504,WBGene00015504,History: N.A.
WBGene00007028,,WBGene00007028,WBGene00007028,History: N.A.
WBGene00022257,,WBGene00022257,WBGene00022257,History: N.A.
WBGene00013591,,WBGene00013591,WBGene00013591,History: N.A.
WBGene00004782,,WBGene00004782,WBGene00004782,History: N.A.
WBGene00020035,,WBGene00020035,WBGene00020035,History: N.A.
WBGene00020652,,WBGene00020652,WBGene00020652,History: N.A.
WBGene00002368,,WBGene00002368,WBGene00002368,History: N.A.
WBGene00003133,,WBGene00003133,WBGene00003133,History: Renamed on 2022-01-03
WBGene00003210,,WBGene00003210,WBGene00003210,History: N.A.
WBGene00018900,,WBGene00018900,WBGene00018900,History: N.A.
WBGene00044789,,WBGene00044789,WBGene00044789,History: N.A.
WBGene00018898,,WBGene00018898,WBGene00018898,History: N.A.
WBGene00007788,,WBGene00007788,WBGene00007788,History: N.A.
WBGene00004187,,WBGene00004187,WBGene00004187,History: N.A.
WBGene00007966,,WBGene00007966,WBGene00007966,History: N.A.
WBGene00012360,,WBGene00012360,WBGene00012360,History: N.A.
WBGene00014151,,WBGene00014151,WBGene00014151,History: N.A.
WBGene00007789,,WBGene00007789,WBGene00007789,History: N.A.
WBGene00001829,,WBGene00001829,WBGene00001829,History: N.A.
WBGene00010621,,WBGene00010621,WBGene00010621,History: N.A.
WBGene00011333,,WBGene00011333,WBGene00011333,History: N.A.
WBGene00009113,,WBGene00009113,WBGene00009113,History: N.A.
WBGene00004952,,WBGene00004952,WBGene00004952,History: N.A.
WBGene00004737,,WBGene00004737,WBGene00004737,History: N.A.
WBGene00000962,,WBGene00000962,WBGene00000962,History: N.A.
WBGene00013156,,WBGene00013156,WBGene00013156,History: N.A.
WBGene00014208,,WBGene00014208,WBGene00014208,History: N.A.
WBGene00019600,,WBGene00019600,WBGene00019600,History: N.A.
WBGene00002229,,WBGene00002229,WBGene00002229,History: N.A.
WBGene00000123,,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00002225,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002228,,WBGene00002228,WBGene00002228,History: N.A.
WBGene00002226,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00009374,,WBGene00009374,WBGene00009374,History: N.A.
WBGene00007624,,WBGene00007624,WBGene00007624,History: Renamed on 2012-08-29
WBGene00022069,,WBGene00022069,WBGene00022069,History: N.A.
WBGene00002036,,WBGene00002036,WBGene00002036,History: N.A.
WBGene00017482,,WBGene00017482,WBGene00017482,History: N.A.
WBGene00002219,,WBGene00002219,WBGene00002219,History: N.A.
WBGene00045305,,WBGene00045305,WBGene00045305,History: N.A.
WBGene00016983,,WBGene00016983,WBGene00016983,History: N.A.
WBGene00015735,,WBGene00015735,WBGene00015735,History: Renamed on 2012-08-29
WBGene00007064,,WBGene00007064,WBGene00007064,History: N.A.
WBGene00017828,,WBGene00017828,WBGene00017828,History: N.A.
WBGene00004029,,WBGene00004029,WBGene00004029,History: N.A.
WBGene00016074,,WBGene00016074,WBGene00016074,History: N.A.
WBGene00017751,,WBGene00017751,WBGene00017751,History: N.A.
WBGene00020632,,WBGene00020632,WBGene00020632,History: N.A.
WBGene00012536,,WBGene00012536,WBGene00012536,History: N.A.
WBGene00009027,,WBGene00009027,WBGene00009027,History: N.A.
WBGene00007176,,WBGene00007176,WBGene00007176,History: N.A.
WBGene00012445,,WBGene00012445,WBGene00012445,History: N.A.
WBGene00000178,,WBGene00000178,WBGene00000178,History: N.A.
WBGene00001406,,WBGene00001406,WBGene00001406,"History: Split into F48F5.8(WBGene00303059). History of WBGene00001406: Split into ""WBGene00303059"" on 2018-03-02"
WBGene00001488,,WBGene00001488,WBGene00001488,History: N.A.
WBGene00012125,,WBGene00012125,WBGene00012125,History: N.A.
WBGene00008311,,WBGene00008311,WBGene00008311,History: N.A.
WBGene00003902,,WBGene00003902,WBGene00003902,History: N.A.
WBGene00013358,,WBGene00013358,WBGene00013358,History: N.A.
WBGene00016614,,WBGene00016614,WBGene00016614,"History: Split into C43H6.12(WBGene00303045). History of WBGene00016614: Split into ""WBGene00303045"" on 2018-03-02"
WBGene00006882,,WBGene00006882,WBGene00006882,History: N.A.
WBGene00007928,,WBGene00007928,WBGene00007928,History: N.A.
WBGene00010116,,WBGene00010116,WBGene00010116,History: N.A.
WBGene00020754,,WBGene00020754,WBGene00020754,History: N.A.
WBGene00003045,,WBGene00003045,WBGene00003045,History: N.A.
WBGene00004259,,WBGene00004259,WBGene00004259,History: N.A.
WBGene00016646,,WBGene00016646,WBGene00016646,"History: Split into fbxc-12(WBGene00045298). History of WBGene00016646: Split into ""WBGene00045298"" on 2007-02-28"
WBGene00017071,,WBGene00017071,WBGene00017071,History: N.A.
WBGene00013164,,WBGene00013164,WBGene00013164,History: N.A.
WBGene00012016,,WBGene00012016,WBGene00012016,History: N.A.
WBGene00004890,,WBGene00004890,WBGene00004890,History: N.A.
WBGene00019408,,WBGene00019408,WBGene00019408,History: N.A.
WBGene00020957,,WBGene00020957,WBGene00020957,"History: Split into W02H5.19(WBGene00302982). History of WBGene00020957: Split into ""WBGene00302982"" on 2018-03-06"
WBGene00010070,,WBGene00010070,WBGene00010070,History: N.A.
WBGene00022158,,WBGene00022158,WBGene00022158,"History: Split into Y71G12B.35(WBGene00185098). History of WBGene00022158: Split into ""WBGene00185098"" on 2009-03-13"
WBGene00011066,,WBGene00011066,WBGene00011066,History: N.A.
WBGene00012034,,WBGene00012034,WBGene00012034,History: N.A.
WBGene00021846,,WBGene00021846,WBGene00021846,History: N.A.
WBGene00008320,,WBGene00008320,WBGene00008320,History: N.A.
WBGene00020408,,WBGene00020408,WBGene00020408,History: N.A.
WBGene00008352,,WBGene00008352,WBGene00008352,History: N.A.
WBGene00043056,,WBGene00043056,WBGene00043056,History: N.A.
WBGene00019871,,WBGene00019871,WBGene00019871,History: N.A.
WBGene00016396,,WBGene00016396,WBGene00016396,History: N.A.
WBGene00012134,,WBGene00012134,WBGene00012134,History: N.A.
WBGene00009632,,WBGene00009632,WBGene00009632,History: N.A.
WBGene00021840,,WBGene00021840,WBGene00021840,History: N.A.
WBGene00050975,,WBGene00050975,WBGene00011794,"History: Merged into ""WBGene00011794"" on 2017-09-21"
WBGene00019733,,WBGene00019733,WBGene00019733,History: N.A.
WBGene00015642,,WBGene00015642,WBGene00015642,History: N.A.
WBGene00022386,,WBGene00022386,WBGene00022386,History: N.A.
WBGene00013695,,WBGene00013695,WBGene00013695,History: N.A.
WBGene00018878,,WBGene00018878,WBGene00018878,History: Renamed on 2019-05-20
WBGene00006436,,WBGene00006436,WBGene00006436,History: Renamed on 2005-12-13
WBGene00015988,,WBGene00015988,WBGene00015988,"History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
WBGene00019904,,WBGene00019904,WBGene00019904,History: N.A.
WBGene00015115,,WBGene00015115,WBGene00015115,History: N.A.
WBGene00012948,,WBGene00012948,WBGene00012948,History: N.A.
WBGene00008644,,WBGene00008644,WBGene00008644,History: N.A.
WBGene00006769,,WBGene00006769,WBGene00006769,History: N.A.
WBGene00003593,,WBGene00003593,WBGene00003593,History: N.A.
WBGene00006814,,WBGene00006814,WBGene00006814,History: N.A.
WBGene00015306,,WBGene00015306,WBGene00015306,History: N.A.
WBGene00020393,,WBGene00020393,WBGene00020393,History: N.A.
WBGene00008348,,WBGene00008348,WBGene00008348,History: N.A.
WBGene00013198,,WBGene00013198,WBGene00013198,History: N.A.
WBGene00010177,,WBGene00010177,WBGene00010177,"History: Split into T06E8.8(WBGene00303063). History of WBGene00010177: Split into ""WBGene00303063"" on 2018-03-02"
WBGene00004087,,WBGene00004087,WBGene00004087,History: N.A.
WBGene00013919,,WBGene00013919,WBGene00013919,History: N.A.
WBGene00000566,,WBGene00000566,WBGene00000566,History: N.A.
WBGene00001678,,WBGene00001678,WBGene00001678,History: N.A.
