gene_id,class,description,hrde-1 input,wago-1 input,HRDE-1 IP,WAGO-1 IP,HRDE-1 IP/input,WAGO-1 IP/input,IP Enrichment,Input,Suggested Match,History
Y71A12B.18,wago,,579.75,690.33,788.13,526.92,1.36,0.76,HRDE-1,Y71A12B.18,WBGene00045077,Public name for WBGene00045077. History: N.A.
WBTransposon00000094,wago,,514.45,603.22,700.18,438.8,1.36,0.73,HRDE-1,,,
K10E9.2,wago,,490.25,578.55,667.21,415.31,1.36,0.72,HRDE-1,K10E9.2,,Sequence name for Suppressed gene WBGene00019635. Molecular name for Suppressed gene WBGene00019635. Public name for Suppressed gene WBGene00019635. History of WBGene00019635: Killed on 2005-11-22; Suppressed on 2012-11-22. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000095,wago,,493.65,581.84,671.51,419.19,1.36,0.72,HRDE-1,,,
F21D5.5,csr,,26.11,33.78,35.41,24.16,1.36,0.72,HRDE-1,F21D5.5,WBGene00009010,Public name for WBGene00009010. History: N.A.
Y39B6A.43,csr,,35.11,46.65,47.61,31.11,1.36,0.67,HRDE-1,Y39B6A.43,WBGene00012701,Public name for WBGene00012701. History: N.A.
Y37D8A.16,wago,,60.16,71.12,81.9,27.55,1.36,0.39,HRDE-1,Y37D8A.16,WBGene00012554,Public name for WBGene00012554. History: N.A.
F08A8.5,wago,,46.09,52.5,62.58,20.51,1.36,0.39,HRDE-1,F08A8.5,WBGene00008568,Public name for WBGene00008568. History: Renamed on 2016-09-16
T28F2.4,wago,jmjc-1,839.06,969.94,1142.26,324.42,1.36,0.33,HRDE-1,T28F2.4,WBGene00020902,Sequence name for WBGene00020902(jmjc-1). History: N.A.
Y16B4A.2,wago,,203.52,242.08,276.58,62.81,1.36,0.26,HRDE-1,Y16B4A.2,WBGene00012445,Public name for WBGene00012445. History: N.A.
F30A10.8,wago,stn-1,23.3,28.2,31.42,103.44,1.35,3.67,HRDE-1/WAGO-1,F30A10.8,WBGene00006062,Sequence name for WBGene00006062(stn-1). History: N.A.
Y39E4B.9,wago,bre-2,13.75,18.39,18.58,42.8,1.35,2.33,HRDE-1/WAGO-1,Y39E4B.9,WBGene00000267,Sequence name for WBGene00000267(bre-2). History: N.A.
T24H5.1,wago,,48.03,63.88,64.63,139.74,1.35,2.19,HRDE-1/WAGO-1,T24H5.1,,Sequence name for Suppressed gene WBGene00020780. Molecular name for Suppressed gene WBGene00020780. Public name for Suppressed gene WBGene00020780. History of WBGene00020780: Suppressed on 2006-12-04. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000438,wago,,159.51,192.49,215.19,350.22,1.35,1.82,HRDE-1/WAGO-1,,,
H28G03.4,wago,,159.56,192.51,215.27,350.16,1.35,1.82,HRDE-1/WAGO-1,H28G03.4,,Sequence name for Suppressed gene WBGene00019252. Molecular name for Suppressed gene WBGene00019252. Public name for Suppressed gene WBGene00019252. History of WBGene00019252: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C36A4.4,csr,,16.47,19.61,22.28,34.84,1.35,1.78,HRDE-1/WAGO-1,C36A4.4,WBGene00007965,Public name for WBGene00007965. History: N.A.
Y43F4B.9,wago,,57.12,70.62,76.91,107.85,1.35,1.53,HRDE-1/WAGO-1,Y43F4B.9,WBGene00012806,"Sequence name for WBGene00012806(dph-7). History: Split into ""WBGene00045284"" on 2007-02-20"
Y65B4BR.1,wago,,8.95,11.11,12.08,15.92,1.35,1.43,HRDE-1/WAGO-1,Y65B4BR.1,WBGene00022040,Public name for WBGene00022040. History: N.A.
F38E9.3,wago,,111.73,137.74,150.67,193.01,1.35,1.4,HRDE-1/WAGO-1,F38E9.3,,Sequence name for Suppressed gene WBGene00018185. Molecular name for Suppressed gene WBGene00018185. Public name for Suppressed gene WBGene00018185. History of WBGene00018185: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y7A5A.6,wago,,72.97,91.37,98.68,118.6,1.35,1.3,HRDE-1/WAGO-1,Y7A5A.6,WBGene00012412,"Public name for WBGene00012412. History: Split into Y7A5A.25(WBGene00304824). History of WBGene00012412: Split into ""WBGene00304824"" on 2019-07-25"
T01C8.1,csr,aak-2,9.37,13.82,12.66,17.28,1.35,1.25,HRDE-1,T01C8.1,WBGene00020142,Sequence name for WBGene00020142(aak-2). History: N.A.
WBTransposon00000216,wago,,4897.32,5979.06,6603.07,7387.46,1.35,1.24,HRDE-1,,,
K06C4.1,wago,,77.93,96.47,105.31,107.31,1.35,1.11,HRDE-1,K06C4.1,WBGene00019442,"Public name for WBGene00019442. History: Split into K06C4.27(WBGene00271800). History of WBGene00019442: Split into ""WBGene00271800"" on 2017-09-21"
Y39A3CL.6,wago,pvf-1,265.51,318.1,358.73,351.13,1.35,1.1,HRDE-1,Y39A3CL.6,WBGene00004249,Sequence name for WBGene00004249(pvf-1). History: N.A.
F43C11.6,wago,,27.66,29.7,37.23,30.44,1.35,1.03,HRDE-1,F43C11.6,WBGene00018383,Public name for WBGene00018383. History: N.A.
K09B11.4,wago,,196.18,225.53,265.59,228.75,1.35,1.01,HRDE-1,K09B11.4,WBGene00010711,Public name for WBGene00010711. History: N.A.
F15D4.8,wago,flp-16,161.35,188.3,218.41,187.32,1.35,0.99,HRDE-1,F15D4.8,WBGene00001459,Sequence name for WBGene00001459(flp-16). History: N.A.
T09A5.7,wago,,58.82,80.73,79.47,79.54,1.35,0.99,HRDE-1,T09A5.7,WBGene00011635,Sequence name for WBGene00011635(mdmh-35). History: N.A.
H16D19.5,wago,,36.93,44.93,49.82,37.25,1.35,0.83,HRDE-1,H16D19.5,WBGene00195253,Public name for WBGene00195253. History: N.A.
Y38H6C.6,wago,,493.97,580.27,668.58,421.35,1.35,0.73,HRDE-1,Y38H6C.6,,Sequence name for Suppressed gene WBGene00012619. Molecular name for Suppressed gene WBGene00012619. Public name for Suppressed gene WBGene00012619. History of WBGene00012619: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F30F8.10,wago,,521.95,610.93,705.26,444.81,1.35,0.73,HRDE-1,F30F8.10,WBGene00009277,Public name for WBGene00009277. History: N.A.
WBTransposon00000096,wago,,502.28,587.84,677.22,430.63,1.35,0.73,HRDE-1,,,
WBTransposon00000092,wago,,505.7,591.62,681.24,431.99,1.35,0.73,HRDE-1,,,
WBTransposon00000093,wago,,504.93,594.72,681.95,424.19,1.35,0.71,HRDE-1,,,
T24D8.1,wago,lgc-40,73.31,83.86,99.06,53.72,1.35,0.64,HRDE-1,T24D8.1,WBGene00020767,Sequence name for WBGene00020767(lgc-40). History: N.A.
K05C4.8,wago,,79.62,89.15,107.2,50.61,1.35,0.57,HRDE-1,K05C4.8,WBGene00010584,Public name for WBGene00010584. History: N.A.
K02F2.6,wago,ser-3,55.01,56.83,74.0,19.43,1.35,0.34,HRDE-1,K02F2.6,WBGene00004778,Sequence name for WBGene00004778(ser-3). History: N.A.
R07E5.2,wago,prdx-3,26.53,36.17,35.64,136.49,1.34,3.77,HRDE-1/WAGO-1,R07E5.2,WBGene00011110,Sequence name for WBGene00011110(prdx-3). History: N.A.
F54F7.7,wago,,51.15,68.31,68.44,236.44,1.34,3.46,HRDE-1/WAGO-1,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
W09C5.12,wago,,2039.57,2578.73,2733.11,6859.02,1.34,2.66,HRDE-1/WAGO-1,W09C5.12,WBGene00194660,Public name for WBGene00194660. History: N.A.
R11G11.2,wago,nhr-58,63.76,75.74,85.22,185.91,1.34,2.45,HRDE-1/WAGO-1,R11G11.2,WBGene00003648,Sequence name for WBGene00003648(nhr-58). History: N.A.
T25G3.1,wago,,11.6,11.56,15.53,24.73,1.34,2.14,HRDE-1/WAGO-1,T25G3.1,WBGene00012029,Public name for WBGene00012029. History: N.A.
Y53F4B.2,wago,elo-9,21.12,24.91,28.3,52.41,1.34,2.1,HRDE-1/WAGO-1,Y53F4B.2,WBGene00001247,Sequence name for WBGene00001247(elo-9). History: N.A.
C53H9.3,wago,,16.83,21.7,22.59,42.8,1.34,1.97,HRDE-1/WAGO-1,C53H9.3,WBGene00044746,Public name for WBGene00044746. History: N.A.
Y63D3A.2,wago,fbxb-100,286.76,360.84,384.23,698.7,1.34,1.94,HRDE-1/WAGO-1,Y63D3A.2,WBGene00013403,Sequence name for WBGene00013403(fbxb-100). History: N.A.
C52D10.5,wago,,159.09,191.58,213.81,349.84,1.34,1.83,HRDE-1/WAGO-1,C52D10.5,,Sequence name for Suppressed gene WBGene00016878. Molecular name for Suppressed gene WBGene00016878. Public name for Suppressed gene WBGene00016878. History of WBGene00016878: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000440,wago,,161.3,193.42,215.88,353.84,1.34,1.83,HRDE-1/WAGO-1,,,
WBTransposon00000442,wago,,161.3,193.42,215.88,353.84,1.34,1.83,HRDE-1/WAGO-1,,,
WBTransposon00000439,wago,,161.35,193.44,215.88,353.83,1.34,1.83,HRDE-1/WAGO-1,,,
K03H6.3,wago,,161.12,192.95,215.46,353.63,1.34,1.83,HRDE-1/WAGO-1,K03H6.3,,Sequence name for Suppressed gene WBGene00043408. Molecular name for Suppressed gene WBGene00043408. Public name for Suppressed gene WBGene00043408. History of WBGene00043408: Killed on 2004-10-04; Resurrected on 2005-06-08; Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T14G12.1,wago,,161.12,192.95,215.46,353.63,1.34,1.83,HRDE-1/WAGO-1,T14G12.1,,Sequence name for Suppressed gene WBGene00020512. Molecular name for Suppressed gene WBGene00020512. Public name for Suppressed gene WBGene00020512. History of WBGene00020512: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W06G6.14,wago,,161.12,192.95,215.46,353.63,1.34,1.83,HRDE-1/WAGO-1,W06G6.14,,Sequence name for Suppressed gene WBGene00044334. Molecular name for Suppressed gene WBGene00044334. Public name for Suppressed gene WBGene00044334. History of WBGene00044334: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000435,wago,,159.27,192.05,214.22,350.05,1.34,1.82,HRDE-1/WAGO-1,,,
Y37H2A.9,wago,,16.09,24.5,21.51,44.55,1.34,1.82,HRDE-1/WAGO-1,Y37H2A.9,WBGene00012569,Sequence name for WBGene00012569(fbxc-46). History: N.A.
WBTransposon00000443,wago,,161.24,193.44,215.29,351.3,1.34,1.82,HRDE-1/WAGO-1,,,
T22B2.2,wago,,358.34,416.87,481.4,722.38,1.34,1.73,HRDE-1/WAGO-1,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
R05D3.8,wago,,74.94,103.44,100.24,170.58,1.34,1.65,HRDE-1/WAGO-1,R05D3.8,WBGene00019881,Public name for WBGene00019881. History: N.A.
F19C6.2,wago,,10.17,12.45,13.59,18.4,1.34,1.48,HRDE-1/WAGO-1,F19C6.2,WBGene00008951,Public name for WBGene00008951. History: N.A.
R119.5,wago,,13.05,14.18,17.47,20.72,1.34,1.46,HRDE-1/WAGO-1,R119.5,WBGene00020090,Public name for WBGene00020090. History: N.A.
C08C3.2,wago,bath-15,79.99,106.13,106.9,155.18,1.34,1.46,HRDE-1/WAGO-1,C08C3.2,WBGene00015590,Sequence name for WBGene00015590(bath-15). History: N.A.
K01A6.6,wago,,9.99,13.87,13.36,18.91,1.34,1.36,HRDE-1/WAGO-1,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
Y71A12B.2,wago,,72.98,86.11,97.43,101.61,1.34,1.18,HRDE-1,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
Y71A12B.3,wago,,72.98,86.11,97.43,101.61,1.34,1.18,HRDE-1,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
T25C8.1,wago,,15.02,18.08,20.08,21.14,1.34,1.17,HRDE-1,T25C8.1,WBGene00012017,Sequence name for WBGene00012017(shpk-1). History: Renamed on 2019-05-20
Y73B3B.1,csr,,10.43,10.94,13.93,12.79,1.34,1.17,HRDE-1,Y73B3B.1,WBGene00022223,Public name for WBGene00022223. History: N.A.
C49A1.8,wago,,10.11,11.51,13.53,13.2,1.34,1.15,HRDE-1,C49A1.8,,Sequence name for Suppressed gene WBGene00008189. Molecular name for Suppressed gene WBGene00008189. Public name for Suppressed gene WBGene00008189. History of WBGene00008189: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T09B9.4,wago,,29.98,38.41,40.06,42.6,1.34,1.11,HRDE-1,T09B9.4,WBGene00011645,Public name for WBGene00011645. History: N.A.
AC8.10,wago,,591.75,724.2,795.01,757.89,1.34,1.05,HRDE-1,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.3,wago,,591.75,724.2,795.01,757.89,1.34,1.05,HRDE-1,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
F56C3.6,wago,dgn-2,31.6,38.36,42.2,39.29,1.34,1.02,HRDE-1,F56C3.6,WBGene00018943,Sequence name for WBGene00018943(dgn-2). History: N.A.
Y51A2A.6,wago,,76.4,87.84,102.2,88.93,1.34,1.01,HRDE-1,Y51A2A.6,WBGene00013062,Public name for WBGene00013062. History: N.A.
T14G8.1,csr,chd-3,22.78,31.4,30.51,31.36,1.34,1.0,HRDE-1,T14G8.1,WBGene00000482,Sequence name for WBGene00000482(chd-3). History: N.A.
T14G8.1,wago,chd-3,22.78,31.4,30.51,31.36,1.34,1.0,HRDE-1,T14G8.1,WBGene00000482,Sequence name for WBGene00000482(chd-3). History: N.A.
Y50D7A.1,csr,,519.64,611.43,696.9,591.07,1.34,0.97,HRDE-1,Y50D7A.1,WBGene00021751,Public name for WBGene00021751. History: N.A.
Y50D7A.1,wago,,519.64,611.43,696.9,591.07,1.34,0.97,HRDE-1,Y50D7A.1,WBGene00021751,Public name for WBGene00021751. History: N.A.
F58D12.5,wago,,24.26,28.33,32.42,26.27,1.34,0.93,HRDE-1,F58D12.5,WBGene00050929,Public name for WBGene00050929. History: N.A.
T08G5.7,wago,,24.26,28.33,32.42,26.27,1.34,0.93,HRDE-1,T08G5.7,WBGene00011626,Public name for WBGene00011626. History: N.A.
ZK637.5,csr,asna-1,11.21,16.18,15.06,9.34,1.34,0.58,HRDE-1,ZK637.5,WBGene00014025,Sequence name for WBGene00014025(asna-1). History: Renamed on 2007-02-16
Y92H12A.2,wago,,438.53,493.3,589.06,223.89,1.34,0.45,HRDE-1,Y92H12A.2,WBGene00022358,Public name for WBGene00022358. History: N.A.
C47B2.8,wago,prx-11,34.2,37.63,45.85,5.66,1.34,0.15,HRDE-1,C47B2.8,WBGene00004196,Sequence name for WBGene00004196(prx-11). History: N.A.
K07A1.3,wago,,73.81,78.98,99.23,5.02,1.34,0.06,HRDE-1,K07A1.3,WBGene00010610,Public name for WBGene00010610. History: N.A.
Y106G6A.5,wago,,22.48,26.92,29.82,83.94,1.33,3.12,HRDE-1/WAGO-1,Y106G6A.5,WBGene00013697,Sequence name for WBGene00013697(dsbn-1). History: N.A.
R05C11.3,wago,mca-2,12.41,14.2,16.48,43.47,1.33,3.06,HRDE-1/WAGO-1,R05C11.3,WBGene00019875,Sequence name for WBGene00019875(mca-2). History: N.A.
C54G4.7,wago,,29.56,39.94,39.24,112.53,1.33,2.82,HRDE-1/WAGO-1,C54G4.7,WBGene00008317,Public name for WBGene00008317. History: N.A.
Y73E7A.3,wago,,10.19,13.29,13.51,35.69,1.33,2.69,HRDE-1/WAGO-1,Y73E7A.3,WBGene00022270,Public name for WBGene00022270. History: N.A.
T05A12.4,wago,,17.8,21.11,23.76,53.25,1.33,2.52,HRDE-1/WAGO-1,T05A12.4,WBGene00020235,Public name for WBGene00020235. History: N.A.
Y75B8A.31,wago,,23.71,29.52,31.55,59.81,1.33,2.03,HRDE-1/WAGO-1,Y75B8A.31,WBGene00013561,Public name for WBGene00013561. History: N.A.
C38D9.2,wago,,577.01,766.96,765.68,1450.61,1.33,1.89,HRDE-1/WAGO-1,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
Y38H8A.8,wago,,944.09,1194.42,1254.76,2108.07,1.33,1.76,HRDE-1/WAGO-1,Y38H8A.8,WBGene00045062,Public name for WBGene00045062. History: N.A.
WBTransposon00000441,wago,,140.68,168.87,187.07,288.41,1.33,1.71,HRDE-1/WAGO-1,,,
W04G5.1,wago,,140.5,168.38,186.66,288.19,1.33,1.71,HRDE-1/WAGO-1,W04G5.1,,Sequence name for Suppressed gene WBGene00012263. Molecular name for Suppressed gene WBGene00012263. Public name for Suppressed gene WBGene00012263. History of WBGene00012263: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y82E9BR.21,wago,,37.65,42.29,50.08,65.13,1.33,1.54,HRDE-1/WAGO-1,Y82E9BR.21,WBGene00022353,Sequence name for WBGene00022353(pals-18). History: N.A.
F32A11.1,csr,,20.29,25.04,26.95,29.01,1.33,1.16,HRDE-1,F32A11.1,WBGene00009307,Public name for WBGene00009307. History: N.A.
F36A4.8,wago,ttr-20,40.98,39.75,54.66,43.75,1.33,1.1,HRDE-1,F36A4.8,WBGene00018085,Sequence name for WBGene00018085(ttr-20). History: N.A.
T09F5.12,wago,,955.97,1173.28,1272.06,1235.25,1.33,1.05,HRDE-1,T09F5.12,WBGene00014836,Public name for WBGene00014836. History: N.A.
Y51A2A.14,wago,,77.37,88.81,103.21,89.8,1.33,1.01,HRDE-1,Y51A2A.14,WBGene00077646,Public name for WBGene00077646. History: N.A.
Y77E11A.8,wago,,21.74,26.4,29.0,22.72,1.33,0.86,HRDE-1,Y77E11A.8,WBGene00022311,Public name for WBGene00022311. History: N.A.
Y34B4A.8,csr,,10.62,13.87,14.13,10.74,1.33,0.77,HRDE-1,Y34B4A.8,WBGene00021324,Sequence name for WBGene00021324(rga-8). History: N.A.
F10G8.7,wago,ercc-1,108.2,126.67,144.12,87.35,1.33,0.69,HRDE-1,F10G8.7,WBGene00008665,Sequence name for WBGene00008665(ercc-1). History: N.A.
F43G6.4,wago,,77.14,88.86,102.65,53.93,1.33,0.61,HRDE-1,F43G6.4,WBGene00009657,Public name for WBGene00009657. History: N.A.
F18A11.5,wago,,111.65,136.37,148.35,67.57,1.33,0.5,HRDE-1,F18A11.5,WBGene00008932,Public name for WBGene00008932. History: N.A.
F22B7.9,wago,,48.28,52.7,64.15,21.08,1.33,0.4,HRDE-1,F22B7.9,WBGene00017698,Public name for WBGene00017698. History: N.A.
C40A11.7,wago,,63.76,73.91,84.56,18.98,1.33,0.26,HRDE-1,C40A11.7,WBGene00016550,Public name for WBGene00016550. History: N.A.
C31C9.4,wago,fbxa-168,27.98,31.81,37.3,5.78,1.33,0.18,HRDE-1,C31C9.4,WBGene00007838,"Sequence name for WBGene00007838(fbxa-168). History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
T28A8.7,wago,mlh-1,71.98,97.78,95.36,383.17,1.32,3.92,HRDE-1/WAGO-1,T28A8.7,WBGene00003373,Sequence name for WBGene00003373(mlh-1). History: N.A.
W03F11.5,wago,,8.08,9.16,10.7,22.79,1.32,2.49,HRDE-1/WAGO-1,W03F11.5,WBGene00021008,Public name for WBGene00021008. History: N.A.
C07D8.2,wago,,74.9,102.63,98.65,206.62,1.32,2.01,HRDE-1/WAGO-1,C07D8.2,WBGene00015562,Public name for WBGene00015562. History: N.A.
Y39G10AR.3,wago,nekl-1,34.53,39.28,45.69,77.55,1.32,1.97,HRDE-1/WAGO-1,Y39G10AR.3,WBGene00021461,Sequence name for WBGene00021461(nekl-1). History: N.A.
F20B4.6,wago,cgt-2,12.31,14.67,16.29,27.59,1.32,1.88,HRDE-1/WAGO-1,F20B4.6,WBGene00017625,Sequence name for WBGene00017625(cgt-2). History: N.A.
F16B4.5,wago,,122.5,160.1,161.99,298.54,1.32,1.86,HRDE-1/WAGO-1,F16B4.5,WBGene00017507,Public name for WBGene00017507. History: N.A.
WBTransposon00000444,wago,,159.2,191.82,210.78,349.89,1.32,1.82,HRDE-1/WAGO-1,,,
F33D4.1,wago,nhr-8,16.86,21.07,22.29,34.82,1.32,1.65,HRDE-1/WAGO-1,F33D4.1,WBGene00003607,Sequence name for WBGene00003607(nhr-8). History: N.A.
C24H12.12,wago,,84.86,103.46,111.96,148.85,1.32,1.44,HRDE-1/WAGO-1,C24H12.12,WBGene00044639,Public name for WBGene00044639. History: N.A.
R09H3.3,wago,,324.97,376.7,430.54,507.28,1.32,1.35,HRDE-1/WAGO-1,R09H3.3,WBGene00019991,Public name for WBGene00019991. History: N.A.
T21C12.1,wago,unc-49,145.78,171.47,192.68,219.48,1.32,1.28,HRDE-1,T21C12.1,WBGene00006784,Sequence name for WBGene00006784(unc-49). History: N.A.
F22B3.6,wago,,22.66,25.63,29.98,31.58,1.32,1.23,HRDE-1,F22B3.6,,Sequence name for Suppressed gene WBGene00009037. Molecular name for Suppressed gene WBGene00009037. Public name for Suppressed gene WBGene00009037. History of WBGene00009037: Killed on 2005-11-21; Suppressed on 2012-11-21. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T07C12.2,wago,,23.72,27.04,31.37,33.05,1.32,1.22,HRDE-1,T07C12.2,,Sequence name for Suppressed gene WBGene00011569. Molecular name for Suppressed gene WBGene00011569. Public name for Suppressed gene WBGene00011569. History of WBGene00011569: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C24A3.7,wago,,11.08,13.11,14.62,16.03,1.32,1.22,HRDE-1,C24A3.7,,Sequence name for Suppressed gene WBGene00016035. Molecular name for Suppressed gene WBGene00016035. Public name for Suppressed gene WBGene00016035. History of WBGene00016035: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
E03G2.2,wago,mrp-3,56.19,64.58,74.14,57.11,1.32,0.88,HRDE-1,E03G2.2,WBGene00003409,Sequence name for WBGene00003409(mrp-3). History: N.A.
T10G3.5,csr,eea-1,166.32,208.04,219.48,180.23,1.32,0.87,HRDE-1,T10G3.5,WBGene00011696,Sequence name for WBGene00011696(eea-1). History: N.A.
F59H6.5,wago,,17.08,18.7,22.63,14.82,1.32,0.79,HRDE-1,F59H6.5,,Sequence name for Suppressed gene WBGene00019136. Molecular name for Suppressed gene WBGene00019136. Public name for Suppressed gene WBGene00019136. History of WBGene00019136: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T23G5.6,wago,saeg-2,1704.55,1915.13,2241.89,1273.16,1.32,0.66,HRDE-1,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
K08F11.5,csr,,77.5,101.52,102.63,62.35,1.32,0.61,HRDE-1,K08F11.5,WBGene00019544,Sequence name for WBGene00019544(miro-1). History: N.A.
F54D10.3,wago,,118.47,130.29,156.38,52.07,1.32,0.4,HRDE-1,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
B0244.2,wago,ida-1,38.79,43.7,50.78,142.11,1.31,3.25,HRDE-1/WAGO-1,B0244.2,WBGene00002048,Sequence name for WBGene00002048(ida-1). History: N.A.
Y71G12B.5,wago,,15.41,18.61,20.26,59.75,1.31,3.21,HRDE-1/WAGO-1,Y71G12B.5,WBGene00022145,"Public name for WBGene00022145. History: Split into ""WBGene00219273"" on 2011-10-03"
Y37E3.17,wago,,50.12,65.39,65.5,184.71,1.31,2.82,HRDE-1/WAGO-1,Y37E3.17,WBGene00021355,Public name for WBGene00021355. History: N.A.
T25B9.8,wago,,16.24,20.66,21.27,57.22,1.31,2.77,HRDE-1/WAGO-1,T25B9.8,WBGene00012014,Public name for WBGene00012014. History: N.A.
K10F12.3,wago,pll-1,835.02,989.65,1090.66,1922.38,1.31,1.94,HRDE-1/WAGO-1,K10F12.3,WBGene00004045,Sequence name for WBGene00004045(pll-1). History: N.A.
F09E5.14,wago,,10.39,10.91,13.64,19.05,1.31,1.75,HRDE-1/WAGO-1,F09E5.14,WBGene00017291,Public name for WBGene00017291. History: N.A.
Y53C10A.1,wago,,150.5,201.07,197.18,339.04,1.31,1.69,HRDE-1/WAGO-1,Y53C10A.1,WBGene00014915,Public name for WBGene00014915. History: N.A.
C16C10.5,wago,rnf-121,31.47,43.27,41.18,70.26,1.31,1.62,HRDE-1/WAGO-1,C16C10.5,WBGene00007626,Sequence name for WBGene00007626(rnf-121). History: N.A.
Y48G1BM.4,wago,,288.93,354.25,377.17,563.25,1.31,1.59,HRDE-1/WAGO-1,Y48G1BM.4,,Sequence name for Suppressed gene WBGene00021669. Molecular name for Suppressed gene WBGene00021669. Public name for Suppressed gene WBGene00021669. History of WBGene00021669: Suppressed on 2006-12-04. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C30F12.4,wago,,14.1,19.8,18.4,30.83,1.31,1.56,HRDE-1/WAGO-1,C30F12.4,WBGene00016263,Public name for WBGene00016263. History: N.A.
B0348.4,wago,egl-8,46.78,54.43,61.47,81.01,1.31,1.49,HRDE-1/WAGO-1,B0348.4,WBGene00001177,Sequence name for WBGene00001177(egl-8). History: N.A.
W06B3.1,wago,,13.39,18.92,17.55,27.72,1.31,1.47,HRDE-1/WAGO-1,W06B3.1,WBGene00012295,Sequence name for WBGene00012295(nmat-1). History: N.A.
F37B12.3,wago,,31.4,41.47,41.07,60.45,1.31,1.46,HRDE-1/WAGO-1,F37B12.3,WBGene00009505,Public name for WBGene00009505. History: N.A.
T11F9.10,wago,,704.56,818.41,924.15,1181.67,1.31,1.44,HRDE-1/WAGO-1,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
K06A5.8,wago,,97.9,105.79,128.43,148.57,1.31,1.4,HRDE-1/WAGO-1,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
