Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Fold change at gen 50,adjusted P value,Input,Suggested Match,History
K06C4.12,his-22,yes,16.49,17.81,16.58,71.48,161.47,175.07,8.04,4.58e-12,K06C4.12,WBGene00001896,Sequence name for WBGene00001896(his-22). History: N.A.
K06C4.13,his-27,yes,7.54,8.31,6.14,61.73,112.2,86.58,11.85,8.67e-20,K06C4.13,WBGene00001901,Sequence name for WBGene00001901(his-27). History: N.A.
K06C4.3,his-21,yes,9.89,11.28,10.44,940.05,679.61,547.09,68.69,1.11e-79,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
K06C4.4,his-20,yes,16.49,17.81,16.58,71.48,161.47,175.07,8.04,4.58e-12,K06C4.4,WBGene00001894,Sequence name for WBGene00001894(his-20). History: N.A.
K06C4.5,his-17,yes,7.54,8.31,6.14,61.73,112.2,86.58,11.85,8.67e-20,K06C4.5,WBGene00001891,Sequence name for WBGene00001891(his-17). History: N.A.
K07E8.7,K07E8.7,yes,75.36,71.85,65.7,943.3,395.91,81.83,6.67,3.03e-05,K07E8.7,WBGene00019498,Public name for WBGene00019498. History: N.A.
K08A2.4,lido-7,yes,67.36,35.63,47.28,1301.77,214.37,9890.46,75.88,4.42e-09,K08A2.4,WBGene00019513,Sequence name for WBGene00019513(lido-7). History: N.A.
K08D10.5,K08D10.5,yes,3.3,0.59,0,77.98,75.72,23.79,43.21,6.18e-07,K08D10.5,WBGene00019529,Public name for WBGene00019529. History: N.A.
K08D12.6,K08D12.6,yes,13.66,12.47,12.28,530.67,403.21,1118.92,53.37,7.13e-37,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
K08D9.5,K08D9.5,yes,7.07,6.53,6.14,81.23,89.4,78.02,12.55,5.639999999999999e-24,K08D9.5,WBGene00019526,Public name for WBGene00019526. History: N.A.
K09F6.5,K09F6.5,yes,9.42,7.72,7.37,386.63,692.38,362.51,58.49,3.38e-49,K09F6.5,WBGene00019588,Public name for WBGene00019588. History: N.A.
K10F12.4,gsto-3,yes,54.17,51.66,44.21,946.55,6667.5,297.81,52.73,1.06e-07,K10F12.4,WBGene00019636,Sequence name for WBGene00019636(gsto-3). History: N.A.
K10F12.7,K10F12.7,yes,0.94,1.78,0.61,4.33,21.89,4.76,9.35,0.0224,K10F12.7,WBGene00019639,Public name for WBGene00019639. History: N.A.
K10G6.3,sea-2,yes,118.7,159.73,184.21,1977.57,61138.69,56933.63,259.53,1.02e-19,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
K11D2.1,K11D2.1,yes,79.6,45.72,76.75,6780.71,5514.44,6712.57,93.85,4.37e-164,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
K11D2.2,asah-1,yes,92.79,112.22,89.65,4125.17,4209.95,5685.94,47.61,5.65e-170,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
M01E10.2,dpy-1,yes,2.36,3.56,5.53,3344.33,116.77,19.03,304.74,1.27e-05,M01E10.2,WBGene00001063,"Sequence name for WBGene00001063(dpy-1). History: N.A.. Public name for Dead gene WBGene00019708. History of WBGene00019708: Merged into ""WBGene00001063"" on 2006-12-15. Remark: [140610 pad] Gene was missing Merged_into Event history data so inferred from Merged_into tag."
M02B7.3,osm-3,yes,1912.8,1951.14,2219.71,10433.69,10292.71,15636.34,5.98,2.79e-18,M02B7.3,WBGene00003884,Sequence name for WBGene00003884(osm-3). History: N.A.
R02F2.1,R02F2.1,yes,18.37,22.56,26.4,167.87,1042.68,666.98,27.95,7.26e-21,R02F2.1,WBGene00019831,Public name for WBGene00019831. History: N.A.
R03D7.2,R03D7.2,yes,60.29,106.29,89.65,15756.67,18157.97,20359.4,212.38,1.27e-176,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
R06C1.4,R06C1.4,yes,130,216.13,134.47,3648.65,3732.85,4607.93,24.97,1e-92,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
R07B5.9,lsy-12,yes,161.56,164.48,143.68,13807.26,17401.73,11299.57,90.46,3.17e-279,R07B5.9,WBGene00045419,"Sequence name for WBGene00045419(lsy-12). History: Renamed on 2010-05-21. Public name for Dead gene WBGene00011086. History of WBGene00011086: Merged into ""WBGene00045419"" on 2008-04-09"
R10F2.6,R10F2.6,yes,56.52,49.28,47.28,1673.25,7701.06,39.01,61.49,2.21e-05,R10F2.6,WBGene00019997,Public name for WBGene00019997. History: N.A.
T04D3.8,T04D3.8,yes,2.83,1.19,3.07,3.25,6.39,40.91,7.13,0.00948,T04D3.8,WBGene00011435,Public name for WBGene00011435. History: N.A.
T06A4.3,T06A4.3,yes,2.36,4.16,3.68,8.66,29.19,15.22,5.27,0.00529,T06A4.3,WBGene00020283,Public name for WBGene00020283. History: N.A.
T07C4.9,nex-2,yes,3.3,11.88,28.25,20970.27,20196.81,21920.75,1475.05,1.16e-107,T07C4.9,WBGene00003589,Sequence name for WBGene00003589(nex-2). History: N.A.
T08B2.11,T08B2.11,yes,102.68,121.72,132.63,62.81,4458.08,181.73,13.17,0.00375,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08D2.6,T08D2.6,yes,2.36,1.19,2.46,23.83,10.95,14.27,8.07,8.41e-05,T08D2.6,WBGene00011611,Public name for WBGene00011611. History: N.A.
T10C6.11,his-4,yes,23.08,26.13,25.18,114.8,350.3,362.51,11.14,2.15e-13,T10C6.11,WBGene00001878,Sequence name for WBGene00001878(his-4). History: N.A.
T10C6.12,his-3,yes,11.78,11.88,9.21,906.48,754.42,654.61,70.1,3.2e-108,T10C6.12,WBGene00001877,Sequence name for WBGene00001877(his-3). History: N.A.
T10C6.13,his-2,yes,10.36,12.47,9.82,71.48,109.47,94.19,8.46,6.18e-23,T10C6.13,WBGene00001876,Sequence name for WBGene00001876(his-2). History: N.A.
T11F9.11,dhs-19,yes,8.01,8.31,9.82,35.74,95.78,42.82,6.7,8.59e-07,T11F9.11,WBGene00000982,Sequence name for WBGene00000982(dhs-19). History: N.A.
T12D8.10,T12D8.10,yes,2.83,2.97,3.07,63.9,394.08,2488.08,332.59,2.35e-14,T12D8.10,WBGene00023450,Public name for WBGene00023450. History: N.A.
T13F3.7,T13F3.7,yes,1.88,2.97,2.46,50.9,16.42,68.51,18.71,1.15e-07,T13F3.7,WBGene00011754,Public name for WBGene00011754. History: N.A.
T16G12.3,T16G12.3,yes,70.65,87.28,87.19,5987.95,6606.38,6450.92,77.95,0,T16G12.3,WBGene00011804,Public name for WBGene00011804. History: N.A.
T16G12.4,T16G12.4,yes,677.32,796.84,924.11,92.06,61.12,174.12,-7.33,4.18e-13,T16G12.4,WBGene00011805,Public name for WBGene00011805. History: N.A.
T16H12.2,T16H12.2,yes,390,546.87,390.52,2965.27,4147.92,3220.7,7.79,2.28e-37,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
T19B4.3,T19B4.3,yes,4.24,5.34,3.68,32.49,37.4,64.7,10.17,6.93e-12,T19B4.3,WBGene00020557,Public name for WBGene00020557. History: N.A.
T20H12.1,T20H12.1,yes,82.43,74.22,81.05,135.38,931.39,463.36,6.44,1.19e-05,T20H12.1,WBGene00004751,"Public name for Dead gene WBGene00020643. History of WBGene00020643: Merged into ""WBGene00004751"" on 2014-11-13"
T23D8.6,his-68,yes,9.89,17.81,14.74,2641.45,1302.67,1147.46,120.7,1.68e-58,T23D8.6,WBGene00001942,Sequence name for WBGene00001942(his-68). History: N.A.
T24A6.16,T24A6.16,yes,14.6,21.38,17.81,414.79,134.1,27.59,10.72,0.000205,T24A6.16,WBGene00020753,Public name for WBGene00020753. History: N.A.
T27A3.3,ssp-16,yes,1.41,0,0,22.74,24.63,7.61,34.38,1.2e-05,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T27F6.2,clec-12,yes,46.63,58.78,51.58,371.47,471.62,443.38,8.22,9.33e-52,T27F6.2,WBGene00012103,Sequence name for WBGene00012103(clec-12). History: N.A.
T28B8.1,T28B8.1,yes,0.94,5.34,10.44,7622.2,7057.03,11740.1,1639.82,4.62e-114,T28B8.1,WBGene00012113,Public name for WBGene00012113. History: N.A.
T28D6.4,T28D6.4,yes,721.6,681.65,717.8,3792.69,3714.61,3537.54,5.21,4.61e-148,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
T28H11.5,ssq-2,yes,0,0,0,9.75,17.33,7.61,113.44,2.95e-06,T28H11.5,WBGene00006051,Sequence name for WBGene00006051(ssq-2). History: N.A.
VF13D12L.1,inos-1,yes,416.85,372.89,413.24,41257.16,39783.34,40350.59,100.89,0,VF13D12L.1,WBGene00012148,Sequence name for WBGene00012148(inos-1). History: N.A.
W02A11.5,bath-34,yes,47.57,45.13,57.72,716.95,1760.61,792.57,21.76,6.34e-30,W02A11.5,WBGene00012195,Sequence name for WBGene00012195(bath-34). History: N.A.
W02A11.8,bath-35,yes,42.39,40.38,34.39,242.59,300.12,347.28,7.58,6.1e-34,W02A11.8,WBGene00012196,Sequence name for WBGene00012196(bath-35). History: N.A.
W02B3.6,W02B3.6,yes,0.47,0.59,0,18.41,8.21,37.11,58.3,7.82e-05,W02B3.6,,Public name for Dead gene WBGene00020926. History of WBGene00020926: Killed on 2012-12-20. Remark: lack of evidence
W02B8.2,W02B8.2,yes,631.63,657.31,660.08,43.32,42.87,45.67,-14.78,2.97e-15,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
W02H5.2,W02H5.2,yes,6.12,4.75,3.07,49.82,143.22,210.27,28.65,8.97e-15,W02H5.2,WBGene00020957,"Public name for WBGene00020957. History: Split into W02H5.19(WBGene00302982). History of WBGene00020957: Split into ""WBGene00302982"" on 2018-03-06"
W03A5.1,W03A5.1,yes,2.36,1.78,0.61,10.83,13.68,13.32,7.73,5.43e-05,W03A5.1,WBGene00020966,Public name for WBGene00020966. History: N.A.
W04A8.2,W04A8.2,yes,1141.74,1354.4,932.71,7655.78,16788.71,8319.59,9.56,5.83e-16,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
W04B5.3,W04B5.3,yes,55.58,27.31,40.53,9621.44,7231.26,7983.72,200.01,5.54e-176,W04B5.3,WBGene00021020,Public name for WBGene00021020. History: N.A.
W04C9.1,haf-4,yes,1237.83,987.45,1322,5164.86,5527.21,8675.44,5.46,4.89e-22,W04C9.1,WBGene00001814,Sequence name for WBGene00001814(haf-4). History: N.A.
W05F2.4,W05F2.4,yes,507.76,475.61,438.42,11212.37,11534.26,13944.64,25.8,1.0099999999999999e-220,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
W09B7.2,W09B7.2,yes,682.03,894.22,873.76,7133.77,7865.26,10330.98,10.34,2.28e-58,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
W09D6.4,W09D6.4,yes,1.41,0.59,1.23,15.16,10.03,7.61,9.9,0.000111,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
Y105E8A.11,Y105E8A.11,yes,3.77,5.34,4.3,16.25,15.51,17.13,3.67,0.00106,Y105E8A.11,WBGene00013671,Public name for WBGene00013671. History: N.A.
Y110A2AM.1,Y110A2AM.1,yes,6.59,3.56,4.91,7.58,63.86,84.68,10.32,2.96e-05,Y110A2AM.1,WBGene00006710,"Public name for Dead gene WBGene00022449. History of WBGene00022449: Merged into ""WBGene00006710"" on 2017-03-03"
Y110A2AM.3,ubc-26,yes,89.96,83.72,95.79,2639.29,2993.94,2100.83,28.71,7.6e-161,Y110A2AM.3,WBGene00022450,Sequence name for WBGene00022450(ubc-26). History: N.A.
Y110A7A.3,unc-63,yes,12.25,10.69,9.82,18.41,32.84,23.79,2.29,0.00497,Y110A7A.3,WBGene00006797,Sequence name for WBGene00006797(unc-63). History: N.A.
Y111B2A.4,sql-1,yes,138.48,147.26,144.91,1502.13,1131.17,1690.75,10.04,1.33e-75,Y111B2A.4,WBGene00013730,Sequence name for WBGene00013730(sql-1). History: N.A.
Y113G7B.17,prmt-1,yes,44.75,52.85,49.74,409.38,634,504.28,10.54,6.33e-63,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
Y119D3B.11,orc-3,yes,47.57,44.53,39.91,108.3,113.12,130.35,2.66,3.03e-10,Y119D3B.11,WBGene00022488,Sequence name for WBGene00022488(orc-3). History: N.A.
Y16E11A.2,Y16E11A.2,yes,5.18,4.16,4.3,64.98,47.44,55.18,12.18,1.68e-15,Y16E11A.2,,Sequence name for Suppressed gene WBGene00021194. Molecular name for Suppressed gene WBGene00021194. Public name for Suppressed gene WBGene00021194. History of WBGene00021194: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y17G9B.1,npp-26,yes,10.83,11.28,20.88,390.97,432.4,318.74,26.86,4.55e-52,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
Y19D10A.4,Y19D10A.4,yes,142.25,132.41,138.16,2010.06,3.65,2408.15,10.71,0.00438,Y19D10A.4,WBGene00021219,Public name for WBGene00021219. History: N.A.
Y20F4.2,crtc-1,yes,32.97,46.31,14.12,7335.21,5087.52,8015.12,218.52,6.63e-66,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
Y20F4.4,Y20F4.4,yes,1401.27,1504.62,1463.23,350.89,24520.79,15878.01,9.33,0.00193,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
Y23H5A.2,Y23H5A.2,yes,122.46,99.16,155.96,30648.02,26604.33,29549.58,230.03,0,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
Y23H5B.1,Y23H5B.1,yes,1.41,1.19,1.23,13,10.03,17.13,10.43,0.000218,Y23H5B.1,WBGene00021272,"Public name for WBGene00021272. History: Split into Y23H5B.12(WBGene00194701). History of WBGene00021272: Split into ""WBGene00194701"" on 2009-07-23"
Y24D9B.1,Y24D9B.1,yes,1.88,0.59,1.84,14.08,14.6,5.71,7.83,0.00033,Y24D9B.1,WBGene00021287,Public name for WBGene00021287. History: N.A.
Y34F4.5,Y34F4.5,yes,109.28,72.44,100.7,4959.09,5186.95,6704.01,59.56,1.31e-155,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
Y37D8A.6,Y37D8A.6,yes,504.46,493.43,581.48,4548.63,4016.56,3818.22,7.84,3.04e-84,Y37D8A.6,WBGene00012548,Public name for WBGene00012548. History: N.A.
Y37E11AR.3,nape-2,yes,3.3,4.16,4.3,20.58,86.66,8.56,9.9,0.00115,Y37E11AR.3,WBGene00021370,Sequence name for WBGene00021370(nape-2). History: N.A.
Y39A3CL.2,rimb-1,yes,344.31,387.73,356.75,15587.72,7982.94,9123.58,30.03,6.93e-64,Y39A3CL.2,WBGene00006513,Sequence name for WBGene00006513(rimb-1). History: N.A.
Y39B6A.11,dyf-17,yes,22.14,22.56,57.72,5134.54,4556.6,6156.92,155.61,3.23e-90,Y39B6A.11,WBGene00012673,Sequence name for WBGene00012673(dyf-17). History: N.A.
Y39B6A.46,ztf-20,yes,38.62,38.6,31.32,206.85,2884.48,2352.97,50.15,3.75e-14,Y39B6A.46,WBGene00012702,Sequence name for WBGene00012702(ztf-20). History: N.A.
Y43F8C.13,Y43F8C.13,yes,2.36,2.38,1.84,17.33,75.72,10.47,15.74,0.000119,Y43F8C.13,WBGene00012834,Public name for WBGene00012834. History: N.A.
Y44E3A.1,Y44E3A.1,yes,176.63,50.47,186.66,3.25,0,0,-132.65,6.07e-05,Y44E3A.1,WBGene00021547,Public name for WBGene00021547. History: N.A.
Y45G12B.3,Y45G12B.3,yes,63.12,66.5,101.31,17149.42,14228.08,16631.57,208.68,0,Y45G12B.3,WBGene00021564,Public name for WBGene00021564. History: N.A.
Y47D3A.13,Y47D3A.13,yes,0.94,0,0,25.99,11.86,6.66,40.88,3.7e-05,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
Y48A6C.5,pha-1,yes,20.72,29.69,30.7,9.75,8.21,7.61,-3.17,0.00169,Y48A6C.5,WBGene00004010,Sequence name for WBGene00004010(pha-1). History: N.A.
Y49E10.6,his-72,yes,21.2,23.16,26.4,145.12,298.3,200.76,9.14,7.89e-25,Y49E10.6,WBGene00001946,Sequence name for WBGene00001946(his-72). History: N.A.
Y49F6B.10,col-71,yes,1433.3,1567.56,1733.4,7711.01,5106.67,7601.24,4.31,2.18e-25,Y49F6B.10,WBGene00000647,Sequence name for WBGene00000647(col-71). History: N.A.
Y49F6C.6,Y49F6C.6,yes,4.71,5.94,5.53,19.49,10.03,19.03,3,0.0188,Y49F6C.6,WBGene00021728,Public name for WBGene00021728. History: N.A.
Y51F10.3,Y51F10.3,yes,13.19,10.09,17.81,64.98,133.19,34.25,5.67,1.76e-05,Y51F10.3,WBGene00021764,Public name for WBGene00021764. History: N.A.
Y51H4A.13,Y51H4A.13,yes,4.24,2.38,1.84,14.08,20.07,4.76,4.52,0.00563,Y51H4A.13,WBGene00013107,Public name for WBGene00013107. History: N.A.
Y52B11A.4,Y52B11A.4,yes,1.88,1.78,1.23,21.66,22.81,17.13,12.46,1.08e-06,Y52B11A.4,WBGene00013124,Public name for WBGene00013124. History: N.A.
Y53C10A.2,hsf-2,yes,1.41,2.38,3.68,224.18,360.33,457.65,143.62,5.78e-40,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y53C10A.3,hsf-2,yes,1.88,0.59,4.91,1102.5,1110.19,1292.09,487.11,5.469999999999999e-89,Y53C10A.3,WBGene00013134,Sequence name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.
Y53F4B.25,Y53F4B.25,yes,5.18,6.53,8.6,60.65,36.49,86.58,9.11,1.69e-09,Y53F4B.25,WBGene00013171,Public name for WBGene00013171. History: N.A.
Y53F4B.26,Y53F4B.26,yes,0.47,1.19,0.61,63.9,45.61,52.33,72.92,3.58e-13,Y53F4B.26,WBGene00013172,Public name for WBGene00013172. History: N.A.
Y53F4B.43,Y53F4B.43,yes,32.03,38,32.54,850.16,852.94,1054.22,26.94,1.33e-124,Y53F4B.43,WBGene00044726,Public name for WBGene00044726. History: N.A.
Y53F4B.7,Y53F4B.7,yes,0.94,1.19,2.46,136.46,100.35,109.42,77.9,1.98e-25,Y53F4B.7,WBGene00013154,Public name for WBGene00013154. History: N.A.
Y53G8AM.8,Y53G8AM.8,yes,335.83,320.04,348.77,8677.05,5911.26,15569.74,30.02,6.94e-50,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
Y54E5A.8,Y54E5A.8,yes,43.33,73.63,50.35,3125.56,2453.9,4168.36,58.38,5.700000000000001e-79,Y54E5A.8,WBGene00013203,Public name for WBGene00013203. History: N.A.
Y54F10AM.4,ceh-44,yes,43.33,52.25,52.19,18716.53,33821,23784.67,517.32,3.919999999999999e-207,Y54F10AM.4,WBGene00000464,"Sequence name for WBGene00000464(ceh-44). History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
Y54G2A.11,Y54G2A.11,yes,19.31,21.97,14.74,10917.8,8770.2,44.72,352.2,3.3e-11,Y54G2A.11,WBGene00021876,Public name for WBGene00021876. History: N.A.
Y55F3AM.11,Y55F3AM.11,yes,15.54,16.03,17.19,7.58,2447.52,2241.65,96.33,1.25e-09,Y55F3AM.11,WBGene00021928,Public name for WBGene00021928. History: N.A.
Y55F3AM.14,znf-782,yes,1522.79,1455.93,1608.14,6320.43,6481.41,5835.32,4.06,7.68e-67,Y55F3AM.14,WBGene00021931,Sequence name for WBGene00021931(znf-782). History: N.A.
Y55F3BR.2,Y55F3BR.2,yes,464.42,416.83,446.4,17278.3,13293.95,20095.85,38.16,2.49e-135,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y56A3A.19,Y56A3A.19,yes,12.72,13.66,19.65,324.9,253.6,339.67,20.12,2.03e-57,Y56A3A.19,WBGene00013237,Public name for WBGene00013237. History: N.A.
Y56A3A.3,mif-1,yes,9.42,11.28,15.96,4316.87,3086.99,4984.71,341.41,3.03e-157,Y56A3A.3,WBGene00003234,Sequence name for WBGene00003234(mif-1). History: N.A.
Y57A10B.4,sre-42,yes,0.47,3.56,4.3,20.58,83.93,36.16,17.26,2.95e-05,Y57A10B.4,WBGene00013276,Sequence name for WBGene00013276(sre-42). History: N.A.
Y57G11A.2,Y57G11A.2,yes,0.94,0.59,0,17.33,22.81,5.71,28.45,0.000369,Y57G11A.2,WBGene00013290,Public name for WBGene00013290. History: N.A.
Y57G11C.1130,Y57G11C.1130,yes,1.88,0.59,0.61,23.83,13.68,3.81,12.84,0.00109,Y57G11C.1130,WBGene00194649,Public name for WBGene00194649. History: N.A.
Y57G11C.51,Y57G11C.51,yes,700.4,740.44,701.83,5600.23,6805.25,6788.69,8.96,1.5299999999999999e-68,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y57G11C.8,Y57G11C.8,yes,1.88,1.78,1.84,19.49,9.12,3.81,5.84,0.0167,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
Y59A8B.11,fbxa-106,yes,84.78,98.57,89.03,397.46,2145.57,1368.2,14.36,1.43e-13,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
Y60A3A.7,abhd-3.1,yes,3.3,7.72,9.82,5180.02,4897.77,6071.28,798.09,2.1600000000000003e-165,Y60A3A.7,WBGene00013358,Sequence name for WBGene00013358(abhd-3.1). History: N.A.
Y65B4BR.3,ptr-21,yes,12.25,13.06,9.82,18.41,6.39,322.55,9.89,0.005,Y65B4BR.3,WBGene00004235,Sequence name for WBGene00004235(ptr-21). History: N.A.
Y66D12A.14,nrps-1,yes,328.77,440.58,422.45,5367.38,1860.95,5558.45,10.73,1.65e-18,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
Y67D8A.3,dmd-9,yes,29.2,14.84,23.95,3491.62,2926.44,19.03,94.61,2.97e-09,Y67D8A.3,WBGene00022060,Sequence name for WBGene00022060(dmd-9). History: N.A.
Y69A2AR.31,Y69A2AR.31,yes,1075.33,931.04,1015.6,9843.45,7087.13,8649.75,8.46,3.57e-76,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
Y71A12B.4,trp-4,yes,770.58,727.37,754.64,8104.14,6726.8,10255.82,11.14,4.54e-68,Y71A12B.4,WBGene00006616,Sequence name for WBGene00006616(trp-4). History: N.A.
Y71F9AL.5,gst-43,yes,43.33,35.63,40.53,4223.73,3681.77,3789.68,97.53,0,Y71F9AL.5,WBGene00001791,Sequence name for WBGene00001791(gst-43). History: N.A.
Y71G12B.22,Y71G12B.22,yes,8.95,7.13,7.37,45.49,72.07,43.77,6.86,8.8e-10,Y71G12B.22,WBGene00022157,Public name for WBGene00022157. History: N.A.
Y71G12B.9,lin-65,yes,187.94,171.6,188.51,3331.33,2816.97,3734.49,18.02,4.54e-208,Y71G12B.9,WBGene00022149,Sequence name for WBGene00022149(lin-65). History: N.A.
Y71H2AL.1,pbo-1,yes,558.15,586.65,688.94,941.13,2867.14,3595.58,4.04,2.78e-05,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
Y71H2AL.2,Y71H2AL.2,yes,145.07,97.38,141.23,1.08,3.65,2.85,-49.33,1.16e-19,Y71H2AL.2,WBGene00022165,"Public name for WBGene00022165. History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
Y71H2AM.16,pho-9,yes,189.35,175.76,232.72,12250.98,10837.31,12450.84,59.5,4.74e-301,Y71H2AM.16,WBGene00022181,Sequence name for WBGene00022181(pho-9). History: N.A.
Y73B3A.5,elk-2,yes,97.97,114,104.38,524.18,540.95,509.98,4.99,4.250000000000001e-59,Y73B3A.5,WBGene00022207,Sequence name for WBGene00022207(elk-2). History: N.A.
Y73F8A.32,Y73F8A.32,yes,6.12,14.25,9.82,71.48,122.24,99.9,9.84,1.04e-13,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
Y75B8A.19,Y75B8A.19,yes,781.42,667.4,748.5,35.74,30.1,15.22,-27.27,7.26e-61,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
Y76A2B.3,acs-5,yes,719.24,673.93,971.39,6982.15,6108.3,7190.2,8.58,1.87e-44,Y76A2B.3,WBGene00013575,Sequence name for WBGene00013575(acs-5). History: N.A.
Y87G2A.2,Y87G2A.2,yes,8.48,9.5,14.12,1.08,3.65,1.9,-4.73,0.018,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
Y8G1A.1,math-46,yes,12.25,10.09,13.51,67.15,111.29,67.55,6.87,3.73e-12,Y8G1A.1,WBGene00021175,Sequence name for WBGene00021175(math-46). History: N.A.
Y8G1A.2,inx-13,yes,17.43,24.94,12.89,2.17,1.82,0.95,-11.28,0.000196,Y8G1A.2,WBGene00002135,Sequence name for WBGene00002135(inx-13). History: Renamed on 2015-03-05
Y94H6A.4,gpx-4,yes,198.77,157.94,156.58,36.82,14.6,20.93,-7.17,1.31e-14,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
Y9C9A.8,Y9C9A.8,yes,9.89,9.5,9.21,57.4,27.37,59.94,5.04,3.05e-06,Y9C9A.8,WBGene00021178,"Public name for WBGene00021178. History: Split into Y9C9A.112(WBGene00235376). History of WBGene00021178: Split into ""WBGene00235376"" on 2013-10-17"
ZC123.4,ZC123.4,yes,210.54,49.28,55.26,4298.46,1853.66,5796.31,37.86,2.05e-18,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
ZC178.1,ZC178.1,yes,0,0,0,16.25,11.86,19.03,153.59,4.23e-06,ZC178.1,,"Public name for Dead gene WBGene00022535. History of WBGene00022535: Killed on 2017-03-03. Remark: This is on the opposite, incorrect strand to the Mucin gene ZC178.2."
ZC190.7,ZC190.7,yes,0,0,0,6.5,24.63,60.89,300.4,8.7e-07,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
ZC190.8,ZC190.8,yes,7.54,13.66,7.98,170.03,496.25,1444.32,72.53,1.81e-19,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
ZC317.6,ZC317.6,yes,84.31,46.31,133.86,1773.97,1687.63,2279.71,21.72,3.15e-33,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
ZK131.1,his-26,yes,11.3,16.03,14.12,66.06,189.74,268.31,12.69,9.51e-13,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
ZK131.10,his-16,yes,9.42,12.47,10.44,1373.25,1304.49,1072.3,116.78,7.91e-157,ZK131.10,WBGene00001890,Sequence name for WBGene00001890(his-16). History: N.A.
